VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)
GraphNo	1	2	3	4	5	6	7	8	9	10	11
0.0	0.271300	0.280900	0.360300	0.550800	0.179200	0.235700	0.160000	0.156300	0.240600	0.253400	0.161900
4957.8	0.272800	0.247500	0.354700	0.503800	0.181700	0.223600	0.169700	0.159100	0.239100	0.252000	0.161100
9915.6	0.270400	0.289500	0.339600	0.552900	0.182500	0.237600	0.171500	0.159600	0.240600	0.251900	0.160400
14873.4	0.271900	0.285400	0.355300	0.572600	0.176000	0.235900	0.163100	0.156300	0.242300	0.250600	0.159300
19831.2	0.267800	0.288400	0.355500	0.548800	0.179800	0.234600	0.168300	0.159900	0.241300	0.250300	0.158600
24789.0	0.270700	0.290200	0.354600	0.553700	0.177100	0.233000	0.160700	0.158400	0.241100	0.246100	0.156600
29746.7	0.265600	0.291500	0.345800	0.532100	0.192300	0.232700	0.170600	0.163300	0.240700	0.243300	0.148000
34704.5	0.268000	0.285400	0.354600	0.548100	0.179900	0.226100	0.165600	0.159500	0.242200	0.249400	0.157200
39662.3	0.252600	0.291400	0.346500	0.525000	0.183000	0.233300	0.173000	0.161600	0.242200	0.249300	0.156700
44620.1	0.256600	0.291400	0.347300	0.544600	0.179000	0.233300	0.163900	0.157700	0.243300	0.246900	0.155400
49577.9	0.268200	0.286300	0.350600	0.560300	0.178900	0.233400	0.160400	0.156400	0.243600	0.246900	0.155900
54535.7	0.265100	0.290200	0.346400	0.534900	0.180800	0.234000	0.159900	0.156000	0.241900	0.245900	0.155000
59493.5	0.267500	0.292300	0.343600	0.528000	0.183500	0.233700	0.155400	0.157000	0.240700	0.243400	0.155100
64451.3	0.265500	0.289600	0.343100	0.516400	0.183000	0.231800	0.159900	0.154500	0.240400	0.242300	0.154900
69409.1	0.272200	0.287000	0.351000	0.530200	0.176300	0.232100	0.153100	0.149300	0.241800	0.243300	0.152700
74366.9	0.263200	0.267400	0.341500	0.513400	0.181400	0.227300	0.162300	0.153100	0.240300	0.243800	0.154500
79324.7	0.271600	0.291100	0.346500	0.510900	0.181400	0.230800	0.161100	0.152300	0.241100	0.245700	0.154800
84282.4	0.269600	0.277900	0.342300	0.499700	0.181600	0.228700	0.159200	0.151600	0.241600	0.246100	0.155200
89240.2	0.278800	0.261200	0.347700	0.510400	0.180400	0.227200	0.159800	0.149900	0.241700	0.243600	0.154800
94198.0	0.275400	0.262100	0.342100	0.504900	0.180200	0.226300	0.161300	0.151100	0.241900	0.244900	0.155600
99155.8	0.271200	0.286900	0.342000	0.482900	0.179700	0.224800	0.162100	0.152300	0.242600	0.243600	0.155500
104113.6	0.271400	0.295100	0.341500	0.472400	0.182400	0.228300	0.163100	0.153600	0.244700	0.244900	0.156400
109071.4	0.273100	0.295500	0.337300	0.494400	0.181900	0.226900	0.168400	0.154700	0.243000	0.244600	0.156700
114029.2	0.272400	0.292900	0.340000	0.514000	0.177100	0.226800	0.160500	0.152400	0.244600	0.243400	0.155200
118987.0	0.274600	0.294500	0.340000	0.518500	0.176600	0.226600	0.159900	0.152400	0.247000	0.243200	0.155500
123944.8	0.265000	0.291000	0.305100	0.447500	0.177100	0.228500	0.171100	0.158600	0.250100	0.250500	0.158500
128902.6	0.262700	0.283200	0.323000	0.489400	0.177100	0.220500	0.167100	0.155700	0.246000	0.242200	0.153500
133860.3	0.256700	0.282100	0.308500	0.467300	0.174000	0.220100	0.166800	0.155000	0.245400	0.241900	0.153400
138818.1	0.258800	0.281700	0.321500	0.458400	0.172400	0.228400	0.167600	0.154800	0.245400	0.243000	0.152800
143775.9	0.251700	0.275800	0.317400	0.441000	0.171100	0.226900	0.167500	0.155300	0.244000	0.240000	0.152500
148733.7	0.253600	0.255100	0.322200	0.409100	0.166100	0.215500	0.158600	0.150800	0.240900	0.234300	0.150000
153691.5	0.244700	0.234900	0.313500	0.348900	0.165500	0.212300	0.160700	0.151400	0.238600	0.229600	0.148800
158649.3	0.238500	0.217700	0.308000	0.268100	0.163900	0.207300	0.161900	0.150300	0.236900	0.225100	0.148300
163607.1	0.234200	0.196300	0.300900	0.275500	0.155400	0.201500	0.146500	0.144600	0.236000	0.222800	0.145700
168564.9	0.229900	0.187200	0.294900	0.249300	0.153800	0.196700	0.148000	0.145800	0.233100	0.221600	0.145300
173522.7	0.221900	0.172300	0.292000	0.226400	0.154200	0.192600	0.147100	0.146300	0.233000	0.219100	0.146100
178480.5	0.220300	0.160100	0.258400	0.219700	0.152000	0.189600	0.137100	0.141500	0.233100	0.218000	0.144600
183438.2	0.217300	0.150500	0.287200	0.207700	0.151400	0.185800	0.135600	0.143300	0.232300	0.212100	0.142400
188396.0	0.221400	0.143000	0.290800	0.205000	0.142600	0.184300	0.131300	0.142800	0.235800	0.211300	0.144800
193353.8	0.220100	0.138100	0.287700	0.190600	0.154400	0.181900	0.129200	0.144800	0.238500	0.209200	0.145300
198311.6	0.221000	0.136700	0.285000	0.191100	0.149900	0.179200	0.128600	0.146700	0.240900	0.212600	0.142600
203269.4	0.222300	0.130800	0.289500	0.192700	0.146200	0.177900	0.122400	0.144900	0.243700	0.208700	0.146700
208227.2	0.218000	0.125800	0.281000	0.184000	0.159500	0.177000	0.124900	0.151700	0.248600	0.211500	0.144900
213185.0	0.219400	0.134300	0.282700	0.184200	0.149000	0.175700	0.122900	0.152200	0.251700	0.210700	0.152800
218142.8	0.215500	0.126900	0.281200	0.178100	0.149300	0.174800	0.122100	0.155500	0.253700	0.210800	0.154900
223100.6	0.217200	0.126300	0.281000	0.178100	0.147600	0.173300	0.115900	0.154000	0.256800	0.211000	0.156800
228058.4	0.218300	0.125700	0.283100	0.177900	0.146600	0.173000	0.116100	0.154500	0.260300	0.212000	0.158100
233016.1	0.217300	0.124300	0.281500	0.177300	0.146800	0.172800	0.117400	0.159700	0.262600	0.212000	0.160100
237973.9	0.215400	0.125200	0.245600	0.175600	0.147800	0.172200	0.115700	0.160200	0.265300	0.213000	0.163000
242931.7	0.216300	0.125600	0.280600	0.176900	0.147000	0.170800	0.115400	0.161500	0.267100	0.211400	0.164000
247889.5	0.214700	0.126600	0.274200	0.170100	0.150100	0.172300	0.117600	0.166600	0.269600	0.212300	0.166100
252847.3	0.214700	0.125400	0.276700	0.182200	0.148000	0.171700	0.115400	0.165600	0.271300	0.210200	0.165900
257805.1	0.215500	0.124200	0.275100	0.172800	0.147700	0.170200	0.114500	0.166000	0.271300	0.208500	0.166300
262762.9	0.210500	0.124600	0.272000	0.168400	0.149600	0.170700	0.115700	0.169500	0.275200	0.208200	0.166900
267720.7	0.214900	0.124200	0.276800	0.178300	0.144100	0.169800	0.108400	0.163400	0.276600	0.206300	0.165500
272678.5	0.208200	0.124800	0.272800	0.173300	0.147600	0.170300	0.113800	0.171000	0.279500	0.207300	0.166300
277636.2	0.214100	0.124700	0.270800	0.173100	0.144600	0.169200	0.110400	0.167300	0.277800	0.205900	0.165800
282594.0	0.212400	0.123900	0.252500	0.195000	0.144300	0.168500	0.109200	0.161300	0.274900	0.203800	0.165100
287551.8	0.211000	0.124800	0.268300	0.172700	0.149900	0.168000	0.112900	0.169000	0.275000	0.217700	0.156200
292509.6	0.211800	0.120900	0.268300	0.172800	0.147600	0.179600	0.110200	0.171400	0.274800	0.203100	0.165300
297467.4	0.213000	0.122700	0.270500	0.177800	0.147900	0.167800	0.106200	0.167600	0.274900	0.200800	0.164300
302425.2	0.211100	0.124300	0.270100	0.176600	0.152400	0.167900	0.107700	0.169900	0.267800	0.201700	0.161700
307383.0	0.208300	0.125800	0.264500	0.173900	0.147900	0.168800	0.110500	0.173200	0.270700	0.219800	0.159000
312340.8	0.206300	0.123900	0.261800	0.173100	0.148400	0.167200	0.110000	0.170100	0.270300	0.198800	0.155600
317298.6	0.205000	0.125300	0.261900	0.171600	0.150200	0.167900	0.114200	0.172100	0.268200	0.197500	0.157300
322256.4	0.205400	0.124900	0.260700	0.173200	0.145900	0.167700	0.107700	0.167800	0.268700	0.197400	0.160200
327214.1	0.205400	0.124600	0.260800	0.175000	0.145300	0.168400	0.108500	0.169300	0.266500	0.196300	0.159700
