VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)
GraphNo	1	2	3	4	5	6	7	8	9	10
0.0	0.243900	0.196900	0.245200	0.192300	0.128300	0.234200	0.185100	0.113600	0.149200	0.223500
5095.5	0.248600	0.192200	0.239000	0.196400	0.132800	0.238900	0.182600	0.122900	0.164100	0.220300
10191.0	0.246100	0.192100	0.240100	0.195300	0.130800	0.236800	0.181700	0.117300	0.164100	0.218700
15286.5	0.246900	0.195400	0.246100	0.196900	0.130200	0.235800	0.183900	0.117600	0.161800	0.218800
20382.0	0.240700	0.193500	0.246000	0.191200	0.126600	0.233700	0.185500	0.113400	0.153900	0.216900
25477.5	0.243000	0.192600	0.242100	0.196300	0.128200	0.235100	0.182100	0.116300	0.160400	0.219000
30573.0	0.239400	0.196600	0.240200	0.191700	0.126200	0.234000	0.182500	0.114300	0.160000	0.218800
35668.5	0.237800	0.199000	0.239100	0.191900	0.127100	0.233500	0.182800	0.115200	0.159100	0.218500
40764.0	0.235900	0.200900	0.234900	0.192300	0.125800	0.231100	0.181200	0.116300	0.158300	0.218800
45859.5	0.233800	0.208300	0.234900	0.191500	0.125800	0.229400	0.183200	0.115100	0.159300	0.218300
50955.1	0.234200	0.201100	0.228400	0.191200	0.124000	0.228200	0.178800	0.113300	0.154600	0.215300
56050.6	0.233300	0.200300	0.228400	0.190100	0.123600	0.226600	0.179300	0.113400	0.156800	0.215000
61146.1	0.236700	0.197900	0.223300	0.196800	0.126600	0.229000	0.176600	0.116900	0.159200	0.212900
66241.6	0.230000	0.198200	0.229100	0.191000	0.122400	0.226600	0.180100	0.110700	0.152300	0.214400
71337.1	0.234400	0.193100	0.223700	0.189000	0.124600	0.226600	0.177200	0.113000	0.159700	0.211600
76432.6	0.236600	0.191400	0.222100	0.193400	0.126600	0.227500	0.176000	0.121200	0.169200	0.209100
81528.1	0.234100	0.191600	0.227700	0.187600	0.123600	0.223300	0.178400	0.113700	0.159400	0.210400
86623.6	0.237700	0.191200	0.227900	0.188400	0.123900	0.222600	0.178500	0.114300	0.156900	0.212200
91719.1	0.238300	0.189100	0.225600	0.189300	0.124300	0.220100	0.177400	0.113200	0.154800	0.212500
96814.6	0.235500	0.191100	0.231900	0.188000	0.124500	0.219700	0.181100	0.113600	0.153200	0.214900
101910.1	0.237400	0.188300	0.221500	0.188300	0.128200	0.221900	0.177500	0.119100	0.160400	0.213600
107005.6	0.235800	0.186600	0.221700	0.185700	0.126400	0.218800	0.175200	0.118500	0.159900	0.211900
112101.1	0.230900	0.187000	0.221300	0.179300	0.125100	0.212800	0.175700	0.112600	0.150100	0.211300
117196.6	0.230000	0.188000	0.219900	0.178100	0.126400	0.210900	0.175100	0.115600	0.151000	0.209000
122292.1	0.226300	0.186400	0.219200	0.172100	0.123000	0.206600	0.175100	0.112500	0.145800	0.208400
127387.6	0.224000	0.184900	0.220000	0.172700	0.123400	0.205600	0.174600	0.110900	0.142200	0.208900
132483.2	0.223200	0.183000	0.215800	0.173000	0.124000	0.202500	0.172500	0.116400	0.148900	0.206800
137578.7	0.219800	0.182100	0.216400	0.168300	0.121400	0.196900	0.173500	0.113200	0.144400	0.207800
142674.2	0.217300	0.180900	0.213800	0.167700	0.122400	0.195100	0.171600	0.113900	0.144100	0.209000
147769.7	0.213700	0.179600	0.213700	0.168500	0.123200	0.192000	0.172400	0.115500	0.146300	0.208600
152865.2	0.211700	0.180300	0.215300	0.167800	0.122100	0.190600	0.172400	0.113400	0.141000	0.208400
157960.7	0.212200	0.179600	0.216500	0.167000	0.122200	0.189100	0.172200	0.115300	0.152100	0.206800
163056.2	0.209100	0.177800	0.212900	0.166100	0.121000	0.188200	0.170400	0.112200	0.146700	0.203300
168151.7	0.211400	0.180800	0.216800	0.165200	0.121400	0.186600	0.173200	0.111200	0.142400	0.209300
173247.2	0.206400	0.179700	0.219100	0.158800	0.119500	0.183900	0.174900	0.106400	0.134200	0.209200
178342.7	0.208400	0.178200	0.213400	0.164300	0.122900	0.183200	0.172400	0.112900	0.138200	0.206700
183438.2	0.206900	0.177200	0.214600	0.160900	0.120400	0.179900	0.172900	0.109300	0.133000	0.204300
188533.7	0.203700	0.179300	0.220200	0.157800	0.120800	0.177100	0.175200	0.108600	0.129400	0.206100
193629.2	0.202800	0.179500	0.223800	0.159300	0.120200	0.176300	0.176600	0.108400	0.127600	0.206700
198724.7	0.204700	0.178700	0.226700	0.161100	0.121800	0.175800	0.178900	0.110800	0.129100	0.206900
203820.2	0.210100	0.179300	0.223000	0.171600	0.129000	0.179600	0.176100	0.118200	0.136100	0.211000
208915.7	0.206100	0.181900	0.236600	0.171600	0.128200	0.177100	0.183100	0.113100	0.130200	0.216700
214011.2	0.209000	0.182300	0.238900	0.181300	0.135400	0.179100	0.185800	0.125200	0.140700	0.222400
219106.8	0.211300	0.182900	0.247900	0.182900	0.136500	0.178400	0.190100	0.126800	0.141600	0.228300
224202.3	0.209200	0.185100	0.261400	0.183700	0.137800	0.178400	0.195600	0.123800	0.140000	0.240500
229297.8	0.212000	0.185200	0.262500	0.193200	0.144900	0.181300	0.197900	0.132600	0.147900	0.250700
234393.3	0.211600	0.186500	0.274700	0.193300	0.149100	0.182300	0.204500	0.136100	0.148200	0.266400
239488.8	0.215500	0.187100	0.275600	0.198300	0.154000	0.183600	0.204500	0.141400	0.150400	0.274500
244584.3	0.214700	0.189100	0.286200	0.198500	0.157400	0.184500	0.210000	0.144600	0.152200	0.280500
249679.8	0.215300	0.190700	0.296700	0.196000	0.157600	0.184900	0.214100	0.139100	0.145400	0.285500
254775.3	0.216000	0.189600	0.295900	0.202000	0.165500	0.186100	0.213200	0.153800	0.154500	0.289500
259870.8	0.213300	0.193500	0.312000	0.194900	0.163300	0.184300	0.222400	0.146800	0.145300	0.296100
264966.3	0.215200	0.194900	0.316300	0.194800	0.166000	0.183700	0.224300	0.150700	0.146900	0.295800
270061.8	0.214500	0.194300	0.320500	0.193400	0.168100	0.183000	0.226400	0.156100	0.148100	0.292900
275157.3	0.212800	0.192700	0.321900	0.193200	0.168000	0.183400	0.226800	0.151400	0.144000	0.292500
280252.8	0.213700	0.190100	0.314300	0.195700	0.173500	0.183200	0.222500	0.163700	0.153000	0.285900
285348.3	0.211700	0.192100	0.321600	0.194800	0.172600	0.183800	0.227400	0.158600	0.146700	0.286900
290443.8	0.208400	0.191900	0.328200	0.188100	0.170100	0.182200	0.228900	0.151800	0.140600	0.283300
295539.3	0.213200	0.193500	0.328000	0.195100	0.176600	0.183800	0.230700	0.163500	0.148400	0.283700
300634.8	0.211100	0.193700	0.333200	0.188000	0.174800	0.182300	0.231800	0.157300	0.142800	0.282400
305730.3	0.211600	0.193500	0.330200	0.189300	0.178000	0.182700	0.229200	0.163600	0.146600	0.280800
310825.9	0.212400	0.191800	0.329200	0.189400	0.178200	0.180900	0.228900	0.159400	0.142700	0.278400
315921.4	0.208900	0.193400	0.333000	0.186700	0.174400	0.180100	0.230000	0.156500	0.140900	0.278300
321016.9	0.205600	0.193000	0.337700	0.183500	0.174800	0.179700	0.231300	0.154400	0.137700	0.277300
326112.4	0.205800	0.190000	0.334000	0.183700	0.175700	0.178000	0.227900	0.153600	0.138700	0.273500
331207.9	0.209700	0.188500	0.321100	0.189100	0.180400	0.181000	0.223900	0.164300	0.145700	0.270900
336303.4	0.205800	0.189900	0.328500	0.184600	0.175300	0.177500	0.226200	0.153200	0.137500	0.269300
341398.9	0.204800	0.190800	0.329400	0.182400	0.174100	0.176900	0.227400	0.151300	0.135900	0.269800
346494.4	0.208300	0.188500	0.325600	0.182300	0.177900	0.177300	0.224800	0.161700	0.143200	0.266700
