VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
0.0	0.258800	0.554800	0.594100	0.298700	0.203400	0.139500	0.206400
4957.8	0.256700	0.557100	0.598100	0.290800	0.198300	0.138000	0.206600
9915.6	0.253600	0.547900	0.584800	0.313500	0.208500	0.143000	0.205600
14873.4	0.258100	0.559600	0.606200	0.293100	0.202600	0.138900	0.203700
19831.2	0.257300	0.557000	0.604400	0.307300	0.208200	0.141300	0.203000
24789.0	0.261100	0.559700	0.617300	0.300000	0.205200	0.139700	0.200500
29746.7	0.257600	0.547100	0.604800	0.297300	0.201900	0.138200	0.200600
34704.5	0.261700	0.549000	0.612900	0.290800	0.196900	0.137100	0.200600
39662.3	0.261800	0.542900	0.605800	0.313700	0.211400	0.142500	0.204100
44620.1	0.261300	0.543500	0.620500	0.317200	0.211400	0.141800	0.204500
49577.9	0.258800	0.544600	0.626000	0.295500	0.197600	0.138500	0.206100
54535.7	0.253700	0.537600	0.614500	0.322300	0.215500	0.144600	0.205200
59493.5	0.254100	0.547800	0.624000	0.304600	0.207200	0.139300	0.203200
64451.3	0.251200	0.538000	0.619200	0.287300	0.195200	0.137000	0.201700
69409.1	0.252400	0.545300	0.624100	0.303100	0.203900	0.140200	0.200100
74366.9	0.254100	0.551000	0.635400	0.306800	0.201800	0.140100	0.199700
79324.7	0.251500	0.547400	0.632400	0.295800	0.186900	0.139700	0.200800
84282.5	0.248300	0.544500	0.629700	0.289300	0.189200	0.138100	0.200700
89240.2	0.251200	0.567300	0.643900	0.292700	0.190000	0.138000	0.201400
94198.0	0.246200	0.569700	0.630100	0.323200	0.203200	0.141400	0.200700
99155.8	0.248500	0.583000	0.639800	0.324100	0.201700	0.139500	0.199000
104113.6	0.246500	0.589500	0.644300	0.313300	0.193600	0.135600	0.198700
109071.4	0.246300	0.592600	0.648900	0.334400	0.201800	0.136400	0.198200
114029.2	0.240500	0.584600	0.641000	0.342000	0.202000	0.138600	0.197100
118987.0	0.237800	0.579400	0.639100	0.319400	0.193500	0.133900	0.198300
123944.8	0.235400	0.577600	0.642200	0.333900	0.197500	0.134800	0.197800
128902.6	0.240800	0.591000	0.661600	0.325300	0.187500	0.133200	0.198200
133860.4	0.238000	0.579800	0.655500	0.323600	0.187700	0.133500	0.198500
138818.1	0.238700	0.576800	0.649300	0.315400	0.186400	0.133400	0.199700
143775.9	0.237000	0.568500	0.643300	0.341500	0.194800	0.136400	0.199900
148733.7	0.237700	0.568500	0.651000	0.328300	0.191100	0.133800	0.199500
153691.5	0.234300	0.565500	0.639500	0.339800	0.193800	0.136000	0.200700
158649.3	0.237700	0.565400	0.645900	0.342800	0.199000	0.137300	0.201500
163607.1	0.236900	0.564600	0.655900	0.339100	0.195400	0.136500	0.201800
168564.9	0.241900	0.569600	0.669000	0.330900	0.190700	0.134600	0.201900
173522.7	0.236600	0.556900	0.652200	0.328200	0.188400	0.137300	0.203800
178480.5	0.242400	0.570700	0.664800	0.337900	0.189900	0.139100	0.202700
183438.3	0.243100	0.565700	0.671600	0.317800	0.181800	0.136000	0.202300
188396.1	0.240000	0.556700	0.647400	0.344000	0.192500	0.141800	0.201300
193353.8	0.246900	0.573300	0.670700	0.321100	0.181600	0.136700	0.200500
198311.6	0.240600	0.556800	0.652400	0.340100	0.185200	0.141000	0.200200
203269.4	0.245700	0.561400	0.659800	0.342500	0.186400	0.142300	0.200600
208227.2	0.245200	0.556100	0.659800	0.333200	0.184000	0.142600	0.202400
213185.0	0.247600	0.555600	0.662500	0.326200	0.184300	0.141800	0.203000
218142.8	0.250300	0.563300	0.671400	0.332600	0.183500	0.140100	0.201600
223100.6	0.252600	0.559200	0.680500	0.321800	0.182600	0.142000	0.203200
228058.4	0.249100	0.549100	0.665900	0.353700	0.196100	0.145600	0.202900
233016.2	0.254600	0.555900	0.669500	0.354200	0.193500	0.147000	0.202400
237974.0	0.250400	0.548000	0.656500	0.340200	0.191800	0.144800	0.200700
242931.8	0.247900	0.542400	0.651300	0.356700	0.195800	0.144100	0.198800
247889.5	0.245000	0.540200	0.644300	0.337700	0.190600	0.142200	0.198400
252847.3	0.247700	0.542700	0.661600	0.326500	0.186800	0.140400	0.199200
257805.1	0.244400	0.527700	0.651600	0.331000	0.193700	0.143500	0.198900
262762.9	0.247200	0.535900	0.669000	0.306200	0.186200	0.139400	0.199300
267720.7	0.246700	0.533000	0.669900	0.320200	0.191600	0.141300	0.198500
272678.5	0.240200	0.525500	0.658900	0.307800	0.190100	0.142500	0.198900
277636.3	0.244200	0.537700	0.668300	0.319200	0.193800	0.145300	0.198500
282594.1	0.239800	0.526600	0.653500	0.300900	0.189500	0.144800	0.199000
287551.9	0.243000	0.529400	0.663300	0.307800	0.191500	0.145300	0.198500
292509.7	0.243900	0.524100	0.666400	0.308500	0.196400	0.145400	0.196400
297467.4	0.243900	0.530800	0.670900	0.282700	0.190600	0.142400	0.196700
302425.2	0.240900	0.524900	0.655100	0.305700	0.203300	0.148100	0.196400
307383.0	0.243700	0.534900	0.669100	0.284300	0.193100	0.142300	0.197300
312340.8	0.238300	0.529800	0.652200	0.289700	0.195500	0.142400	0.195400
317298.6	0.238900	0.535100	0.651800	0.294000	0.194000	0.146200	0.197300
322256.4	0.237500	0.539300	0.661300	0.286400	0.192200	0.143200	0.197300
327214.2	0.239200	0.533700	0.664100	0.287300	0.195200	0.145200	0.198400
332172.0	0.240400	0.539300	0.665400	0.286200	0.198900	0.146800	0.199000
337129.8	0.243400	0.538700	0.679400	0.277200	0.193000	0.143900	0.197800
342087.6	0.243200	0.532800	0.663300	0.290300	0.206400	0.148000	0.196600
347045.4	0.248500	0.537100	0.682800	0.266400	0.196300	0.142500	0.194800
352003.1	0.249700	0.539200	0.682800	0.262200	0.196900	0.144500	0.195200
356960.9	0.248300	0.528700	0.666800	0.276300	0.208900	0.147800	0.194500
361918.7	0.249300	0.526100	0.670200	0.260800	0.204100	0.146400	0.195400
366876.5	0.250400	0.531700	0.674400	0.270300	0.208100	0.147900	0.193700
371834.3	0.246300	0.530600	0.674200	0.259700	0.201800	0.146500	0.193900
376792.1	0.243300	0.529400	0.670100	0.253100	0.201400	0.146400	0.193800
381749.9	0.241500	0.528100	0.668900	0.251300	0.200200	0.145700	0.194500
386707.7	0.245000	0.538400	0.680400	0.247300	0.198500	0.143000	0.192400
391665.5	0.243100	0.535600	0.685600	0.251900	0.197900	0.143500	0.191600
