VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0.0	0.325700	0.198700	0.186900	0.163600	0.156100	0.160900	0.177600	0.167000	0.182200	0.172000	0.160900	0.081200	0.194300	0.175300	0.204200	0.224300	0.171900
4957.8	0.221800	0.203700	0.187700	0.161500	0.154500	0.160200	0.169400	0.165500	0.165000	0.172100	0.159600	0.084300	0.189400	0.171800	0.201200	0.221900	0.168300
9915.6	0.234300	0.209100	0.196400	0.162300	0.157100	0.161700	0.168200	0.165500	0.154000	0.168400	0.159600	0.072400	0.189900	0.173000	0.268300	0.231700	0.178100
14873.4	0.216500	0.205200	0.196300	0.159600	0.156300	0.160300	0.171900	0.166300	0.148500	0.157900	0.157600	0.071200	0.185300	0.173600	0.307800	0.228900	0.187300
19831.2	0.201600	0.203200	0.197400	0.157300	0.149800	0.161200	0.175300	0.165200	0.146000	0.167700	0.161300	0.075600	0.185000	0.181000	0.277600	0.225700	0.203300
24788.9	0.195900	0.203900	0.197600	0.158300	0.139000	0.159800	0.181300	0.169100	0.142500	0.172400	0.161000	0.070400	0.183800	0.175500	0.219100	0.225300	0.231500
29746.8	0.186200	0.199000	0.194000	0.158800	0.134300	0.158800	0.177400	0.165500	0.141500	0.180900	0.161300	0.071700	0.182300	0.176300	0.206800	0.224900	0.243800
34704.5	0.178500	0.198000	0.194100	0.158400	0.128800	0.158500	0.177600	0.166900	0.140300	0.182100	0.160900	0.072800	0.179600	0.179300	0.203100	0.223400	0.244900
39662.3	0.171200	0.193600	0.191100	0.156400	0.132000	0.157100	0.177600	0.165100	0.140100	0.178900	0.162300	0.077400	0.241100	0.177100	0.206800	0.226100	0.238200
44620.1	0.168800	0.194800	0.194000	0.228200	0.129800	0.159000	0.176900	0.167600	0.140600	0.172700	0.161800	0.078300	0.227000	0.182900	0.210600	0.225100	0.182400
49577.9	0.167900	0.195200	0.194200	0.163700	0.123700	0.157400	0.175700	0.164800	0.139300	0.168500	0.161700	0.070100	0.204800	0.182400	0.211900	0.224900	0.173500
54535.7	0.167000	0.196300	0.195900	0.164700	0.124200	0.158400	0.187800	0.162300	0.142300	0.166200	0.162000	0.075000	0.200500	0.180700	0.212400	0.224100	0.174800
59493.5	0.166900	0.195800	0.199100	0.162200	0.128700	0.154600	0.191200	0.165800	0.139300	0.162300	0.160700	0.077000	0.194000	0.179400	0.210500	0.224200	0.170600
64451.3	0.173700	0.193700	0.197700	0.163400	0.127100	0.160400	0.197700	0.163800	0.142300	0.165800	0.161900	0.080200	0.190400	0.182000	0.211600	0.225200	0.174700
69409.1	0.166600	0.195200	0.194600	0.162900	0.124500	0.161200	0.198600	0.164200	0.141800	0.167200	0.162000	0.072300	0.189000	0.183100	0.211300	0.226400	0.174200
74366.9	0.164000	0.193500	0.191700	0.161400	0.128100	0.159400	0.192700	0.164000	0.142300	0.169800	0.155800	0.077400	0.188100	0.184900	0.211500	0.228600	0.174400
79324.7	0.164000	0.193000	0.193400	0.160600	0.129000	0.162400	0.195800	0.163300	0.139900	0.175800	0.161600	0.077000	0.189100	0.191400	0.211000	0.227800	0.174600
84282.5	0.164700	0.196900	0.201100	0.161700	0.128000	0.160400	0.201100	0.167200	0.140800	0.175600	0.163900	0.075800	0.182800	0.178600	0.210200	0.226700	0.175100
89240.2	0.165900	0.196600	0.199500	0.161900	0.125600	0.162000	0.198800	0.170100	0.139000	0.176000	0.163200	0.073900	0.183100	0.179300	0.212400	0.227800	0.174900
94198.0	0.166700	0.199000	0.203500	0.163700	0.126600	0.161800	0.198300	0.171800	0.137300	0.176900	0.164800	0.074100	0.183400	0.182100	0.213300	0.227300	0.174900
99155.8	0.164900	0.195800	0.199100	0.161500	0.134800	0.159800	0.194700	0.170300	0.138100	0.181800	0.166000	0.076000	0.184500	0.179800	0.211700	0.227300	0.174500
104113.6	0.164500	0.195800	0.206100	0.161200	0.163000	0.160700	0.194600	0.168800	0.138000	0.179700	0.167600	0.079000	0.185500	0.179900	0.212000	0.227800	0.174500
109071.4	0.166400	0.198100	0.209700	0.174800	0.163600	0.161500	0.195900	0.168400	0.137300	0.179300	0.169100	0.073100	0.190100	0.179300	0.212700	0.229100	0.176600
