VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
0.0	0.146300	0.174500	0.152500	0.178500	0.172100	0.152200	0.186600	0.143500	0.165000	0.198200	0.180400	0.166700	0.194400	0.241600	0.154300	0.213500	0.200600	0.177000	0.192400	0.202800	0.192400	0.115700
4957.8	0.146200	0.171200	0.139500	0.175800	0.169900	0.149000	0.178500	0.141200	0.150700	0.182700	0.192000	0.158400	0.177200	0.224400	0.163100	0.196400	0.189700	0.173300	0.183800	0.191800	0.185800	0.116200
9915.6	0.145200	0.173200	0.129900	0.176500	0.169000	0.146900	0.171500	0.139100	0.138800	0.171000	0.178500	0.159300	0.171500	0.209500	0.219900	0.192600	0.186600	0.172200	0.187200	0.186700	0.186500	0.110700
14873.5	0.145000	0.172200	0.124500	0.175500	0.167900	0.146600	0.167400	0.141900	0.136100	0.159500	0.173900	0.159400	0.166200	0.197900	0.207500	0.188700	0.181600	0.169700	0.189500	0.182100	0.185700	0.110300
19831.2	0.144600	0.169400	0.122800	0.173000	0.167600	0.148100	0.164200	0.146200	0.134400	0.156800	0.166900	0.157600	0.162100	0.185900	0.179800	0.188100	0.171700	0.165300	0.186700	0.181800	0.183500	0.110500
24789.0	0.144800	0.171400	0.119600	0.173000	0.167300	0.148000	0.162900	0.145400	0.134800	0.152100	0.166800	0.160000	0.163500	0.182800	0.164600	0.182300	0.170800	0.166300	0.192300	0.179100	0.182800	0.108800
29746.8	0.146100	0.171000	0.117500	0.174300	0.167500	0.145300	0.161000	0.152800	0.141300	0.150200	0.173600	0.160700	0.163300	0.176500	0.153700	0.169900	0.168000	0.165400	0.191600	0.177600	0.183800	0.106000
34704.6	0.148200	0.170800	0.116200	0.176200	0.167100	0.145100	0.160700	0.209800	0.153000	0.147000	0.179400	0.161100	0.163100	0.175300	0.149100	0.162400	0.164900	0.164000	0.192300	0.176000	0.181300	0.104700
39662.4	0.151700	0.169100	0.117700	0.175400	0.166800	0.145700	0.160800	0.195400	0.158000	0.144900	0.185500	0.160500	0.161000	0.169400	0.148100	0.164900	0.164700	0.161000	0.188000	0.175100	0.180800	0.107900
44620.1	0.152400	0.170500	0.119500	0.173900	0.167700	0.143600	0.159500	0.180400	0.140100	0.142300	0.184800	0.158000	0.160200	0.165900	0.144000	0.173200	0.164000	0.161200	0.186800	0.173300	0.175200	0.107100
49577.9	0.157100	0.173500	0.117100	0.176500	0.167700	0.144500	0.159700	0.174200	0.136500	0.142500	0.186700	0.158900	0.161900	0.169100	0.144700	0.180300	0.167300	0.166400	0.193300	0.173100	0.182600	0.105900
54535.7	0.156900	0.172300	0.119000	0.173500	0.167000	0.143000	0.158100	0.175000	0.136500	0.144800	0.184700	0.157500	0.159300	0.163800	0.143200	0.192500	0.167600	0.161800	0.185600	0.172100	0.179900	0.107200
59493.5	0.152400	0.174300	0.117600	0.171300	0.165900	0.141600	0.157000	0.168900	0.131800	0.143500	0.185700	0.159600	0.161600	0.166400	0.142800	0.190500	0.167800	0.162500	0.188000	0.172500	0.183500	0.104200
64451.3	0.152500	0.174600	0.117200	0.171500	0.167400	0.143900	0.159900	0.166900	0.131800	0.144000	0.182200	0.159200	0.161300	0.165800	0.141000	0.185800	0.168300	0.167000	0.188400	0.171500	0.178900	0.102800
69409.1	0.151600	0.172100	0.116900	0.170800	0.167100	0.143200	0.159300	0.155200	0.129800	0.142500	0.180400	0.158700	0.162100	0.166000	0.140300	0.191600	0.176200	0.168200	0.186600	0.174900	0.179000	0.102900
74366.9	0.156700	0.174500	0.118300	0.171900	0.169100	0.145100	0.160500	0.149100	0.130000	0.142700	0.185600	0.162700	0.168000	0.168600	0.140700	0.193600	0.182600	0.170300	0.189000	0.173700	0.178600	0.103200
79324.7	0.156300	0.172000	0.117300	0.169100	0.168200	0.143900	0.159500	0.142000	0.130900	0.141500	0.182900	0.164700	0.174700	0.164200	0.139800	0.189500	0.176900	0.167000	0.187900	0.173600	0.172600	0.102400
84282.5	0.156400	0.171800	0.116200	0.173100	0.170200	0.146600	0.162500	0.139100	0.133500	0.140600	0.182800	0.168800	0.187300	0.170200	0.141100	0.185000	0.172700	0.165800	0.192800	0.173300	0.174300	0.099400
89240.3	0.158700	0.172400	0.117600	0.171200	0.170200	0.146400	0.164600	0.137700	0.134800	0.141700	0.181500	0.173600	0.193300	0.167100	0.143200	0.182300	0.166800	0.162800	0.187000	0.174000	0.174700	0.101200
94198.1	0.155200	0.169700	0.119600	0.169000	0.168900	0.152900	0.164400	0.139000	0.142500	0.142400	0.178900	0.180200	0.193200	0.162300	0.142500	0.182300	0.163500	0.158600	0.181900	0.175700	0.176000	0.103900
99155.9	0.156500	0.171200	0.118000	0.170600	0.171200	0.151100	0.164400	0.139200	0.158800	0.142000	0.176600	0.201400	0.190300	0.168000	0.144200	0.176100	0.167300	0.161000	0.189100	0.175200	0.169600	0.099500
104113.7	0.160000	0.177500	0.121300	0.172500	0.172200	0.157900	0.166600	0.144100	0.138900	0.147800	0.173000	0.205400	0.183900	0.169400	0.145600	0.168400	0.167800	0.163300	0.191500	0.177300	0.164000	0.103500
109071.5	0.361900	0.336900	0.250600	0.317700	0.205700	0.276100	0.278900	0.276300	0.231600	0.293800	0.218700	0.348600	0.335100	0.371400	0.313700	0.216400	0.297800	0.338800	0.518100	0.308700	0.242800	0.246800
114029.2	0.348000	0.311300	0.209500	0.281700	0.206200	0.266100	0.284900	0.252700	0.216300	0.252800	0.211600	0.340200	0.318900	0.338500	0.291900	0.219300	0.272600	0.281000	0.388800	0.280300	0.231000	0.195500
118987.0	0.318400	0.311500	0.193800	0.256200	0.203400	0.257600	0.271800	0.242700	0.193600	0.238200	0.203300	0.328500	0.303700	0.311900	0.263000	0.216600	0.261900	0.252400	0.323400	0.276200	0.208700	0.169600
123944.8	0.285000	0.318900	0.192700	0.245400	0.198000	0.254100	0.256700	0.241100	0.177300	0.231500	0.195800	0.317100	0.292200	0.278700	0.250700	0.214500	0.256800	0.240800	0.294900	0.281200	0.202700	0.176600
128902.6	0.272300	0.326900	0.190700	0.247600	0.198300	0.252400	0.252500	0.241900	0.167700	0.233400	0.192500	0.305000	0.286200	0.277200	0.239600	0.212700	0.257300	0.244900	0.306000	0.284700	0.202000	0.239700
133860.4	0.264300	0.334800	0.189300	0.247000	0.199000	0.249200	0.248200	0.237300	0.162400	0.237200	0.190700	0.306300	0.285900	0.262300	0.235500	0.215500	0.264500	0.267000	0.361500	0.285800	0.202300	0.194300
138818.2	0.257600	0.343200	0.185000	0.246800	0.197200	0.247100	0.246000	0.236800	0.157700	0.236600	0.189200	0.304700	0.290300	0.254600	0.233500	0.210100	0.266600	0.271300	0.376600	0.285700	0.200600	0.171700
143776.0	0.256900	0.347000	0.184800	0.246500	0.196300	0.243600	0.241400	0.235200	0.155700	0.238300	0.188900	0.305500	0.294000	0.252100	0.229600	0.206900	0.270200	0.258600	0.341800	0.284600	0.200400	0.168600
148733.8	0.256800	0.342600	0.191900	0.235900	0.194700	0.238100	0.235600	0.239000	0.152200	0.241800	0.185800	0.302200	0.288700	0.242900	0.230100	0.206000	0.268900	0.256100	0.332000	0.286200	0.199000	0.190600
153691.6	0.261400	0.349300	0.185400	0.235600	0.195200	0.238000	0.237400	0.234600	0.151200	0.240900	0.183900	0.295200	0.295400	0.245400	0.231800	0.202100	0.268600	0.264900	0.363500	0.283200	0.201000	0.193700
158649.4	0.253700	0.349500	0.185900	0.229000	0.193800	0.233300	0.232400	0.234700	0.150600	0.241400	0.185100	0.289500	0.296500	0.234900	0.230800	0.200400	0.270700	0.264100	0.350800	0.280900	0.199900	0.194800
163607.2	0.254800	0.349300	0.188900	0.222100	0.194000	0.234300	0.236100	0.231800	0.149500	0.244100	0.185000	0.278000	0.299800	0.235900	0.232700	0.201200	0.274300	0.256400	0.326700	0.282100	0.200100	0.191400
168565.0	0.257200	0.348200	0.190400	0.219900	0.194800	0.234200	0.240800	0.232900	0.149600	0.244400	0.187600	0.266800	0.300500	0.235800	0.238100	0.199200	0.275400	0.254000	0.326600	0.277800	0.199800	0.200900
173522.8	0.254000	0.353200	0.188600	0.215100	0.195100	0.231300	0.239200	0.227700	0.148100	0.243900	0.189700	0.261300	0.300100	0.231100	0.228100	0.197800	0.281100	0.261900	0.335300	0.277300	0.200200	0.186300
178480.6	0.257300	0.343800	0.197200	0.204800	0.193300	0.227300	0.240000	0.231900	0.147800	0.242700	0.187600	0.250200	0.288100	0.211500	0.218900	0.198300	0.281300	0.256900	0.314100	0.272900	0.197800	0.194000
183438.3	0.255900	0.347500	0.197100	0.202300	0.193400	0.222900	0.238400	0.231300	0.147200	0.244600	0.189200	0.241700	0.284100	0.205100	0.215100	0.197200	0.285200	0.262100	0.324000	0.268400	0.197500	0.194500
188396.1	0.262000	0.346600	0.202900	0.191800	0.190700	0.217600	0.237300	0.238300	0.148400	0.248600	0.190200	0.250100	0.283600	0.199400	0.212900	0.196400	0.292500	0.264900	0.321100	0.267200	0.197800	0.207800
193353.9	0.270200	0.355600	0.199200	0.192200	0.192200	0.216400	0.238300	0.234500	0.146700	0.247700	0.189900	0.254700	0.286400	0.202100	0.218000	0.196700	0.298900	0.274800	0.346800	0.266600	0.197300	0.200000
198311.7	0.263800	0.357100	0.199500	0.186600	0.189600	0.211200	0.234500	0.232500	0.143600	0.245800	0.187200	0.251400	0.273900	0.195600	0.214100	0.195600	0.299000	0.277600	0.339700	0.264800	0.195400	0.206300
203269.5	0.255600	0.362500	0.198200	0.184000	0.187800	0.207500	0.230000	0.229600	0.142600	0.244400	0.185700	0.243900	0.260800	0.188900	0.205200	0.195400	0.300800	0.270000	0.318200	0.263600	0.195000	0.205900
208227.3	0.252400	0.375000	0.193900	0.186500	0.189000	0.207700	0.230600	0.225400	0.143000	0.239900	0.186900	0.229800	0.248000	0.192500	0.196200	0.193500	0.306700	0.274100	0.322700	0.262700	0.194400	0.192700
213185.1	0.249600	0.378800	0.194700	0.185300	0.189000	0.202700	0.227900	0.223000	0.142400	0.238400	0.186300	0.214900	0.236000	0.190600	0.193900	0.194500	0.307200	0.277200	0.326600	0.261700	0.193100	0.188300
218142.9	0.242900	0.380000	0.194200	0.181600	0.186100	0.199400	0.224000	0.217700	0.141600	0.233500	0.184200	0.203500	0.230000	0.186600	0.190700	0.194900	0.304500	0.276000	0.322600	0.261700	0.191600	0.183700
