VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0.0	0.187000	0.168600	0.146600	0.115000	0.125500	0.084900	0.191600	0.191900	0.180300	0.194100	0.207700	0.205900	0.175800	0.179700	0.196500	0.171300	0.174100	0.178200	0.164200	0.202700
4957.8	0.187900	0.169100	0.146300	0.115100	0.125500	0.083500	0.193500	0.193700	0.182300	0.196000	0.207900	0.205700	0.180600	0.181000	0.196900	0.171500	0.175100	0.179100	0.165000	0.205200
9915.6	0.185900	0.166800	0.145900	0.115800	0.127100	0.085000	0.192500	0.191400	0.181000	0.195800	0.207300	0.203100	0.179300	0.179500	0.195400	0.170700	0.173900	0.177200	0.163700	0.201800
14873.4	0.186300	0.165700	0.142200	0.108900	0.117900	0.077500	0.193000	0.193700	0.183300	0.198100	0.207300	0.200500	0.183500	0.180900	0.196200	0.172200	0.175300	0.178700	0.164300	0.204300
19831.2	0.186200	0.167300	0.146400	0.117000	0.127200	0.085500	0.192200	0.191800	0.182200	0.195100	0.206900	0.199500	0.177900	0.179400	0.196300	0.171900	0.173300	0.178000	0.163900	0.201800
24788.9	0.186200	0.166000	0.144300	0.113200	0.123600	0.081300	0.193900	0.193400	0.184800	0.197300	0.208500	0.198500	0.182600	0.180900	0.196400	0.172500	0.175200	0.179900	0.164200	0.203700
29746.7	0.185800	0.166200	0.145000	0.113200	0.123200	0.081000	0.192600	0.193700	0.184600	0.197900	0.209000	0.197300	0.182500	0.180700	0.195600	0.172400	0.175000	0.179300	0.163700	0.203600
34704.5	0.186800	0.167300	0.145900	0.114600	0.125200	0.082700	0.192500	0.192200	0.184400	0.196100	0.207300	0.194900	0.180000	0.179700	0.194900	0.171200	0.173600	0.177500	0.163200	0.202500
