VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0.0	0.146100	0.143900	0.109800	0.143000	0.128700	0.149100	0.180400	0.184800	0.186300	0.141300	0.085400	0.160700	0.166700	0.172000	0.152000	0.167100	0.156800	0.158300	0.158500
4957.8	0.146200	0.143900	0.112000	0.143900	0.129800	0.155400	0.178100	0.183200	0.185000	0.142500	0.088700	0.162300	0.166800	0.170500	0.152800	0.169600	0.159900	0.157700	0.161500
9915.6	0.147700	0.145100	0.113700	0.145000	0.133200	0.155200	0.175600	0.180700	0.181500	0.142400	0.091500	0.162000	0.163400	0.167400	0.155000	0.175400	0.160800	0.157100	0.163700
14873.4	0.147400	0.145100	0.114800	0.146400	0.130600	0.156400	0.176300	0.182300	0.184200	0.141800	0.092300	0.163200	0.165700	0.169100	0.156200	0.177900	0.161000	0.157600	0.163200
19831.2	0.146100	0.144000	0.113000	0.143100	0.129400	0.157800	0.178300	0.183800	0.184900	0.141100	0.090200	0.160700	0.165200	0.169200	0.154800	0.183600	0.159200	0.157600	0.156700
24788.9	0.147600	0.144100	0.111500	0.142700	0.129000	0.158700	0.177300	0.183400	0.185800	0.141200	0.090100	0.158800	0.165300	0.169500	0.154400	0.180800	0.158600	0.157400	0.153900
29746.7	0.149400	0.144800	0.113200	0.143500	0.128500	0.157900	0.177600	0.184000	0.186000	0.141800	0.092000	0.157300	0.164700	0.168100	0.155400	0.183400	0.159900	0.157500	0.151500
34704.5	0.146200	0.144400	0.113500	0.143400	0.129400	0.156100	0.177500	0.182400	0.186700	0.142600	0.092600	0.158600	0.163400	0.169100	0.155000	0.182600	0.159600	0.158100	0.151200
39662.3	0.148200	0.144800	0.114800	0.143700	0.128200	0.155700	0.175800	0.181300	0.183300	0.143400	0.094800	0.158800	0.161800	0.165300	0.155900	0.186700	0.159900	0.157400	0.152500
44620.1	0.146700	0.144000	0.114100	0.143200	0.127300	0.155700	0.175700	0.180500	0.183100	0.144500	0.094200	0.159100	0.162600	0.165300	0.157000	0.191300	0.158400	0.156700	0.152600
49577.9	0.147000	0.142800	0.110100	0.143200	0.123400	0.157100	0.178300	0.184700	0.187800	0.142500	0.091000	0.161600	0.164800	0.167800	0.155500	0.191200	0.155100	0.156400	0.159300
54535.7	0.149300	0.143800	0.113000	0.144400	0.127500	0.156100	0.176500	0.182500	0.184500	0.143100	0.093100	0.161500	0.162800	0.166600	0.156500	0.193300	0.156700	0.156300	0.156700
59493.5	0.149300	0.143200	0.111500	0.143500	0.124600	0.156300	0.177200	0.184100	0.185400	0.142900	0.091600	0.161300	0.163800	0.168700	0.156900	0.192200	0.155700	0.157100	0.154300
64451.3	0.146900	0.142200	0.113000	0.142500	0.128300	0.155100	0.174400	0.182100	0.181600	0.143300	0.092500	0.162900	0.161100	0.165400	0.157000	0.187500	0.156900	0.156100	0.159900
69409.0	0.145600	0.141200	0.111600	0.142100	0.125700	0.155500	0.176800	0.184800	0.185900	0.141700	0.092000	0.166600	0.162600	0.167100	0.155400	0.181700	0.154000	0.156700	0.163200
74366.8	0.144500	0.141800	0.113500	0.142100	0.124500	0.154200	0.173900	0.181700	0.183000	0.142900	0.094100	0.161600	0.161300	0.165000	0.154600	0.182400	0.155800	0.155900	0.159300
79324.6	0.146800	0.142600	0.114300	0.142800	0.125500	0.156900	0.175700	0.184400	0.185200	0.143300	0.095900	0.161900	0.162700	0.167500	0.155900	0.181600	0.156300	0.157000	0.155800
84282.4	0.145700	0.141300	0.112700	0.142200	0.123500	0.156900	0.175500	0.182500	0.184700	0.142300	0.093100	0.158200	0.162900	0.166300	0.153600	0.182500	0.155500	0.156400	0.152800
89240.2	0.144200	0.141600	0.111800	0.141200	0.122400	0.154000	0.173700	0.181600	0.180800	0.142100	0.093600	0.156500	0.161900	0.164300	0.153200	0.180300	0.154500	0.156500	0.149000
94198.0	0.144100	0.140700	0.111700	0.139800	0.121000	0.155700	0.173400	0.181700	0.181300	0.140600	0.096100	0.156400	0.161900	0.163900	0.153400	0.176500	0.154500	0.155500	0.147400
99155.8	0.143400	0.140700	0.113500	0.139500	0.120700	0.155600	0.171900	0.178400	0.178600	0.141500	0.095100	0.155900	0.160100	0.160700	0.151900	0.174300	0.155100	0.155600	0.145300
104113.6	0.139700	0.140400	0.111300	0.137400	0.119100	0.155700	0.170200	0.176700	0.176700	0.145200	0.093700	0.155700	0.159200	0.161100	0.150700	0.167800	0.153300	0.154800	0.144600
109071.4	0.139700	0.140900	0.110900	0.137800	0.119700	0.158800	0.173700	0.180600	0.183700	0.153900	0.092800	0.157500	0.163100	0.164900	0.150300	0.164100	0.153100	0.155800	0.147900
