VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0.0	0.151700	0.188200	0.249800	0.171400	0.159200	0.177600	0.168000	0.188400	0.194800	0.220900	0.248000	0.185200	0.170400	0.168600	0.154500	0.153200	0.223500	0.194300	0.185800	0.140300
5095.5	0.149400	0.185000	0.247200	0.170700	0.159500	0.176700	0.181300	0.191200	0.192800	0.218100	0.246000	0.185500	0.170500	0.167900	0.153700	0.152200	0.228300	0.195600	0.186200	0.139100
10191.0	0.151600	0.185600	0.246600	0.171800	0.161700	0.177000	0.183200	0.194700	0.198800	0.216600	0.243700	0.185200	0.170300	0.168800	0.153500	0.152900	0.225700	0.197300	0.186600	0.140800
15286.5	0.150800	0.186400	0.246400	0.170400	0.158500	0.175300	0.178800	0.187600	0.189600	0.216500	0.241400	0.183600	0.169700	0.168000	0.153500	0.152000	0.225100	0.194400	0.183900	0.140200
20382.0	0.151600	0.186800	0.246700	0.171300	0.160800	0.176700	0.171500	0.186500	0.188000	0.214500	0.241800	0.185100	0.169800	0.170300	0.155900	0.154700	0.224700	0.195200	0.186000	0.140600
25477.5	0.156300	0.188800	0.246700	0.169200	0.161700	0.177300	0.170600	0.179500	0.181900	0.210700	0.247000	0.180500	0.170500	0.171200	0.157700	0.157500	0.222300	0.201200	0.193200	0.146100
30573.0	0.154200	0.188200	0.244800	0.169900	0.161600	0.177900	0.167500	0.177300	0.179000	0.209000	0.244300	0.181300	0.169300	0.170900	0.157600	0.156500	0.220700	0.201100	0.194300	0.144300
35668.6	0.154800	0.187700	0.244600	0.169600	0.161200	0.177400	0.166200	0.175900	0.178400	0.207600	0.244700	0.180900	0.170000	0.170100	0.158200	0.157100	0.220900	0.202700	0.196700	0.146500
