VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0.0	0.181500	0.203100	0.190800	0.178400	0.188800	0.186400	0.192600	0.172700	0.185800	0.194200	0.188700	0.203400	0.188100	0.211500
5095.5	0.184000	0.203700	0.189900	0.177300	0.187300	0.187700	0.190300	0.171700	0.184200	0.194000	0.185900	0.202300	0.188100	0.245800
10191.0	0.188300	0.205000	0.191500	0.179100	0.188000	0.189400	0.190800	0.172300	0.184700	0.195300	0.186100	0.203500	0.188300	0.275400
15286.5	0.190600	0.203900	0.197000	0.183200	0.193400	0.191300	0.195400	0.170800	0.180500	0.195800	0.189600	0.204500	0.186700	0.248100
20382.0	0.196500	0.204600	0.193700	0.182000	0.191700	0.189700	0.193700	0.171200	0.181900	0.196600	0.189100	0.205200	0.188300	0.235700
25477.5	0.189000	0.205000	0.197400	0.184700	0.195900	0.191500	0.194300	0.172500	0.180300	0.198200	0.189200	0.207300	0.189700	0.238700
30573.0	0.190000	0.203200	0.194200	0.181900	0.191500	0.188700	0.190800	0.170500	0.178100	0.196400	0.185100	0.204400	0.188100	0.239800
35668.6	0.196400	0.204900	0.193400	0.181400	0.191400	0.189400	0.189400	0.171800	0.178500	0.198000	0.185000	0.205100	0.189500	0.241900
40764.1	0.197100	0.205500	0.194800	0.182700	0.193500	0.190300	0.190300	0.171700	0.178900	0.198800	0.185300	0.206700	0.191100	0.236800
45859.6	0.193600	0.203900	0.194100	0.181300	0.191700	0.188900	0.188300	0.170800	0.176400	0.197300	0.184100	0.205200	0.189900	0.227700
50955.1	0.200200	0.205200	0.195200	0.182100	0.193800	0.189700	0.189900	0.171800	0.177800	0.198600	0.185800	0.207200	0.191600	0.221200
56050.6	0.199700	0.203200	0.195600	0.181000	0.194000	0.189300	0.188600	0.171700	0.175800	0.197100	0.184500	0.205700	0.189600	0.217200
61146.1	0.194500	0.204800	0.195600	0.182300	0.194900	0.189300	0.189500	0.172200	0.176600	0.198100	0.185500	0.206400	0.190600	0.214100
66241.6	0.196600	0.204400	0.196900	0.183500	0.197000	0.190400	0.190900	0.174100	0.177600	0.199300	0.186000	0.207700	0.192000	0.205200
71337.1	0.197100	0.203700	0.197800	0.184300	0.197700	0.189900	0.191100	0.173900	0.178200	0.199900	0.185900	0.207800	0.192300	0.200800
76432.6	0.200200	0.204000	0.194600	0.182200	0.194000	0.188400	0.189500	0.173300	0.178000	0.198600	0.184800	0.206400	0.191500	0.197200
81528.1	0.196600	0.203600	0.195300	0.182700	0.194700	0.187800	0.189500	0.172500	0.177000	0.198000	0.185600	0.206300	0.190400	0.192100
86623.6	0.197500	0.203500	0.196000	0.183600	0.196800	0.188800	0.190500	0.173800	0.176700	0.198600	0.186800	0.207400	0.190800	0.191900
91719.1	0.192400	0.204800	0.198000	0.185400	0.198000	0.189600	0.192100	0.174200	0.178100	0.199100	0.189400	0.208400	0.191400	0.192000
96814.6	0.198100	0.201600	0.193500	0.182300	0.193400	0.187000	0.189300	0.173300	0.177800	0.196500	0.187500	0.206300	0.189200	0.189000
101910.1	0.196300	0.202400	0.196400	0.184800	0.195100	0.189600	0.192100	0.173700	0.177500	0.198300	0.192700	0.208500	0.190100	0.187400
107005.6	0.194700	0.203300	0.196300	0.185900	0.193600	0.189900	0.192700	0.173500	0.177600	0.199100	0.195300	0.209300	0.190500	0.187900
112101.2	0.197500	0.203400	0.194500	0.185100	0.192700	0.189000	0.192300	0.174800	0.178300	0.198800	0.194800	0.209000	0.191100	0.188700
117196.7	0.196300	0.202100	0.195100	0.184900	0.191700	0.188300	0.191500	0.173500	0.176400	0.197600	0.194300	0.208800	0.190400	0.187500
122292.2	0.190400	0.204800	0.203200	0.191200	0.200300	0.191700	0.196800	0.174000	0.176500	0.199900	0.197400	0.211300	0.191500	0.188700
127387.7	0.193900	0.201800	0.198600	0.187000	0.194600	0.187800	0.192400	0.173800	0.175900	0.197100	0.192700	0.207500	0.189700	0.186000
132483.2	0.203700	0.201400	0.194100	0.183700	0.191500	0.185900	0.189600	0.174200	0.177300	0.196400	0.191700	0.207300	0.189400	0.184700
137578.7	0.198200	0.201000	0.197500	0.184700	0.191800	0.185600	0.190200	0.172700	0.174600	0.193600	0.189000	0.205000	0.187700	0.183700
142674.2	0.191400	0.203200	0.203300	0.188400	0.199000	0.188000	0.194500	0.174000	0.176000	0.196400	0.189300	0.207000	0.189400	0.185300
147769.7	0.196900	0.200600	0.196000	0.182300	0.191000	0.182900	0.189200	0.172300	0.174800	0.191100	0.183700	0.201100	0.186000	0.182700
152865.2	0.195900	0.205700	0.198200	0.183800	0.194800	0.184700	0.194000	0.174400	0.178500	0.193200	0.188700	0.203100	0.188300	0.186200
157960.7	0.196600	0.211300	0.209200	0.198000	0.209300	0.191400	0.204500	0.178700	0.183600	0.195900	0.195200	0.207100	0.192100	0.193700
163056.2	0.207500	0.220200	0.213400	0.230100	0.215800	0.197500	0.210200	0.186200	0.201500	0.198400	0.197900	0.209300	0.196300	0.247000
168151.7	0.225800	0.231200	0.216500	0.318800	0.220500	0.205800	0.218700	0.191200	0.205900	0.201700	0.202900	0.212500	0.203000	0.284600
173247.2	0.239300	0.241000	0.224400	0.293200	0.230900	0.213600	0.225700	0.196500	0.209000	0.206500	0.214500	0.219100	0.209400	0.265900
178342.7	0.259600	0.251500	0.231800	0.283600	0.240000	0.219100	0.233100	0.203200	0.213500	0.209000	0.217200	0.222100	0.214600	0.257300
183438.2	0.266700	0.262300	0.236400	0.278200	0.243700	0.224500	0.239800	0.208000	0.218300	0.211200	0.219600	0.223200	0.218600	0.249000
188533.7	0.279100	0.270300	0.244300	0.275500	0.251300	0.230200	0.249600	0.210900	0.219300	0.213700	0.223900	0.225100	0.222600	0.241100
193629.3	0.265500	0.279100	0.256800	0.276600	0.265100	0.238500	0.263700	0.217300	0.222900	0.220100	0.230700	0.232000	0.228200	0.236100
198724.8	0.260500	0.286500	0.262000	0.271700	0.272900	0.241600	0.270100	0.221100	0.225000	0.222200	0.232000	0.232700	0.230800	0.229900
203820.3	0.261000	0.295700	0.267000	0.268800	0.278000	0.244300	0.277800	0.226000	0.230500	0.225800	0.235200	0.237500	0.234200	0.227200
208915.8	0.251000	0.300100	0.277500	0.269100	0.288900	0.245100	0.286500	0.229400	0.229800	0.228100	0.237400	0.238000	0.235300	0.222200
214011.3	0.245400	0.305500	0.284100	0.267600	0.295500	0.247800	0.295900	0.233400	0.233200	0.231100	0.239700	0.241100	0.237900	0.220000
219106.8	0.247200	0.307100	0.280000	0.258900	0.293500	0.244800	0.298100	0.234200	0.232800	0.228900	0.238400	0.239000	0.237700	0.214700
224202.3	0.246000	0.313200	0.288200	0.260400	0.304700	0.249100	0.308500	0.240400	0.235600	0.232600	0.242800	0.243000	0.240900	0.214400
229297.8	0.238200	0.313700	0.291600	0.257300	0.306000	0.248600	0.314600	0.243400	0.237400	0.232600	0.242500	0.243100	0.242000	0.211700
234393.3	0.236500	0.315300	0.291900	0.253900	0.306200	0.246100	0.320100	0.245500	0.238700	0.233000	0.242700	0.243200	0.242500	0.209500
239488.8	0.230900	0.316600	0.298700	0.254600	0.315500	0.249300	0.327800	0.248200	0.239600	0.233600	0.244100	0.244100	0.243800	0.208000
244584.3	0.232700	0.317600	0.300300	0.252300	0.315700	0.249700	0.330300	0.252100	0.241000	0.234600	0.244800	0.245100	0.243900	0.206900
249679.8	0.225100	0.316900	0.305000	0.252600	0.321700	0.246300	0.334700	0.252900	0.238800	0.233700	0.244700	0.244300	0.242900	0.204800
254775.3	0.222100	0.320700	0.307300	0.249800	0.325300	0.245800	0.334900	0.256200	0.241400	0.234600	0.245600	0.246200	0.245200	0.204800
