VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)	ROI(1-23)	ROI(1-24)	ROI(1-25)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
0.0	0.194100	0.167700	0.185400	0.190700	0.171600	0.172900	0.190300	0.172700	0.190900	0.180300	0.140700	0.181000	0.186700	0.167400	0.137200	0.139600	0.156200	0.175300	0.140300	0.180700	0.150800	0.168300	0.173900	0.154800	0.186800
5095.5	0.193300	0.167800	0.184900	0.191400	0.171800	0.174800	0.190600	0.173500	0.191600	0.180300	0.140000	0.181300	0.187300	0.171900	0.137300	0.140300	0.157300	0.176100	0.141600	0.181700	0.149900	0.167500	0.174100	0.156300	0.185500
10191.0	0.195100	0.169800	0.185600	0.192700	0.171100	0.175900	0.196700	0.182100	0.195500	0.179000	0.135500	0.181100	0.192100	0.206000	0.141000	0.135800	0.154600	0.177800	0.135600	0.182400	0.148600	0.163500	0.175900	0.148300	0.190900
15286.5	0.194500	0.168400	0.184700	0.192000	0.171800	0.172600	0.193500	0.175200	0.191600	0.180300	0.139900	0.181800	0.189300	0.211000	0.143500	0.139500	0.154800	0.179300	0.138900	0.180900	0.149100	0.165900	0.174100	0.153100	0.189100
20382.0	0.195500	0.171200	0.186900	0.193100	0.172200	0.173000	0.198600	0.182500	0.196200	0.180900	0.136100	0.181700	0.192900	0.184300	0.139700	0.135700	0.155100	0.180300	0.135200	0.183900	0.147600	0.162600	0.176600	0.147000	0.189300
25477.5	0.197500	0.170000	0.184300	0.191400	0.170400	0.169600	0.197600	0.184000	0.195700	0.178000	0.138400	0.180300	0.192800	0.182900	0.138800	0.135800	0.154000	0.179500	0.134600	0.183100	0.150200	0.160900	0.175900	0.148300	0.190800
30573.0	0.195100	0.166100	0.183400	0.189300	0.170300	0.168700	0.189200	0.171400	0.188400	0.180800	0.144000	0.180000	0.184900	0.194100	0.140700	0.140000	0.154700	0.179500	0.143100	0.179400	0.151700	0.167600	0.172200	0.159200	0.186500
