VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)	ROI(1-23)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
0.0	0.201300	0.184900	0.187900	0.202100	0.205500	0.210700	0.196100	0.218500	0.268100	0.177000	0.198200	0.176300	0.257000	0.168200	0.167100	0.133900	0.150500	0.114700	0.130200	0.178500	0.235800	0.249000	0.207400
5095.5	0.201900	0.186400	0.185800	0.201800	0.206700	0.215300	0.201800	0.238400	0.261600	0.174400	0.193500	0.173600	0.252600	0.164600	0.162800	0.130300	0.144600	0.113200	0.126300	0.175800	0.232400	0.246900	0.209400
10191.0	0.200600	0.185000	0.186600	0.201000	0.204500	0.209200	0.193300	0.215900	0.263800	0.177600	0.194300	0.176300	0.254000	0.165900	0.166000	0.134400	0.150800	0.118500	0.128600	0.176400	0.230600	0.248300	0.204400
15286.5	0.199300	0.184300	0.185300	0.199800	0.203600	0.210600	0.196300	0.219400	0.255400	0.176100	0.189000	0.173800	0.247800	0.165900	0.165100	0.133100	0.150100	0.118500	0.125500	0.174400	0.224500	0.245900	0.208300
20382.0	0.200000	0.183700	0.186000	0.198800	0.204000	0.210000	0.194900	0.222000	0.253300	0.175800	0.187300	0.174100	0.250000	0.163700	0.163800	0.132900	0.148800	0.116800	0.124400	0.174000	0.225700	0.246100	0.205000
25477.5	0.202400	0.187100	0.186100	0.200100	0.206800	0.215900	0.202400	0.228400	0.245400	0.171300	0.183000	0.172400	0.250900	0.161700	0.160300	0.127900	0.142100	0.110000	0.122000	0.174100	0.224800	0.246700	0.207200
30573.0	0.199100	0.183400	0.185300	0.197600	0.203300	0.209900	0.194000	0.211800	0.247100	0.177000	0.183500	0.175100	0.253100	0.164800	0.164600	0.133100	0.148400	0.115800	0.124400	0.173800	0.220300	0.246600	0.205600
35668.5	0.200700	0.184800	0.186600	0.198700	0.205200	0.212400	0.198300	0.216100	0.240900	0.174700	0.181000	0.173400	0.251500	0.163400	0.162000	0.129900	0.144400	0.111700	0.121500	0.173800	0.218000	0.247000	0.209100
40764.0	0.198700	0.182800	0.185700	0.197900	0.202700	0.207900	0.192600	0.202200	0.239600	0.177600	0.180700	0.174300	0.252400	0.163300	0.163000	0.131700	0.148300	0.114900	0.123700	0.173200	0.217300	0.246300	0.203600
45859.6	0.200500	0.185700	0.184600	0.198800	0.204100	0.212300	0.196400	0.201700	0.235400	0.176300	0.179600	0.173200	0.251400	0.163400	0.161600	0.130700	0.145400	0.114000	0.121400	0.173100	0.218100	0.245700	0.208900
50955.0	0.196900	0.181800	0.184700	0.197100	0.201000	0.206900	0.191200	0.188300	0.232200	0.176200	0.180100	0.174000	0.250400	0.164200	0.164100	0.132900	0.148300	0.115900	0.122800	0.172300	0.218400	0.245400	0.206600
56050.6	0.196200	0.181300	0.184200	0.195500	0.200400	0.204900	0.187000	0.180900	0.229700	0.179400	0.179900	0.174300	0.249100	0.165600	0.164600	0.135300	0.151600	0.120000	0.124600	0.171700	0.218700	0.245000	0.203400
61146.1	0.200400	0.184000	0.185500	0.198300	0.204200	0.212300	0.197300	0.192700	0.223300	0.174200	0.176600	0.171900	0.248200	0.162700	0.160000	0.128000	0.141800	0.110100	0.118300	0.172000	0.218900	0.246400	0.208600
66241.6	0.195300	0.179800	0.184900	0.194900	0.200100	0.204200	0.187500	0.178000	0.225200	0.177300	0.177500	0.173800	0.247100	0.165600	0.163200	0.133500	0.148700	0.117100	0.121800	0.171500	0.210500	0.244300	0.204000
71337.1	0.196500	0.180800	0.183600	0.195500	0.200600	0.206500	0.189700	0.180500	0.223300	0.177500	0.174600	0.172400	0.239400	0.163700	0.162000	0.133500	0.149000	0.118600	0.120800	0.170300	0.205400	0.242900	0.205800
76432.6	0.199400	0.183300	0.184800	0.197000	0.202200	0.209900	0.193500	0.186800	0.221300	0.174000	0.173200	0.171800	0.244200	0.163900	0.160100	0.130100	0.145400	0.114000	0.117900	0.170500	0.206100	0.244000	0.208400
