VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
0.0	0.194100	0.308100	0.196900	0.287600	0.214400	0.451400	0.175900	0.168800	0.180000	0.244800	0.302700	0.233700	0.356500	0.166400	0.184000	0.309800
5095.5	0.196100	0.314100	0.193700	0.283900	0.212100	0.450100	0.175600	0.168700	0.182200	0.246100	0.301600	0.231500	0.371500	0.176500	0.191500	0.309800
10191.0	0.192100	0.298400	0.203600	0.286100	0.214500	0.463700	0.172500	0.165100	0.177000	0.245300	0.292400	0.237400	0.359800	0.163600	0.179000	0.307400
15286.5	0.193100	0.300300	0.200900	0.282700	0.214800	0.457200	0.174100	0.167400	0.179100	0.243300	0.284800	0.235000	0.350600	0.166300	0.181100	0.309100
20382.0	0.192100	0.296000	0.207600	0.318300	0.219500	0.470600	0.174500	0.168600	0.176700	0.245100	0.294100	0.238900	0.349500	0.167200	0.180900	0.309700
25477.5	0.194300	0.299700	0.200600	0.332800	0.215900	0.471300	0.174900	0.169100	0.179000	0.248000	0.302700	0.235900	0.343600	0.166800	0.180500	0.310600
30573.0	0.195100	0.302600	0.194400	0.325600	0.210300	0.459000	0.175000	0.169100	0.180500	0.247600	0.310000	0.232000	0.330000	0.172300	0.183800	0.309900
35668.5	0.192400	0.292900	0.201100	0.325900	0.212600	0.470600	0.178700	0.167200	0.176100	0.247100	0.311700	0.235500	0.318500	0.167100	0.178100	0.303800
40764.1	0.189800	0.284700	0.215200	0.323600	0.221900	0.494700	0.215000	0.175200	0.173400	0.252500	0.316600	0.243500	0.318800	0.160000	0.171400	0.302900
45859.6	0.192200	0.285900	0.203400	0.319300	0.216700	0.478700	0.249300	0.183600	0.176400	0.251100	0.327100	0.237200	0.309700	0.167600	0.178500	0.301900
50955.1	0.190300	0.282900	0.205800	0.306000	0.217600	0.480000	0.241800	0.182500	0.175100	0.247000	0.329000	0.237300	0.301900	0.166000	0.176400	0.300100
56050.6	0.190000	0.281700	0.204500	0.289400	0.212800	0.475700	0.232300	0.178600	0.174900	0.246300	0.335100	0.236000	0.296800	0.164200	0.173900	0.301700
61146.1	0.189100	0.285100	0.197000	0.272000	0.210800	0.470200	0.229900	0.180000	0.176400	0.241800	0.345700	0.230200	0.291800	0.173900	0.181100	0.298200
66241.6	0.188300	0.281900	0.198300	0.267800	0.210100	0.467500	0.241400	0.181600	0.177200	0.242600	0.356200	0.230000	0.286300	0.168000	0.176600	0.294700
71337.1	0.186800	0.276300	0.199800	0.262200	0.211200	0.471300	0.224100	0.179200	0.175700	0.242600	0.359300	0.231500	0.282600	0.166500	0.175000	0.292400
76432.6	0.184900	0.272600	0.200500	0.257800	0.212300	0.471300	0.209800	0.175300	0.173500	0.240700	0.353400	0.230300	0.279500	0.165500	0.173200	0.290300
81528.1	0.184400	0.271200	0.202900	0.255300	0.210900	0.467000	0.194300	0.171600	0.172400	0.238900	0.349400	0.229700	0.278700	0.164800	0.172900	0.289900
86623.6	0.182900	0.259500	0.205800	0.254400	0.215100	0.473000	0.188300	0.167600	0.169800	0.237300	0.335100	0.231500	0.279700	0.152500	0.164900	0.288900
91719.1	0.181800	0.258600	0.200600	0.246800	0.209600	0.463500	0.182300	0.166900	0.169400	0.231100	0.317000	0.226000	0.284600	0.153300	0.166400	0.284600
96814.6	0.180400	0.251100	0.209700	0.247700	0.213000	0.476200	0.177500	0.163700	0.167000	0.232800	0.313100	0.231400	0.295900	0.145200	0.160700	0.286900
101910.1	0.183500	0.259500	0.191900	0.236200	0.206300	0.450300	0.179500	0.167100	0.170600	0.229000	0.306600	0.219400	0.299400	0.155600	0.171200	0.285400
107005.6	0.183500	0.253100	0.192000	0.236500	0.205800	0.453400	0.176500	0.165900	0.170200	0.227300	0.311700	0.218600	0.295100	0.150000	0.168000	0.284600
112101.1	0.180800	0.249100	0.194800	0.236700	0.207500	0.457000	0.176900	0.163700	0.168100	0.225300	0.306500	0.219500	0.286900	0.145500	0.165000	0.280800
117196.7	0.178200	0.240200	0.203600	0.242800	0.212800	0.478600	0.179000	0.162500	0.164400	0.225200	0.295300	0.224600	0.279700	0.136000	0.159200	0.278400
122292.2	0.180900	0.248100	0.191500	0.235300	0.206800	0.450600	0.193300	0.168800	0.168900	0.222900	0.285500	0.216800	0.275900	0.145200	0.167800	0.277800
127387.7	0.177800	0.236900	0.195800	0.237600	0.209600	0.460200	0.212500	0.172900	0.166200	0.221100	0.273000	0.217900	0.273200	0.134900	0.159000	0.274800
132483.2	0.177700	0.235600	0.199700	0.240200	0.210700	0.460200	0.221500	0.174200	0.165700	0.220800	0.266600	0.219300	0.271200	0.135900	0.161500	0.274600
137578.7	0.179500	0.235700	0.191200	0.239800	0.204800	0.439100	0.212600	0.171700	0.167400	0.221100	0.265500	0.215800	0.275100	0.136600	0.162800	0.274600
142674.2	0.176500	0.228300	0.199100	0.250500	0.210600	0.449600	0.211800	0.171900	0.164300	0.219800	0.256600	0.218300	0.274800	0.129600	0.156800	0.271100
147769.7	0.177600	0.230800	0.199200	0.253100	0.210600	0.452100	0.217100	0.173700	0.164400	0.219900	0.251800	0.216700	0.271900	0.132400	0.159000	0.271900
152865.2	0.180300	0.234000	0.196600	0.267800	0.210600	0.449500	0.223100	0.175600	0.167100	0.221600	0.256800	0.216000	0.272900	0.131300	0.159200	0.274400
157960.7	0.184900	0.249200	0.194100	0.298100	0.210100	0.459100	0.253200	0.187400	0.172000	0.221600	0.261700	0.210900	0.273400	0.146100	0.174000	0.276800
163056.2	0.181900	0.236500	0.215500	0.317300	0.220400	0.513000	0.254800	0.182400	0.167000	0.227000	0.259600	0.224800	0.277200	0.128100	0.158600	0.281500
168151.7	0.188500	0.247800	0.215700	0.315700	0.219200	0.535500	0.248500	0.184400	0.172400	0.229500	0.260900	0.223500	0.281400	0.134800	0.165300	0.287100
173247.2	0.186600	0.244500	0.224600	0.312900	0.227300	0.569200	0.242800	0.184000	0.171500	0.231200	0.255100	0.228200	0.286300	0.127600	0.160600	0.291500
178342.7	0.190700	0.250200	0.224200	0.299700	0.226800	0.559400	0.241700	0.186800	0.176100	0.231900	0.252300	0.226500	0.292900	0.133400	0.167300	0.296700
183438.2	0.193600	0.261600	0.218200	0.286400	0.222200	0.562900	0.235700	0.189500	0.180500	0.230700	0.249000	0.221500	0.297900	0.145900	0.180500	0.299300
188533.7	0.194900	0.261800	0.220700	0.283600	0.224100	0.572900	0.231100	0.187800	0.182100	0.234000	0.246700	0.224800	0.307300	0.142800	0.179500	0.307000
193629.2	0.194100	0.257600	0.221700	0.277700	0.225300	0.569900	0.223800	0.184700	0.182700	0.233900	0.242400	0.225600	0.310400	0.138100	0.175900	0.308800
198724.7	0.191800	0.247900	0.228100	0.276500	0.226700	0.579800	0.217800	0.183100	0.181000	0.231500	0.236400	0.229100	0.310200	0.130800	0.168400	0.308100
203820.2	0.193400	0.252900	0.223200	0.270200	0.228000	0.573400	0.216600	0.185100	0.182600	0.231700	0.234300	0.226200	0.308900	0.140400	0.177300	0.309400
208915.7	0.196200	0.258600	0.220700	0.264500	0.226200	0.563500	0.215800	0.185200	0.184900	0.230900	0.233300	0.222900	0.309900	0.146600	0.184300	0.310800
