VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0.0	0.202300	0.137200	0.170100	0.239300	0.157900	0.205800	0.193700	0.110300	0.177600	0.186300	0.185300	0.113900	0.176100	0.163500	0.172700	0.155400	0.101000
5095.5	0.201500	0.136300	0.169500	0.238900	0.159400	0.207800	0.197300	0.109900	0.179900	0.188500	0.186300	0.112700	0.181400	0.163800	0.173000	0.155800	0.100000
10191.0	0.203400	0.136700	0.169400	0.235600	0.159200	0.207200	0.194000	0.108100	0.178700	0.187100	0.185500	0.112700	0.178200	0.164900	0.172900	0.156200	0.100900
15286.5	0.208400	0.141200	0.167500	0.231400	0.155800	0.201900	0.185400	0.117800	0.175000	0.183500	0.183200	0.119300	0.174800	0.164300	0.173900	0.156100	0.100700
20382.0	0.205300	0.138200	0.169200	0.235000	0.159200	0.206900	0.192800	0.113800	0.178500	0.185800	0.185200	0.116500	0.178800	0.165000	0.173300	0.156100	0.099800
25477.5	0.206800	0.139100	0.169000	0.236700	0.157100	0.207700	0.194200	0.110300	0.178100	0.187900	0.186800	0.114000	0.179200	0.165900	0.174400	0.157000	0.097300
30573.0	0.207500	0.141700	0.168600	0.231000	0.154900	0.201900	0.188100	0.119800	0.175500	0.184500	0.185100	0.120700	0.175700	0.165300	0.174900	0.157000	0.100400
35668.5	0.204200	0.136500	0.169600	0.237600	0.161000	0.206700	0.198000	0.107100	0.178400	0.187600	0.186900	0.111900	0.180100	0.166000	0.174200	0.156900	0.095200
40764.0	0.206100	0.137800	0.167100	0.235100	0.156500	0.204100	0.194100	0.113500	0.177600	0.186800	0.185700	0.116000	0.178900	0.166700	0.174300	0.155900	0.097300
45859.5	0.206200	0.138900	0.168100	0.236200	0.156400	0.204800	0.194600	0.112200	0.177500	0.188000	0.187100	0.114700	0.179300	0.167600	0.175300	0.157100	0.095600
50955.1	0.209500	0.143000	0.168800	0.227300	0.154800	0.197900	0.183600	0.124300	0.172700	0.182700	0.183900	0.122700	0.173300	0.166100	0.175700	0.156800	0.100600
56050.6	0.200300	0.134300	0.168500	0.239300	0.166000	0.207300	0.205200	0.106500	0.180800	0.190200	0.190800	0.110300	0.182300	0.168000	0.174600	0.156500	0.092600
61146.1	0.203600	0.137500	0.168200	0.232200	0.159500	0.200800	0.195100	0.114800	0.174900	0.185400	0.186000	0.115600	0.176700	0.165600	0.172500	0.155300	0.095500
66241.6	0.202200	0.135700	0.166900	0.231400	0.157400	0.199600	0.195800	0.112000	0.175600	0.186500	0.184800	0.112800	0.175800	0.165200	0.171700	0.154200	0.095200
71337.1	0.208000	0.140800	0.166900	0.225800	0.152700	0.195500	0.188800	0.115700	0.172700	0.184100	0.182600	0.117200	0.173500	0.165600	0.172200	0.156600	0.095700
76432.6	0.205200	0.135800	0.166900	0.230700	0.157100	0.197800	0.195500	0.108200	0.174500	0.185600	0.184500	0.111700	0.174300	0.165800	0.171500	0.155300	0.094500
81528.1	0.201100	0.133000	0.167100	0.239100	0.162000	0.202600	0.205200	0.103700	0.178100	0.189600	0.188100	0.108700	0.181500	0.167500	0.172100	0.157100	0.091200
86623.6	0.205100	0.137600	0.168500	0.235700	0.160400	0.197800	0.204200	0.110200	0.175800	0.186400	0.185300	0.113200	0.176200	0.168500	0.177400	0.157200	0.094300
91719.1	0.218800	0.141100	0.389400	0.290100	0.164000	0.216400	0.557400	0.110500	0.182100	0.226000	0.443800	0.119000	0.532600	0.436800	0.347200	0.240800	0.093100
96814.6	0.471600	0.150100	0.344600	0.299100	0.170400	0.229800	0.504600	0.126000	0.206300	0.221000	0.384800	0.240900	0.453900	0.342700	0.293100	0.322900	0.098100
101910.1	0.315200	0.154600	0.284700	0.300100	0.256500	0.297500	0.401000	0.114500	0.368900	0.211400	0.300900	0.177100	0.354000	0.292500	0.329100	0.262600	0.095400
107005.6	0.267500	0.180200	0.239700	0.305200	0.366600	0.481400	0.337400	0.116100	0.282200	0.200300	0.248100	0.154200	0.287900	0.286800	0.288600	0.222600	0.096100
112101.1	0.241900	0.260000	0.204300	0.297700	0.338600	0.366500	0.340700	0.112500	0.241200	0.201500	0.230700	0.138100	0.247200	0.303900	0.292100	0.207800	0.096600
