VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0.0	0.199800	0.174000	0.177200	0.177100	0.165600	0.133900	0.191200	0.159900	0.195500	0.187800	0.079900	0.110800	0.206600	0.163800	0.182800
5095.4	0.202900	0.175300	0.178000	0.178300	0.167500	0.136600	0.194200	0.160900	0.195200	0.186700	0.085100	0.116100	0.195300	0.163700	0.182200
10190.9	0.201300	0.173900	0.176700	0.177200	0.167500	0.136400	0.192700	0.160300	0.193700	0.187400	0.084100	0.114300	0.205600	0.162900	0.181600
15286.4	0.202200	0.174400	0.177800	0.177400	0.167200	0.135500	0.193000	0.160500	0.194600	0.187400	0.082300	0.113500	0.207100	0.163300	0.181900
20381.9	0.197000	0.173600	0.176200	0.177200	0.169200	0.138800	0.194900	0.162900	0.187100	0.175600	0.084700	0.117500	0.211300	0.165000	0.181000
25477.4	0.199100	0.174900	0.178400	0.177700	0.167200	0.136200	0.192700	0.160400	0.195900	0.188700	0.084000	0.114900	0.209100	0.165000	0.182500
30572.9	0.200900	0.175500	0.177800	0.179000	0.167000	0.133500	0.192100	0.160400	0.195900	0.188900	0.079600	0.111000	0.205400	0.162200	0.182600
35668.5	0.203100	0.178500	0.183100	0.181700	0.167800	0.134900	0.191900	0.160500	0.202500	0.196100	0.079900	0.112000	0.206700	0.162000	0.185300
40764.0	0.196000	0.176000	0.179300	0.178300	0.163800	0.134100	0.190700	0.159200	0.197800	0.191300	0.079700	0.111800	0.205400	0.163200	0.182600
45859.5	0.205300	0.175600	0.182200	0.178500	0.169300	0.134700	0.191500	0.160700	0.203000	0.197500	0.079600	0.111400	0.204300	0.162300	0.184600
50955.0	0.207400	0.176400	0.183600	0.180800	0.168500	0.134100	0.191200	0.161800	0.195100	0.196500	0.079000	0.111900	0.203400	0.163800	0.183400
56050.5	0.203400	0.175700	0.179700	0.180200	0.170000	0.138300	0.192700	0.163000	0.184300	0.178100	0.086200	0.118200	0.207400	0.168400	0.182600
61146.0	0.208300	0.180100	0.185700	0.182800	0.169400	0.134400	0.188600	0.163700	0.196100	0.194700	0.079400	0.113100	0.202800	0.164400	0.185400
66241.5	0.212900	0.181900	0.187100	0.184200	0.171300	0.136100	0.190200	0.165800	0.200500	0.199000	0.080600	0.114600	0.204500	0.166800	0.188300
71337.0	0.211200	0.179200	0.184800	0.182600	0.171800	0.137400	0.191500	0.166700	0.191100	0.188400	0.083300	0.117400	0.209100	0.168700	0.185600
76432.5	0.213800	0.181700	0.187300	0.183300	0.169500	0.135600	0.189200	0.165400	0.199700	0.198900	0.080700	0.113300	0.202600	0.166800	0.187900
81528.0	0.215600	0.181500	0.186800	0.183100	0.174500	0.137800	0.190600	0.166200	0.196700	0.198800	0.082000	0.118400	0.199600	0.168200	0.188500
86623.5	0.214700	0.181100	0.187100	0.184300	0.172600	0.138600	0.192300	0.166900	0.193300	0.188100	0.082100	0.118800	0.199500	0.168100	0.187200
91719.0	0.216800	0.181800	0.187800	0.185900	0.171900	0.137300	0.190800	0.166400	0.199100	0.194600	0.082300	0.118100	0.194800	0.167400	0.189100
96814.5	0.212200	0.178700	0.182700	0.182200	0.173700	0.146900	0.194800	0.168300	0.182000	0.171700	0.092800	0.130100	0.198400	0.169300	0.184300
101910.0	0.217900	0.179700	0.186600	0.182200	0.169000	0.137500	0.188700	0.163800	0.197100	0.193700	0.082200	0.118200	0.189400	0.163200	0.187300
