VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
0.0	0.358100	0.275600	0.300700	0.298400	0.223800	0.184800	0.137700	0.228400	0.365100	0.542500	0.370200	0.400800	0.455500
5095.5	0.355200	0.273800	0.300900	0.296100	0.222400	0.184400	0.136700	0.227900	0.363600	0.542300	0.369800	0.398500	0.456300
10191.0	0.358300	0.275300	0.302700	0.297000	0.225300	0.175000	0.128800	0.223900	0.360200	0.550200	0.374500	0.405000	0.447700
15286.5	0.359300	0.273500	0.303400	0.296100	0.224300	0.178300	0.132200	0.223900	0.360500	0.555000	0.373200	0.404700	0.449400
20382.0	0.358600	0.269800	0.298300	0.285900	0.224200	0.189400	0.139500	0.234000	0.366800	0.545300	0.369400	0.397600	0.459500
25477.5	0.364300	0.273000	0.306300	0.292700	0.226600	0.181900	0.136000	0.230600	0.362500	0.555700	0.377600	0.403400	0.449100
30573.0	0.366900	0.272700	0.302500	0.291800	0.226600	0.175500	0.132100	0.232900	0.368500	0.557600	0.375100	0.402700	0.452500
35668.5	0.373000	0.275400	0.311500	0.298500	0.228000	0.176700	0.132000	0.232000	0.365800	0.562500	0.386500	0.408500	0.446200
40764.0	0.372300	0.272500	0.306800	0.294300	0.229000	0.178300	0.131700	0.233500	0.368700	0.559100	0.380900	0.404400	0.454000
45859.5	0.369700	0.270500	0.302800	0.292800	0.228300	0.182400	0.136700	0.240200	0.372600	0.557600	0.376900	0.403000	0.451600
50955.1	0.368700	0.269500	0.300800	0.290300	0.229200	0.190900	0.145400	0.243900	0.379700	0.556800	0.377400	0.400900	0.464600
56050.6	0.366000	0.269300	0.301600	0.291600	0.226800	0.180000	0.135700	0.237100	0.370400	0.558500	0.380400	0.401900	0.455400
61146.1	0.363700	0.268200	0.300800	0.286500	0.226000	0.182700	0.137800	0.239200	0.371500	0.553400	0.378700	0.399200	0.458800
66241.6	0.363600	0.269600	0.300500	0.285800	0.225500	0.184900	0.139300	0.240700	0.373500	0.555200	0.383200	0.399800	0.457700
71337.1	0.361300	0.267800	0.299500	0.283900	0.227000	0.186600	0.140900	0.241600	0.376000	0.558100	0.381200	0.401000	0.463100
76432.6	0.358600	0.264900	0.293500	0.281200	0.227800	0.180700	0.135600	0.243200	0.374800	0.549900	0.377400	0.394000	0.462200
81528.1	0.357200	0.262700	0.292400	0.277800	0.224900	0.189800	0.144000	0.242500	0.375300	0.552200	0.376100	0.394200	0.462900
86623.6	0.356700	0.262900	0.291100	0.276700	0.225200	0.184800	0.139400	0.242300	0.378300	0.554100	0.375800	0.392500	0.466300
91719.1	0.360100	0.260900	0.289300	0.274600	0.225800	0.193100	0.147600	0.248500	0.385500	0.551800	0.371000	0.388700	0.477800
96814.6	0.550400	0.458400	0.461900	0.310100	0.229400	0.206600	0.135400	0.245200	0.409000	0.570500	0.406800	0.413900	0.482800
101910.1	0.462700	0.397300	0.413300	0.316000	0.229300	0.213300	0.150500	0.266800	0.447700	0.563800	0.399300	0.409400	0.511500
107005.6	0.406800	0.350600	0.374500	0.309100	0.224800	0.202600	0.145000	0.262500	0.414500	0.567100	0.400700	0.409700	0.481800
112101.1	0.379600	0.333700	0.356800	0.299100	0.225200	0.196800	0.141600	0.253800	0.386900	0.566700	0.402800	0.410300	0.459300
117196.6	0.355400	0.318100	0.336900	0.288000	0.224100	0.211400	0.150600	0.256500	0.385700	0.546700	0.389300	0.399400	0.469400
122292.1	0.339700	0.311200	0.326500	0.280700	0.219300	0.202600	0.140700	0.244900	0.365100	0.535300	0.392100	0.400400	0.450900
127387.6	0.332100	0.306600	0.320300	0.274900	0.218900	0.199800	0.135900	0.237900	0.358300	0.529600	0.395100	0.400200	0.447900
132483.2	0.325200	0.298700	0.314600	0.270300	0.216700	0.195800	0.131600	0.233600	0.351500	0.522500	0.395600	0.398100	0.439100
137578.7	0.326100	0.299400	0.320900	0.270200	0.214100	0.196200	0.129900	0.225900	0.338000	0.524700	0.407800	0.406300	0.424600
142674.2	0.325000	0.295100	0.316100	0.269800	0.214600	0.198000	0.129200	0.229500	0.337200	0.515400	0.406700	0.405400	0.423700
147769.7	0.321900	0.287400	0.308800	0.265000	0.214600	0.221700	0.140000	0.243900	0.352700	0.502400	0.394300	0.393500	0.447400
152865.2	0.325300	0.286800	0.310800	0.264200	0.214700	0.220100	0.137000	0.236900	0.344800	0.500400	0.398900	0.397300	0.438000
157960.7	0.327600	0.286100	0.314000	0.264200	0.213800	0.218700	0.129200	0.234100	0.340100	0.502600	0.406300	0.400400	0.431400
163056.2	0.331100	0.289200	0.318300	0.266800	0.216700	0.219500	0.126500	0.230000	0.338700	0.512700	0.418600	0.409100	0.423400
