VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
0.0	0.168200	0.157500	0.167300	0.161700	0.179600	0.194600	0.200200	0.181900	0.093200	0.000000	0.240000	0.208600	0.178400	0.161000	0.169000	0.157800	0.154400	0.163700	0.076000	0.101400	0.159300
5095.5	0.172800	0.161800	0.174900	0.164800	0.181100	0.194200	0.204900	0.186300	0.087300	0.000000	0.240500	0.215900	0.184700	0.155700	0.161100	0.151200	0.151400	0.159700	0.071800	0.095300	0.157900
10191.0	0.168700	0.157500	0.169100	0.160700	0.179100	0.195100	0.199400	0.180900	0.089600	0.000000	0.240700	0.209300	0.179800	0.157600	0.164400	0.156000	0.154900	0.160400	0.079800	0.098300	0.159400
15286.5	0.172500	0.162100	0.177300	0.164900	0.185400	0.195700	0.205500	0.186300	0.085600	0.000000	0.243600	0.217100	0.185500	0.156300	0.160700	0.151100	0.152100	0.159800	0.075200	0.093900	0.159200
20382.0	0.171900	0.143500	0.180600	0.169600	0.176700	0.197000	0.209200	0.188900	0.087400	0.000000	0.246400	0.223600	0.188000	0.158300	0.163900	0.152100	0.149400	0.161700	0.000000	0.096100	0.161100
25477.5	0.179100	0.169400	0.187700	0.171100	0.189100	0.202500	0.215700	0.195400	0.085100	0.000000	0.243700	0.230000	0.195800	0.155400	0.160200	0.150900	0.151700	0.160100	0.000000	0.092400	0.158600
30573.0	0.175700	0.166100	0.181900	0.169900	0.189100	0.201300	0.210400	0.192100	0.089100	0.000000	0.242700	0.228200	0.191400	0.156900	0.162900	0.153700	0.153700	0.160500	0.079200	0.096500	0.159000
35668.5	0.178400	0.167700	0.176800	0.168300	0.186800	0.201300	0.208800	0.187700	0.091900	0.000000	0.243800	0.222300	0.186900	0.161400	0.168900	0.156200	0.153800	0.163600	0.075600	0.098700	0.160600
40764.0	0.171200	0.159400	0.171500	0.165500	0.185200	0.199100	0.202400	0.182100	0.097100	0.000000	0.243300	0.216800	0.180100	0.165800	0.173700	0.162500	0.161800	0.166200	0.081000	0.104200	0.162100
45859.5	0.174000	0.163000	0.174600	0.166300	0.186400	0.199600	0.205900	0.185100	0.096000	0.000000	0.243200	0.223400	0.183700	0.164300	0.173700	0.160000	0.158500	0.164600	0.081000	0.102200	0.160900
50955.0	0.173100	0.163000	0.176400	0.166400	0.185700	0.200300	0.206600	0.186900	0.089200	0.000000	0.245300	0.226600	0.184900	0.162900	0.172900	0.157200	0.154800	0.164300	0.081300	0.097400	0.160400
56050.5	0.174000	0.163200	0.179200	0.167900	0.189900	0.202300	0.206800	0.187500	0.089400	0.000000	0.244200	0.228600	0.187900	0.161800	0.170900	0.157600	0.156200	0.163800	0.083700	0.098500	0.161100
61146.1	0.173900	0.162300	0.174800	0.165800	0.186200	0.200400	0.209500	0.184900	0.092900	0.000000	0.245400	0.220600	0.183300	0.163000	0.171900	0.157100	0.157300	0.164000	0.089300	0.101500	0.161100
66241.6	0.168400	0.157700	0.168100	0.162400	0.182600	0.196600	0.204700	0.179400	0.098700	0.000000	0.243100	0.212000	0.177800	0.165900	0.176800	0.159000	0.157600	0.165900	0.092100	0.104800	0.161400
71337.1	0.176000	0.164300	0.179600	0.167300	0.185800	0.200800	0.209100	0.188200	0.086400	0.000000	0.245900	0.225600	0.187500	0.160200	0.168700	0.152000	0.148600	0.163400	0.084900	0.093800	0.159700
76432.6	0.174800	0.165400	0.177900	0.166200	0.186200	0.201200	0.205600	0.188100	0.091300	0.000000	0.244300	0.220600	0.186600	0.161100	0.171100	0.153200	0.153500	0.165100	0.082900	0.099100	0.160100
81528.1	0.171400	0.161200	0.174400	0.167200	0.186300	0.200100	0.201500	0.185600	0.091300	0.000000	0.245000	0.213900	0.183800	0.163600	0.175400	0.157000	0.157600	0.167400	0.080700	0.099100	0.160200
86623.6	0.170800	0.160800	0.171200	0.164800	0.186900	0.200400	0.199900	0.183800	0.095700	0.000000	0.245000	0.208900	0.181600	0.164500	0.174900	0.159000	0.157700	0.167400	0.083200	0.102600	0.160600
91719.1	0.177200	0.167900	0.182100	0.170000	0.189400	0.203300	0.207400	0.192400	0.088800	0.000000	0.248100	0.218700	0.190700	0.160700	0.168600	0.155400	0.154200	0.165900	0.080300	0.095500	0.160300
