VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)	ROI(1-23)	ROI(1-24)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0.0	0.173100	0.161700	0.151000	0.145900	0.172600	0.139900	0.154300	0.145500	0.155300	0.173200	0.167500	0.184200	0.175400	0.163400	0.167900	0.102500	0.127400	0.154000	0.121300	0.162000	0.182700	0.180800	0.184900	0.156800
5095.5	0.173100	0.161000	0.152600	0.143500	0.169200	0.140600	0.154300	0.145100	0.154900	0.171800	0.165700	0.186600	0.179600	0.164000	0.169000	0.101600	0.125100	0.151800	0.118800	0.162800	0.182800	0.181700	0.187600	0.155600
10191.0	0.173600	0.163400	0.154000	0.146800	0.172800	0.142100	0.157300	0.147800	0.157500	0.174700	0.170300	0.185600	0.179000	0.165800	0.172200	0.104300	0.129500	0.155800	0.122900	0.165200	0.184200	0.182200	0.187300	0.158600
15286.5	0.175200	0.165400	0.156400	0.146100	0.171200	0.142700	0.156900	0.147600	0.158200	0.174100	0.169900	0.186900	0.181600	0.165900	0.172600	0.104600	0.128600	0.155400	0.121400	0.164700	0.183700	0.184700	0.189500	0.159000
20382.0	0.175100	0.165200	0.156300	0.150600	0.175200	0.144700	0.156600	0.149100	0.159300	0.175700	0.173700	0.183300	0.173900	0.164100	0.169200	0.106100	0.132300	0.157700	0.121500	0.165100	0.182700	0.180100	0.184700	0.158800
25477.5	0.172900	0.164900	0.156100	0.151300	0.175500	0.141500	0.155800	0.148300	0.157900	0.174400	0.173500	0.180500	0.170100	0.162700	0.166600	0.108400	0.134500	0.157600	0.126500	0.162300	0.180600	0.177600	0.181900	0.157100
30573.0	0.173400	0.163000	0.153400	0.144700	0.169400	0.140600	0.155800	0.147000	0.156800	0.172800	0.168100	0.186600	0.180700	0.164900	0.171800	0.102000	0.127100	0.153700	0.119000	0.166500	0.182400	0.181700	0.186500	0.156900
35668.5	0.172000	0.162500	0.152600	0.144800	0.170300	0.140200	0.154400	0.146700	0.156600	0.172000	0.168900	0.185600	0.178200	0.162900	0.168200	0.102300	0.127600	0.153300	0.118500	0.163700	0.181500	0.180300	0.183400	0.156300
40764.0	0.174800	0.165100	0.155500	0.146800	0.173400	0.140300	0.155800	0.147400	0.157500	0.174000	0.171500	0.183100	0.175000	0.162800	0.169000	0.103700	0.131400	0.156200	0.119900	0.165400	0.180800	0.181100	0.183700	0.158600
45859.5	0.169300	0.162300	0.153500	0.145700	0.170600	0.137300	0.152900	0.146500	0.156200	0.170600	0.170000	0.180900	0.172900	0.159900	0.166100	0.104000	0.131300	0.155200	0.119400	0.162900	0.178000	0.176700	0.178700	0.156000
50955.1	0.170800	0.161800	0.153400	0.145200	0.169500	0.140500	0.154100	0.146400	0.155900	0.171700	0.169100	0.183200	0.175600	0.161300	0.165600	0.102500	0.127700	0.153100	0.119800	0.163700	0.179900	0.177500	0.182300	0.155200
56050.6	0.170800	0.162200	0.154100	0.144900	0.169400	0.139400	0.152100	0.146200	0.156000	0.171900	0.168600	0.181400	0.173000	0.159800	0.166000	0.102400	0.127100	0.153200	0.118600	0.161700	0.178500	0.176500	0.178600	0.154700
61146.1	0.170700	0.162200	0.152900	0.142800	0.169300	0.138800	0.152500	0.145100	0.155500	0.171000	0.166900	0.182000	0.175600	0.160900	0.166300	0.101100	0.125900	0.152000	0.117300	0.162600	0.178800	0.178000	0.179700	0.154800
66241.6	0.171500	0.162100	0.154500	0.144500	0.170400	0.135900	0.151300	0.146200	0.155700	0.170600	0.168500	0.181000	0.172900	0.159500	0.163400	0.103200	0.127900	0.153200	0.119100	0.160300	0.178500	0.176400	0.178000	0.153800
71337.1	0.171200	0.163000	0.155000	0.148100	0.173800	0.141500	0.154100	0.147700	0.158400	0.173300	0.171300	0.182000	0.174300	0.161300	0.165700	0.104700	0.129200	0.155500	0.123300	0.162100	0.179700	0.178600	0.177900	0.156600
76432.6	0.174600	0.163300	0.154300	0.144700	0.171100	0.139700	0.153900	0.146900	0.157000	0.172100	0.169800	0.186100	0.177600	0.160100	0.167400	0.103200	0.127900	0.154400	0.118700	0.164200	0.181300	0.180900	0.179700	0.156400
81528.1	0.171600	0.162500	0.153900	0.148100	0.174100	0.138600	0.152100	0.147800	0.157400	0.172400	0.171100	0.177600	0.168300	0.156400	0.163500	0.106200	0.131200	0.155800	0.121600	0.158900	0.177100	0.174900	0.174200	0.154800
86623.6	0.171700	0.160500	0.151200	0.142400	0.167600	0.140600	0.152400	0.146300	0.156600	0.171200	0.168000	0.185000	0.179100	0.158700	0.167100	0.101400	0.125200	0.153200	0.117000	0.163900	0.180400	0.179300	0.177900	0.154600
91719.1	0.171300	0.161000	0.154100	0.141600	0.167200	0.138400	0.152500	0.145900	0.155800	0.170700	0.167600	0.183900	0.178500	0.157900	0.168000	0.101400	0.126100	0.154200	0.115000	0.163700	0.180200	0.179300	0.178900	0.153400
