VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)	ROI(1-23)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
0.0	0.143700	0.171300	0.156900	0.155700	0.134800	0.148800	0.133000	0.123100	0.135200	0.107400	0.155200	0.151700	0.103800	0.086600	0.079900	0.135800	0.132500	0.183600	0.161000	0.174400	0.065100	0.088600	0.215300
4957.8	0.148200	0.173700	0.157800	0.163600	0.149300	0.144400	0.138800	0.131300	0.135400	0.105100	0.162500	0.156300	0.101300	0.077700	0.076600	0.133200	0.127600	0.189900	0.164600	0.174900	0.059400	0.083400	0.211900
9915.6	0.149700	0.163700	0.161200	0.163000	0.150700	0.141700	0.138500	0.128500	0.141700	0.104600	0.162500	0.159000	0.101600	0.074700	0.075300	0.132200	0.127300	0.188900	0.167200	0.200900	0.058500	0.082300	0.215000
14873.4	0.143300	0.158900	0.165100	0.157000	0.151600	0.132300	0.135700	0.129100	0.135000	0.101900	0.165000	0.159200	0.100700	0.070900	0.071100	0.132700	0.123200	0.189700	0.165500	0.205800	0.054500	0.077600	0.198600
19831.2	0.143000	0.162400	0.158700	0.150200	0.155400	0.131300	0.134000	0.131700	0.132600	0.102400	0.164400	0.159800	0.101400	0.072400	0.073700	0.132800	0.125100	0.188900	0.167400	0.196500	0.057800	0.080700	0.204800
24788.9	0.142600	0.167100	0.156600	0.144900	0.158200	0.137500	0.137700	0.126400	0.136600	0.105500	0.162300	0.158200	0.103900	0.075000	0.077400	0.130700	0.129900	0.185100	0.165000	0.181300	0.062200	0.085600	0.199100
29746.7	0.143100	0.176400	0.161600	0.145800	0.189100	0.138200	0.136900	0.124800	0.134700	0.103900	0.166800	0.160600	0.104100	0.074000	0.074000	0.132600	0.126400	0.187000	0.167700	0.174600	0.059300	0.081800	0.199800
34704.5	0.142700	0.176300	0.162100	0.148600	0.200100	0.139600	0.138600	0.129200	0.136600	0.104500	0.168900	0.163800	0.102400	0.073400	0.074300	0.134500	0.125400	0.189400	0.171700	0.171400	0.058000	0.080700	0.202200
39662.3	0.146800	0.169900	0.162100	0.145500	0.167600	0.137700	0.146300	0.134800	0.136300	0.104600	0.166600	0.163000	0.102200	0.072000	0.073700	0.132400	0.125100	0.186600	0.174300	0.173700	0.056500	0.079100	0.206000
44620.1	0.145300	0.173000	0.159300	0.145900	0.157700	0.135500	0.150700	0.133200	0.140300	0.105300	0.169100	0.164900	0.102500	0.072600	0.074000	0.133200	0.125600	0.189900	0.176700	0.170100	0.057800	0.079800	0.198700
49577.9	0.144800	0.174100	0.164200	0.146600	0.158200	0.130700	0.144200	0.128700	0.143100	0.103800	0.173900	0.167100	0.101900	0.071600	0.072700	0.134700	0.124000	0.191700	0.182500	0.169500	0.056700	0.078100	0.202400
54535.7	0.143800	0.163900	0.157000	0.144800	0.148100	0.131200	0.144300	0.131100	0.140700	0.106400	0.169800	0.164700	0.102400	0.076100	0.076100	0.131200	0.128200	0.188500	0.177800	0.173200	0.061100	0.083700	0.195100
59493.5	0.144500	0.169600	0.158200	0.142600	0.149000	0.129500	0.141900	0.131600	0.138800	0.105600	0.173500	0.167500	0.103100	0.075400	0.075400	0.133400	0.128200	0.188700	0.177300	0.176600	0.059500	0.083100	0.187100
64451.3	0.144300	0.165900	0.161900	0.143400	0.148500	0.126300	0.140400	0.120900	0.134900	0.106500	0.175400	0.167200	0.102700	0.072400	0.074100	0.131800	0.126200	0.189300	0.178200	0.180800	0.057500	0.080800	0.189400
69409.1	0.145000	0.163000	0.156200	0.142900	0.147200	0.130800	0.144700	0.124700	0.140000	0.107000	0.180200	0.165400	0.103500	0.075000	0.076600	0.131300	0.127800	0.187200	0.175900	0.175300	0.060000	0.083400	0.193600
74366.8	0.144400	0.157600	0.153400	0.142900	0.148600	0.130000	0.146100	0.120100	0.134900	0.105800	0.172500	0.165600	0.101400	0.074300	0.073400	0.133700	0.124300	0.189600	0.173100	0.168200	0.056600	0.079800	0.190700
