VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
0.0	0.181300	0.204200	0.205400	0.198400	0.173900	0.121800	0.157300	0.195800	0.173100	0.159900	0.176800	0.179600
5164.4	0.181000	0.199700	0.199500	0.189100	0.175600	0.126000	0.170300	0.203500	0.175800	0.160400	0.177700	0.178200
10328.7	0.180800	0.194000	0.197600	0.187900	0.175900	0.128400	0.171800	0.212400	0.174400	0.162000	0.177300	0.178700
15493.1	0.180500	0.195100	0.200500	0.192800	0.174700	0.125400	0.167800	0.231200	0.174200	0.160100	0.179000	0.179000
20657.4	0.180800	0.191600	0.198900	0.190100	0.175300	0.126200	0.171000	0.225700	0.174000	0.161500	0.179900	0.178200
25821.8	0.182200	0.192500	0.197300	0.188400	0.174200	0.125600	0.167600	0.202800	0.173900	0.164000	0.180700	0.178900
30986.2	0.180600	0.191700	0.198700	0.187900	0.173700	0.126000	0.172200	0.192500	0.174400	0.166700	0.179400	0.177800
36150.5	0.179000	0.189200	0.199500	0.188200	0.172500	0.125900	0.168900	0.187200	0.175400	0.178100	0.178900	0.177000
41314.9	0.183400	0.195300	0.204200	0.198300	0.172900	0.123000	0.160900	0.186200	0.175000	0.208400	0.179500	0.179000
46479.3	0.182300	0.198300	0.198200	0.190500	0.172800	0.124100	0.164100	0.182800	0.174600	0.196500	0.180300	0.178000
51643.6	0.183100	0.197100	0.195800	0.187400	0.174000	0.127300	0.171400	0.183700	0.175500	0.177100	0.180300	0.178300
56808.0	0.182300	0.199500	0.198900	0.189800	0.173000	0.124700	0.168000	0.180400	0.173600	0.164600	0.180400	0.178200
61972.4	0.183200	0.200400	0.199100	0.189200	0.173500	0.125700	0.165200	0.183100	0.178300	0.162600	0.177300	0.179800
67136.7	0.182700	0.198300	0.195000	0.182700	0.173800	0.129700	0.173700	0.181100	0.174300	0.158800	0.179900	0.178500
72301.1	0.184100	0.208200	0.200700	0.192100	0.174000	0.124300	0.166700	0.181400	0.174300	0.157100	0.180800	0.178800
77465.5	0.182800	0.200700	0.197900	0.186200	0.174300	0.127800	0.173800	0.180600	0.174700	0.158200	0.180900	0.178500
82629.8	0.183000	0.201700	0.202400	0.197600	0.173800	0.124700	0.162800	0.182600	0.173600	0.156200	0.181600	0.181500
87794.2	0.182100	0.198300	0.201200	0.195000	0.173900	0.128700	0.167500	0.179900	0.175300	0.157500	0.182000	0.180800
92958.6	0.229000	0.233300	0.208600	0.240200	0.177500	0.127800	0.169500	0.191600	0.193800	0.160200	0.193900	0.190300
98122.9	0.445300	0.470400	0.372700	0.424800	0.420300	0.143300	0.505500	0.238800	0.345600	0.220000	0.276000	0.442100
103287.3	0.375500	0.395300	0.375600	0.355200	0.387700	0.142300	0.363000	0.224300	0.288500	0.330600	0.351900	0.339900
108451.6	0.360700	0.377300	0.376700	0.346600	0.384500	0.150400	0.311800	0.349000	0.289600	0.290700	0.423000	0.348600
113616.0	0.347800	0.356000	0.334000	0.318500	0.371300	0.262300	0.307000	0.302000	0.266800	0.256900	0.377600	0.310600
118780.4	0.346000	0.350200	0.318900	0.317200	0.368800	0.280500	0.296000	0.281500	0.273300	0.250100	0.352000	0.315200
123944.7	0.341900	0.352300	0.310800	0.315300	0.366500	0.269500	0.291900	0.275600	0.268200	0.241800	0.335300	0.306100
129109.1	0.339500	0.348400	0.305500	0.314300	0.365600	0.276200	0.297400	0.270700	0.271100	0.241100	0.339300	0.314100
134273.5	0.340500	0.350700	0.304700	0.321400	0.358100	0.250100	0.287100	0.267200	0.268100	0.233000	0.334000	0.307700
139437.8	0.336500	0.350000	0.304500	0.321200	0.350100	0.229800	0.282800	0.253600	0.270600	0.229400	0.326400	0.310500
144602.2	0.340800	0.355200	0.309400	0.332100	0.339100	0.216900	0.272100	0.245100	0.265000	0.223200	0.309300	0.302500
149766.6	0.338500	0.340200	0.311900	0.324200	0.326100	0.224800	0.290100	0.246800	0.269000	0.222800	0.301800	0.303800
154930.9	0.333800	0.342000	0.316100	0.335900	0.312000	0.204800	0.279300	0.253300	0.264600	0.217500	0.289700	0.297700
160095.3	0.331200	0.328200	0.318600	0.323700	0.296700	0.199500	0.287000	0.245700	0.264300	0.217900	0.290200	0.301700
165259.6	0.323100	0.312300	0.314900	0.314100	0.283400	0.194000	0.302200	0.228600	0.259300	0.216400	0.274500	0.289200
170424.0	0.327600	0.311600	0.321100	0.325000	0.271200	0.178000	0.286300	0.222400	0.254400	0.213500	0.268500	0.289200
175588.4	0.325200	0.313400	0.327200	0.325300	0.262100	0.170300	0.287400	0.214800	0.253000	0.211700	0.262600	0.285600
180752.7	0.320900	0.302800	0.328000	0.320700	0.248700	0.164800	0.284900	0.204700	0.243100	0.205000	0.252000	0.272600
185917.1	0.318300	0.299400	0.330000	0.315200	0.247600	0.162400	0.298800	0.205100	0.246500	0.208300	0.248200	0.272700
191081.5	0.319300	0.299400	0.335700	0.327700	0.244000	0.152100	0.286900	0.205800	0.243700	0.207100	0.243100	0.273100
196245.8	0.310100	0.285400	0.324000	0.310800	0.236800	0.158400	0.310700	0.201000	0.240500	0.206100	0.236800	0.261500
201410.2	0.311500	0.291200	0.328200	0.318300	0.234000	0.151100	0.299300	0.200600	0.237000	0.203700	0.237000	0.258400
206574.6	0.309500	0.286400	0.331200	0.316800	0.231400	0.147800	0.300500	0.198100	0.234000	0.201200	0.233800	0.254100
211738.9	0.306500	0.276900	0.329500	0.314200	0.230200	0.143900	0.304400	0.195700	0.232600	0.199000	0.230600	0.249900
216903.3	0.306600	0.268900	0.333200	0.313600	0.227900	0.140600	0.297100	0.193200	0.229000	0.195500	0.226600	0.245500
222067.7	0.303400	0.265200	0.334100	0.318100	0.226400	0.131100	0.280400	0.189000	0.221400	0.189300	0.220000	0.239400
227232.0	0.304400	0.253900	0.333600	0.313300	0.225100	0.136700	0.291600	0.187000	0.223400	0.191500	0.216600	0.232600
232396.4	0.299100	0.243500	0.329800	0.307800	0.223800	0.136600	0.298700	0.183400	0.218300	0.189700	0.211100	0.223800
237560.7	0.296100	0.235300	0.327000	0.306000	0.221400	0.133900	0.292500	0.178600	0.212600	0.186200	0.203800	0.216800
242725.1	0.297000	0.227600	0.314800	0.300500	0.219000	0.129300	0.278400	0.176400	0.207900	0.181500	0.195800	0.208000
247889.5	0.295500	0.220800	0.307200	0.284100	0.218800	0.130400	0.281800	0.174800	0.206700	0.181900	0.189500	0.203100
253053.8	0.290500	0.212200	0.295200	0.261200	0.215700	0.133300	0.277700	0.171300	0.206000	0.181400	0.184500	0.194500
258218.2	0.287000	0.208000	0.292500	0.252700	0.209100	0.128600	0.243800	0.170700	0.203500	0.181500	0.181500	0.189800
