VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
0.0	0.199200	0.164200	0.135900	0.184900	0.195300	0.204900	0.180100	0.204100	0.181500	0.223400	0.224500	0.207300	0.157800	0.173300	0.178300	0.184400	0.168100	0.171000	0.181000	0.138300	0.179000
5164.4	0.198300	0.163000	0.136200	0.181800	0.229200	0.201700	0.179500	0.201500	0.175600	0.187700	0.215000	0.206300	0.158400	0.171300	0.177900	0.182900	0.167600	0.170500	0.180300	0.141600	0.177200
10328.7	0.197400	0.161300	0.133800	0.182400	0.206200	0.205500	0.185400	0.207600	0.175600	0.184500	0.215700	0.206100	0.155800	0.169300	0.179100	0.185300	0.168400	0.172900	0.181100	0.127900	0.179400
15493.1	0.199600	0.165500	0.141300	0.182100	0.192000	0.201000	0.177800	0.202200	0.172500	0.177100	0.209600	0.205800	0.159300	0.169500	0.177100	0.183600	0.168500	0.171500	0.182800	0.126400	0.179900
20657.5	0.199800	0.165200	0.142200	0.183700	0.187400	0.200400	0.178300	0.203500	0.171000	0.176900	0.206300	0.205500	0.156800	0.165600	0.176500	0.184000	0.168400	0.172100	0.182300	0.125800	0.180100
25821.8	0.198900	0.165200	0.134400	0.183300	0.181300	0.201400	0.178800	0.203200	0.169300	0.176400	0.205400	0.205200	0.155300	0.166600	0.175500	0.184600	0.169400	0.172500	0.182500	0.133900	0.180100
30986.2	0.198000	0.167700	0.137100	0.181800	0.180700	0.198700	0.177300	0.201400	0.168400	0.177600	0.200500	0.202500	0.157100	0.167900	0.176800	0.184400	0.170600	0.172800	0.182200	0.136000	0.180700
36150.6	0.196400	0.172400	0.136800	0.184500	0.186400	0.198300	0.179900	0.203400	0.169200	0.179100	0.202200	0.202600	0.157500	0.178100	0.181700	0.184500	0.171000	0.174500	0.180900	0.133600	0.179700
41314.9	0.199300	0.192500	0.140300	0.186100	0.201400	0.200100	0.179200	0.202600	0.170500	0.179400	0.201000	0.207000	0.159000	0.199300	0.188300	0.186000	0.173100	0.176500	0.182500	0.135100	0.181400
46479.3	0.196500	0.234000	0.134200	0.187800	0.237700	0.200000	0.180500	0.203600	0.166700	0.181000	0.200200	0.203300	0.158400	0.205100	0.186500	0.187400	0.174000	0.177200	0.184500	0.125200	0.183000
51643.7	0.196300	0.200300	0.132400	0.188700	0.216600	0.199300	0.183200	0.206700	0.168500	0.185600	0.202500	0.204100	0.158600	0.185800	0.183900	0.192900	0.172600	0.179800	0.185800	0.119100	0.184700
56808.0	0.195400	0.183200	0.141500	0.184500	0.198100	0.195300	0.177000	0.205100	0.168700	0.187200	0.199800	0.204200	0.163500	0.175600	0.180500	0.188400	0.171900	0.182100	0.186600	0.121000	0.184700
61972.4	0.192300	0.172100	0.135800	0.183400	0.180800	0.193400	0.176900	0.203000	0.165200	0.184400	0.197200	0.200900	0.157600	0.181000	0.178700	0.184400	0.170000	0.182600	0.184300	0.133400	0.181500
67136.8	0.192400	0.168900	0.133600	0.185300	0.175500	0.197100	0.182200	0.208700	0.177000	0.239000	0.206700	0.201700	0.160600	0.190900	0.181700	0.188600	0.172800	0.183800	0.183900	0.140400	0.183200
72301.1	0.193100	0.162600	0.128700	0.186800	0.173800	0.200800	0.183300	0.208200	0.176100	0.233200	0.222100	0.198300	0.155900	0.181400	0.178700	0.188100	0.172700	0.182900	0.181500	0.130500	0.181300
77465.5	0.204800	0.179500	0.605100	0.242400	0.176000	0.230100	0.191500	0.213800	0.183200	0.203200	0.225300	0.205600	0.164700	0.194300	0.185700	0.192000	0.180600	0.186500	0.392000	0.150000	0.333200
82629.9	0.487100	0.387900	0.567700	0.319600	0.334300	0.472500	0.364800	0.261500	0.222600	0.387300	0.247600	0.451900	0.305300	0.268600	0.360300	0.520200	0.401500	0.440100	0.451400	0.175400	0.364100
87794.2	0.350200	0.302300	0.374500	0.279100	0.297300	0.460800	0.335500	0.535000	0.266400	0.325200	0.371700	0.360200	0.247500	0.248900	0.339600	0.531900	0.402700	0.390200	0.314200	0.163100	0.285000
92958.6	0.295500	0.277500	0.432500	0.257900	0.278700	0.421600	0.316600	0.419200	0.262600	0.293700	0.353300	0.324600	0.230200	0.235000	0.285900	0.532600	0.339200	0.353500	0.368200	0.171300	0.347400
