VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)	ROI(1-23)	ROI(1-24)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0.0	0.155000	0.201000	0.205800	0.215100	0.162900	0.204800	0.135000	0.113800	0.148100	0.166100	0.136700	0.157900	0.138300	0.120900	0.165700	0.127600	0.107600	0.137400	0.133600	0.151300	0.141600	0.162900	0.094700	0.148700
4957.8	0.157500	0.202200	0.207600	0.208400	0.172800	0.213700	0.135700	0.113500	0.151100	0.161000	0.141000	0.155600	0.152500	0.121800	0.166700	0.124600	0.108000	0.134900	0.134100	0.152900	0.144200	0.164900	0.096200	0.149700
9915.6	0.161000	0.205100	0.211400	0.201700	0.168400	0.204300	0.137100	0.113600	0.152200	0.158200	0.150900	0.154900	0.142700	0.122100	0.168900	0.121700	0.107600	0.135500	0.134700	0.154100	0.151000	0.169600	0.103100	0.155000
14873.4	0.162700	0.203700	0.210700	0.186000	0.163700	0.207600	0.139000	0.115600	0.151700	0.159000	0.152600	0.152000	0.135800	0.122400	0.170100	0.120000	0.108200	0.138300	0.136300	0.157600	0.167500	0.174100	0.117200	0.172300
19831.2	0.165800	0.208100	0.212700	0.177100	0.157700	0.211400	0.139100	0.118500	0.150900	0.161800	0.151400	0.158500	0.134500	0.123700	0.170400	0.118000	0.109500	0.140200	0.138200	0.158000	0.179600	0.175700	0.126000	0.169100
24789.0	0.167000	0.212200	0.214300	0.170300	0.156500	0.212500	0.141300	0.117400	0.149100	0.156400	0.145700	0.156600	0.135200	0.124400	0.170600	0.116600	0.108200	0.145600	0.137800	0.157300	0.168500	0.174800	0.122900	0.165200
29746.7	0.168500	0.217100	0.218500	0.163700	0.162200	0.201600	0.137800	0.121500	0.150100	0.150300	0.144000	0.155700	0.138200	0.125400	0.170000	0.117800	0.109100	0.152900	0.139600	0.153300	0.159300	0.169100	0.118000	0.162900
34704.5	0.173700	0.224600	0.215800	0.158300	0.161700	0.202600	0.144200	0.133600	0.146400	0.141900	0.140000	0.151900	0.141200	0.124900	0.173500	0.117300	0.109200	0.146500	0.135800	0.157500	0.157500	0.173600	0.111600	0.158200
39662.3	0.183700	0.232400	0.218400	0.158100	0.158400	0.205600	0.146200	0.138300	0.149900	0.139600	0.141600	0.149600	0.149700	0.126200	0.173300	0.119000	0.109300	0.146800	0.135900	0.156500	0.150100	0.172500	0.104100	0.155600
44620.1	0.253700	0.222200	0.216000	0.158200	0.154800	0.200900	0.142900	0.133900	0.150300	0.139800	0.141000	0.154300	0.152000	0.127100	0.175500	0.122000	0.109600	0.150700	0.138900	0.151500	0.140100	0.165600	0.103400	0.157200
49577.9	0.224800	0.219500	0.213800	0.156000	0.153000	0.194900	0.144900	0.128100	0.148000	0.138500	0.140700	0.152300	0.154900	0.127300	0.174900	0.124400	0.109800	0.149800	0.138300	0.152600	0.139300	0.168100	0.104400	0.155500
54535.7	0.213300	0.223700	0.217600	0.159200	0.157100	0.193300	0.144700	0.125800	0.146700	0.142000	0.142800	0.149900	0.158100	0.128500	0.173400	0.123900	0.107600	0.153000	0.140600	0.152200	0.136000	0.167200	0.098200	0.154500
59493.5	0.210500	0.220300	0.215500	0.156000	0.155900	0.191500	0.146200	0.129300	0.145700	0.142000	0.142800	0.152900	0.151400	0.127600	0.173900	0.127300	0.110100	0.146400	0.140300	0.153400	0.137900	0.168800	0.103700	0.155600
64451.3	0.201400	0.220600	0.219900	0.156300	0.160500	0.193900	0.148900	0.125100	0.143400	0.141500	0.143600	0.149700	0.153000	0.128400	0.173700	0.125700	0.108500	0.156700	0.141400	0.154600	0.138200	0.170100	0.105000	0.155700
69409.1	0.198500	0.225900	0.218900	0.158500	0.171500	0.211300	0.151200	0.121900	0.142700	0.143300	0.145500	0.149900	0.163800	0.129200	0.174500	0.131900	0.108800	0.155200	0.141600	0.157500	0.140800	0.172000	0.105100	0.157900
74366.9	0.199900	0.235600	0.225900	0.159200	0.176800	0.212500	0.153100	0.122500	0.143800	0.145900	0.145800	0.153600	0.158800	0.130100	0.173900	0.136500	0.109000	0.150300	0.141500	0.154400	0.137300	0.168600	0.108700	0.160400
79324.7	0.194800	0.246700	0.223400	0.160600	0.170400	0.200900	0.153000	0.121300	0.144200	0.146600	0.146500	0.151400	0.153100	0.130800	0.172700	0.138500	0.108300	0.149400	0.141800	0.153800	0.136800	0.167700	0.109900	0.159600
84282.4	0.182900	0.238800	0.214400	0.163300	0.166800	0.205000	0.148900	0.123400	0.145700	0.146200	0.147100	0.153700	0.150800	0.131200	0.169400	0.141800	0.110500	0.154500	0.142900	0.147800	0.131300	0.161200	0.111700	0.160900
89240.2	0.192700	0.273200	0.230300	0.165100	0.178300	0.243200	0.157900	0.122500	0.144700	0.145300	0.149900	0.159900	0.152800	0.134900	0.175200	0.158100	0.109100	0.164600	0.145000	0.157900	0.142900	0.172900	0.121900	0.161000
