VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
0.0	0.184600	0.205200	0.175800	0.177700	0.200200	0.192300	0.184700	0.165600	0.156900	0.174800	0.231100	0.175400	0.176400	0.186500	0.205900	0.190400	0.179900	0.174200	0.165900	0.188500	0.110200	0.154700
5164.4	0.183800	0.206100	0.176900	0.178700	0.200100	0.192100	0.184800	0.164800	0.156800	0.176000	0.234000	0.178700	0.174400	0.186100	0.206100	0.189100	0.179200	0.174600	0.166900	0.186200	0.109800	0.151900
10328.7	0.185300	0.205000	0.174700	0.178100	0.197100	0.188100	0.187300	0.164800	0.157800	0.174500	0.233300	0.176600	0.176000	0.185400	0.206600	0.189300	0.174300	0.173700	0.167300	0.182300	0.116800	0.155600
15493.1	0.183800	0.204300	0.175900	0.179000	0.195800	0.191400	0.181700	0.161500	0.155500	0.173200	0.232100	0.178300	0.173400	0.184100	0.205800	0.189300	0.178400	0.173900	0.163400	0.185200	0.106400	0.153800
20657.5	0.182600	0.203100	0.175100	0.177900	0.194600	0.185800	0.184900	0.162600	0.158100	0.174600	0.231600	0.174500	0.174400	0.185100	0.204400	0.185400	0.171700	0.173300	0.165000	0.176900	0.111700	0.152800
25821.8	0.184700	0.203800	0.176600	0.179600	0.195200	0.188200	0.183200	0.161900	0.157600	0.174500	0.230900	0.176000	0.173700	0.186100	0.206300	0.187700	0.174200	0.173900	0.164500	0.182600	0.111500	0.154000
30986.2	0.183100	0.201400	0.173500	0.177500	0.192900	0.187600	0.180800	0.160200	0.156300	0.173300	0.229900	0.177000	0.173700	0.184700	0.205700	0.187200	0.174200	0.172600	0.162900	0.181000	0.110500	0.155200
36150.6	0.180600	0.202300	0.174700	0.178600	0.194100	0.190500	0.177100	0.158600	0.154600	0.173700	0.230900	0.178700	0.171100	0.182600	0.206100	0.186600	0.177800	0.174800	0.161900	0.183200	0.105100	0.153200
41314.9	0.182400	0.202100	0.175200	0.181200	0.194200	0.192000	0.176300	0.158300	0.153400	0.173900	0.230800	0.179300	0.171400	0.183000	0.207800	0.187800	0.179700	0.175900	0.162400	0.186600	0.105100	0.154400
46479.3	0.181600	0.202200	0.176100	0.181300	0.194400	0.192400	0.174900	0.158000	0.153400	0.174500	0.232000	0.179900	0.170300	0.183000	0.208400	0.187900	0.180300	0.176300	0.162900	0.186700	0.100600	0.151300
51643.7	0.180900	0.199500	0.171700	0.178400	0.192100	0.185200	0.177300	0.157800	0.155800	0.173300	0.228900	0.174600	0.172000	0.182400	0.206800	0.182700	0.170600	0.172700	0.163000	0.176100	0.108700	0.152800
56808.0	0.181000	0.199000	0.171200	0.179000	0.191800	0.183700	0.178000	0.158200	0.156400	0.173600	0.227900	0.173000	0.172100	0.183900	0.206300	0.182600	0.169600	0.172400	0.163800	0.175600	0.107500	0.151900
61972.4	0.180800	0.198000	0.170800	0.178000	0.191300	0.184300	0.177600	0.157400	0.155300	0.173200	0.226500	0.173500	0.172200	0.184700	0.204400	0.182700	0.170600	0.172000	0.162500	0.176400	0.110100	0.152500
67136.8	0.181700	0.201700	0.175100	0.181200	0.193600	0.191900	0.173600	0.156500	0.152600	0.174100	0.229400	0.182500	0.171000	0.184500	0.206400	0.186000	0.180300	0.175000	0.161300	0.186800	0.100200	0.153000
72301.1	0.182200	0.197900	0.171200	0.178900	0.191700	0.185500	0.175000	0.157100	0.154400	0.174000	0.226200	0.177200	0.172800	0.185800	0.205900	0.184500	0.172500	0.172100	0.161100	0.179600	0.104700	0.153400
77465.5	0.181000	0.199100	0.172700	0.179500	0.193000	0.191100	0.172400	0.155400	0.150800	0.175100	0.228100	0.180900	0.170200	0.185700	0.205200	0.184500	0.177300	0.172700	0.161400	0.183800	0.100700	0.150800
82629.9	0.181900	0.197200	0.170800	0.177400	0.193300	0.185700	0.176400	0.159400	0.160300	0.177900	0.225600	0.173900	0.175700	0.197700	0.204900	0.183400	0.169400	0.171000	0.164100	0.174400	0.105900	0.149500
87794.2	0.399700	0.258900	0.213300	0.295700	0.430600	0.252300	0.408100	0.359000	0.300200	0.304900	0.330100	0.298300	0.336300	0.321900	0.242900	0.332100	0.256700	0.272200	0.281500	0.209600	0.182100	0.377400
92958.6	0.349800	0.462400	0.343000	0.322300	0.402600	0.424700	0.356700	0.313700	0.291300	0.340000	0.329500	0.294400	0.312800	0.315000	0.247400	0.310500	0.359100	0.340500	0.305300	0.383100	0.209200	0.352100
98123.0	0.330100	0.426300	0.317800	0.326300	0.383500	0.383300	0.328700	0.305000	0.288800	0.319200	0.325100	0.278000	0.303100	0.304400	0.244600	0.306400	0.337500	0.320400	0.288900	0.362300	0.203800	0.322900
103287.3	0.330300	0.413100	0.343500	0.318400	0.380500	0.385100	0.320400	0.303300	0.286900	0.314600	0.368100	0.277100	0.303100	0.304900	0.245600	0.315400	0.343900	0.322300	0.277900	0.385300	0.191800	0.320800
108451.7	0.334300	0.407100	0.321400	0.323900	0.384000	0.379600	0.321700	0.307100	0.295600	0.319900	0.366700	0.274300	0.306100	0.310200	0.248100	0.319000	0.333100	0.324900	0.273000	0.366500	0.193100	0.310300
113616.1	0.336300	0.400600	0.310800	0.319900	0.386900	0.390600	0.315500	0.307200	0.287400	0.317700	0.363400	0.284000	0.306500	0.308000	0.250000	0.328400	0.346100	0.332800	0.264300	0.381200	0.189700	0.313000
118780.4	0.338600	0.396100	0.304700	0.326100	0.386800	0.399400	0.312000	0.306300	0.280700	0.313800	0.358800	0.288900	0.303900	0.305200	0.251000	0.329400	0.352500	0.332900	0.256900	0.390300	0.181500	0.315600
123944.8	0.346800	0.394000	0.300900	0.322500	0.390600	0.411800	0.313300	0.306400	0.286900	0.313100	0.358100	0.296200	0.305900	0.307200	0.254000	0.337900	0.365900	0.334300	0.253600	0.413000	0.180600	0.325000
129109.2	0.349600	0.387100	0.291700	0.312400	0.388000	0.400900	0.318600	0.307900	0.290600	0.315100	0.355600	0.291700	0.307000	0.309700	0.254800	0.323100	0.348300	0.330000	0.253500	0.384400	0.185800	0.316900
134273.5	0.351900	0.385600	0.289700	0.308100	0.385500	0.391600	0.332000	0.316500	0.297300	0.317000	0.354300	0.287800	0.307800	0.311800	0.256000	0.318400	0.333700	0.328700	0.258400	0.364300	0.201200	0.324200
139437.9	0.353400	0.381900	0.292000	0.317400	0.380500	0.390400	0.334600	0.314600	0.295000	0.312800	0.349400	0.290000	0.306300	0.308500	0.255900	0.316600	0.337600	0.326500	0.255600	0.367500	0.203000	0.332300
144602.3	0.356700	0.390000	0.295000	0.312300	0.379600	0.397500	0.328300	0.312300	0.289900	0.314900	0.352700	0.301900	0.305800	0.309600	0.257500	0.317900	0.349100	0.328200	0.252400	0.378100	0.190200	0.337100
149766.6	0.359400	0.390400	0.299400	0.313000	0.377400	0.404700	0.326600	0.311200	0.289600	0.315900	0.353100	0.306900	0.303600	0.312500	0.259800	0.318600	0.356400	0.327800	0.250400	0.388200	0.182400	0.343900
154931.0	0.360200	0.388500	0.300500	0.308600	0.374300	0.392800	0.336200	0.316900	0.300100	0.316800	0.350200	0.304100	0.306200	0.314000	0.258900	0.311500	0.343200	0.325500	0.255100	0.371400	0.190700	0.342300
160095.4	0.364400	0.389300	0.301600	0.308300	0.374700	0.397400	0.334500	0.318000	0.297000	0.316900	0.350900	0.302200	0.306900	0.316100	0.261300	0.314000	0.350300	0.323100	0.253100	0.379400	0.185500	0.350300
165259.7	0.369300	0.391600	0.303600	0.310400	0.376200	0.406400	0.335300	0.318800	0.292100	0.317300	0.352700	0.308000	0.308000	0.317900	0.262500	0.318900	0.363000	0.326900	0.250600	0.395100	0.183300	0.355000
170424.1	0.373100	0.394700	0.306600	0.313200	0.379200	0.409400	0.337500	0.325400	0.292300	0.321400	0.357300	0.312300	0.307600	0.320500	0.264400	0.320500	0.365800	0.333500	0.253500	0.395800	0.175900	0.352000
175588.4	0.381600	0.391000	0.310400	0.315700	0.382700	0.419000	0.337600	0.320900	0.291500	0.320500	0.356700	0.323000	0.308700	0.321800	0.265900	0.326800	0.379000	0.333700	0.251300	0.414300	0.177000	0.362500
180752.8	0.383400	0.384900	0.306300	0.311400	0.379800	0.405300	0.344700	0.323500	0.297000	0.323100	0.355200	0.315300	0.310000	0.324100	0.266500	0.318900	0.361500	0.330800	0.252900	0.391800	0.181900	0.358500
185917.2	0.388300	0.376300	0.301400	0.309600	0.374900	0.390400	0.363600	0.332300	0.312200	0.324600	0.351000	0.307400	0.313200	0.326800	0.266000	0.314800	0.340600	0.327600	0.263900	0.369300	0.204300	0.355900
191081.5	0.387300	0.371400	0.302800	0.311500	0.374900	0.391800	0.361000	0.335900	0.309200	0.323500	0.350900	0.309400	0.313000	0.327400	0.265300	0.315300	0.343700	0.327800	0.263600	0.370700	0.195000	0.349900
196245.9	0.390200	0.371800	0.311100	0.318200	0.379600	0.409600	0.356300	0.336600	0.304300	0.324100	0.355100	0.321600	0.312200	0.329500	0.266700	0.321100	0.364100	0.333500	0.262000	0.393600	0.184000	0.343300
201410.3	0.400100	0.363400	0.305500	0.316300	0.380300	0.404800	0.363900	0.345800	0.307500	0.323600	0.350200	0.319900	0.319000	0.332500	0.266900	0.320600	0.359000	0.332100	0.262900	0.390400	0.187600	0.343200
206574.6	0.400600	0.354400	0.296900	0.318900	0.386200	0.407700	0.362900	0.349100	0.305900	0.323700	0.349600	0.326800	0.317700	0.330900	0.266500	0.320700	0.362800	0.329900	0.261300	0.391800	0.177300	0.330600
211739.0	0.401400	0.346100	0.288600	0.318100	0.391400	0.397800	0.370000	0.357400	0.309700	0.321500	0.346800	0.317800	0.319800	0.329800	0.264800	0.320200	0.349900	0.327300	0.262600	0.367200	0.181800	0.325800
216903.4	0.401600	0.347600	0.290600	0.323700	0.394500	0.405700	0.363200	0.360200	0.299500	0.318100	0.348500	0.315500	0.318200	0.329200	0.264300	0.327300	0.355800	0.331200	0.263700	0.364500	0.170500	0.316800
222067.7	0.404200	0.348300	0.287900	0.319800	0.384600	0.389300	0.362900	0.372600	0.293900	0.310400	0.343100	0.300300	0.319400	0.329400	0.261600	0.318100	0.330100	0.328500	0.265900	0.333100	0.174100	0.309000
227232.1	0.407600	0.349900	0.293600	0.317600	0.374500	0.407000	0.360400	0.379300	0.272100	0.309200	0.342900	0.313600	0.319400	0.326400	0.260600	0.322700	0.339500	0.330500	0.270500	0.346700	0.168100	0.304700
