VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
0.0	0.148300	0.171900	0.159500	0.190200	0.154000	0.157200	0.171500	0.199000	0.122100	0.098400	0.236800	0.177700	0.159300	0.095400	0.179800	0.188100	0.089400	0.101700	0.184400	0.164100	0.234600
5164.4	0.147400	0.172600	0.158400	0.193300	0.155400	0.158500	0.172700	0.197600	0.124000	0.101000	0.235000	0.180400	0.162300	0.097800	0.175700	0.186500	0.092800	0.104300	0.184400	0.164200	0.239200
10328.7	0.147200	0.171600	0.157900	0.191800	0.154800	0.156900	0.171600	0.195400	0.123000	0.101500	0.230800	0.179100	0.161400	0.098500	0.171300	0.186200	0.091700	0.103100	0.182100	0.160800	0.237800
15493.1	0.148100	0.173600	0.159500	0.193200	0.155000	0.157200	0.171200	0.197800	0.121400	0.096300	0.229500	0.179400	0.158900	0.094700	0.168200	0.186800	0.089000	0.099600	0.182500	0.162400	0.238000
20657.5	0.148300	0.172800	0.158900	0.194400	0.154800	0.158800	0.172700	0.196600	0.126700	0.103800	0.227500	0.181200	0.162600	0.101000	0.167600	0.185400	0.092300	0.105600	0.182100	0.161500	0.243100
25821.8	0.151500	0.175200	0.160400	0.193600	0.156600	0.157800	0.172900	0.198700	0.121600	0.098500	0.222300	0.179800	0.157600	0.096100	0.166100	0.187000	0.089700	0.100200	0.182600	0.163300	0.236100
30986.2	0.149500	0.173400	0.159100	0.193400	0.153500	0.159200	0.174200	0.199000	0.122100	0.097000	0.224100	0.182600	0.160000	0.094200	0.169400	0.187500	0.089800	0.101200	0.184600	0.164500	0.238800
36150.6	0.151400	0.175900	0.160300	0.192900	0.155300	0.159500	0.174000	0.201300	0.121600	0.098300	0.222100	0.180800	0.159700	0.096900	0.168200	0.188600	0.090400	0.101800	0.185800	0.165400	0.238400
41315.0	0.149700	0.174100	0.158300	0.189900	0.152600	0.159800	0.174600	0.200500	0.121400	0.095100	0.223000	0.180800	0.158200	0.091200	0.168800	0.188800	0.087600	0.097900	0.185700	0.164500	0.237700
46479.3	0.151500	0.174300	0.159400	0.190100	0.153500	0.160500	0.176200	0.201000	0.122800	0.096300	0.224300	0.182400	0.159800	0.093700	0.172200	0.189000	0.089800	0.099300	0.185600	0.165600	0.238300
51643.7	0.151900	0.175600	0.161400	0.194000	0.158000	0.160800	0.175500	0.198200	0.127300	0.105100	0.219200	0.181700	0.162100	0.103000	0.172500	0.186000	0.092700	0.106300	0.183300	0.162200	0.235500
56808.0	0.148900	0.174900	0.159200	0.190600	0.152700	0.161300	0.177500	0.202800	0.118700	0.096000	0.227000	0.182400	0.160500	0.095200	0.178100	0.191900	0.089300	0.100600	0.190000	0.169200	0.238200
61972.4	0.148800	0.172900	0.159200	0.194500	0.155100	0.161800	0.176000	0.198400	0.125500	0.099800	0.222600	0.183700	0.163700	0.099700	0.192300	0.187500	0.090500	0.103400	0.185200	0.163200	0.234800
67136.8	0.150700	0.173400	0.159200	0.194500	0.156200	0.163700	0.177900	0.198100	0.131900	0.108000	0.221900	0.184600	0.168300	0.107600	0.211700	0.186100	0.094900	0.109400	0.184400	0.162600	0.233700
72301.1	0.150400	0.175000	0.159600	0.188300	0.149900	0.163100	0.178900	0.205700	0.114100	0.088900	0.229300	0.180900	0.157700	0.087600	0.202100	0.195700	0.085400	0.094300	0.193300	0.173200	0.232900
77465.5	0.154600	0.176300	0.161400	0.194400	0.154600	0.167100	0.182100	0.202600	0.125500	0.097200	0.234800	0.186900	0.169600	0.096300	0.242300	0.196500	0.090700	0.100300	0.192800	0.172000	0.247000
82629.9	0.337500	0.407000	0.347200	0.481700	0.350000	0.397100	0.409200	0.425800	0.217300	0.223100	0.527200	0.392200	0.324100	0.154000	0.365700	0.373000	0.098900	0.177600	0.451300	0.393900	0.452100
87794.2	0.304000	0.382400	0.323400	0.434100	0.324200	0.343400	0.349800	0.412700	0.217500	0.204200	0.430600	0.371700	0.309700	0.159800	0.331200	0.371300	0.098600	0.190700	0.403500	0.361700	0.422000
92958.6	0.294300	0.376400	0.319800	0.404200	0.317600	0.316100	0.328400	0.396700	0.236800	0.205300	0.382200	0.354000	0.304900	0.174300	0.314300	0.338600	0.100900	0.195200	0.371100	0.338600	0.403900
