VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
0.0	0.158800	0.198600	0.121900	0.176300	0.156900	0.279700	0.128400
5164.4	0.160800	0.196100	0.123100	0.175900	0.157000	0.289500	0.129700
10328.7	0.159600	0.193100	0.123600	0.175600	0.157800	0.275000	0.132800
15493.1	0.161600	0.191600	0.122200	0.177900	0.154600	0.267100	0.131700
20657.5	0.159300	0.189100	0.121700	0.176700	0.152300	0.277000	0.135300
25821.8	0.160500	0.190900	0.122700	0.177300	0.153100	0.300300	0.139900
30986.2	0.159500	0.194700	0.123800	0.176100	0.152500	0.282900	0.139100
36150.6	0.159600	0.194900	0.121000	0.176800	0.149800	0.277400	0.128600
41314.9	0.159500	0.205200	0.124200	0.176100	0.151100	0.284400	0.132200
46479.3	0.159700	0.218300	0.124400	0.174700	0.152400	0.298400	0.136200
51643.7	0.159700	0.225300	0.123200	0.177100	0.153800	0.287800	0.134000
56808.0	0.158700	0.210200	0.122400	0.176900	0.152600	0.290700	0.129800
61972.4	0.158100	0.203300	0.126500	0.173100	0.153800	0.281200	0.131500
67136.7	0.158900	0.205000	0.122800	0.175800	0.151900	0.277900	0.125900
72301.1	0.159600	0.201800	0.120400	0.178500	0.150200	0.287800	0.121700
77465.5	0.159700	0.192500	0.122700	0.176100	0.150900	0.291600	0.122100
82629.8	0.159500	0.184600	0.123400	0.177800	0.152900	0.287600	0.125800
87794.2	0.159300	0.178400	0.122400	0.175200	0.152000	0.286800	0.124800
92958.6	0.159800	0.170000	0.119600	0.179300	0.150000	0.282400	0.122600
98122.9	0.157900	0.166500	0.123700	0.176300	0.153500	0.281700	0.128500
103287.3	0.161400	0.160100	0.119300	0.193700	0.147400	0.265500	0.121200
108451.7	0.158200	0.160100	0.136500	0.216100	0.151000	0.264200	0.126200
113616.0	0.158800	0.158000	0.169800	0.349500	0.153000	0.256900	0.134000
118780.4	0.159600	0.154400	0.204700	0.303700	0.151000	0.242800	0.136500
123944.8	0.160600	0.150500	0.169100	0.270600	0.151700	0.235300	0.129400
129109.1	0.156400	0.151400	0.166900	0.233700	0.158800	0.227500	0.130800
134273.5	0.159400	0.148200	0.175600	0.231300	0.160800	0.224600	0.125100
139437.8	0.156800	0.148700	0.174200	0.211000	0.165500	0.220600	0.129100
144602.2	0.158200	0.144900	0.158400	0.208000	0.163400	0.215900	0.126700
149766.6	0.156300	0.144300	0.157900	0.196800	0.160000	0.209900	0.124200
154930.9	0.158700	0.143900	0.159500	0.192700	0.159900	0.209100	0.122400
160095.3	0.159700	0.144200	0.146900	0.187600	0.157500	0.204100	0.122100
165259.7	0.161700	0.146000	0.137900	0.182700	0.156200	0.200900	0.120600
170424.0	0.163700	0.146300	0.134000	0.185200	0.156100	0.199800	0.122600
175588.4	0.166500	0.149400	0.136100	0.183700	0.160600	0.201400	0.127200
180752.8	0.172400	0.149900	0.138100	0.192400	0.163900	0.199000	0.133600
185917.1	0.175800	0.151800	0.142800	0.194300	0.172600	0.198800	0.141400
191081.5	0.182800	0.154700	0.145600	0.204000	0.184500	0.198000	0.152600
196245.9	0.188500	0.156800	0.150800	0.207500	0.206700	0.196800	0.163100
201410.2	0.190800	0.159700	0.151600	0.212800	0.230800	0.195600	0.172700
206574.6	0.194700	0.162200	0.155500	0.216800	0.242800	0.193000	0.176300
211738.9	0.200100	0.162800	0.145800	0.230600	0.237100	0.191000	0.166700
216903.3	0.200100	0.164800	0.151700	0.229300	0.231800	0.188900	0.165500
222067.7	0.202300	0.167100	0.152600	0.233300	0.229800	0.188200	0.165900
227232.0	0.204800	0.170000	0.150400	0.241800	0.223400	0.187700	0.164800
232396.4	0.202300	0.169300	0.152000	0.239900	0.217300	0.184800	0.164300
237560.8	0.203100	0.168800	0.147500	0.248000	0.208400	0.183400	0.157100
242725.1	0.203400	0.169000	0.149900	0.249000	0.204900	0.182500	0.158400
247889.5	0.203900	0.164400	0.141300	0.262700	0.195800	0.180100	0.149600
253053.9	0.201400	0.163900	0.137500	0.266600	0.189400	0.178400	0.146500
258218.2	0.200900	0.165200	0.141100	0.258600	0.192600	0.178800	0.150500
263382.6	0.201200	0.162900	0.138400	0.255100	0.186900	0.179000	0.146500
268547.0	0.199800	0.161300	0.137600	0.248500	0.183900	0.177200	0.147500
273711.3	0.200300	0.157500	0.131800	0.246100	0.177600	0.175100	0.141300
278875.7	0.197000	0.159100	0.136300	0.234600	0.177900	0.175900	0.144000
284040.0	0.196700	0.155000	0.130800	0.237700	0.173300	0.173800	0.137700
289204.4	0.194600	0.156200	0.132400	0.229600	0.172900	0.174200	0.140500
294368.8	0.194600	0.154600	0.128600	0.227100	0.169600	0.173300	0.135800
299533.1	0.196600	0.155700	0.130900	0.228200	0.170200	0.173100	0.137100
304697.5	0.199200	0.154100	0.127600	0.227400	0.167400	0.174900	0.134600
309861.9	0.193400	0.153400	0.129900	0.215000	0.166300	0.172500	0.135300
315026.2	0.194200	0.153200	0.127600	0.213100	0.165300	0.173300	0.133300
320190.6	0.193800	0.151700	0.124200	0.214500	0.161700	0.172100	0.131600
325355.0	0.192500	0.148900	0.120500	0.213700	0.158700	0.170500	0.129100
330519.3	0.192200	0.149500	0.121300	0.208300	0.156900	0.171300	0.126600
335683.7	0.189100	0.146300	0.118000	0.205300	0.153900	0.168800	0.125800
340848.0	0.185500	0.144000	0.115900	0.202700	0.150700	0.166300	0.122900
346012.4	0.177400	0.140400	0.113000	0.185000	0.145600	0.162200	0.115800
351176.8	0.175800	0.137500	0.110800	0.187000	0.143200	0.162200	0.114700
356341.1	0.176200	0.138400	0.111800	0.181600	0.142900	0.161000	0.112200
361505.5	0.177800	0.138300	0.110500	0.187300	0.145100	0.163800	0.115700
366669.9	0.178000	0.139000	0.113000	0.186800	0.144800	0.163200	0.116800
371834.2	0.176500	0.140200	0.114600	0.181600	0.146300	0.163500	0.117700
376998.6	0.176600	0.137700	0.112400	0.182200	0.142700	0.161700	0.115300
382163.0	0.174000	0.137600	0.113500	0.180200	0.142700	0.161800	0.115200
387327.3	0.174400	0.136200	0.109900	0.184700	0.140400	0.162000	0.113700
392491.7	0.173500	0.138000	0.113000	0.177100	0.142200	0.161700	0.114200
397656.0	0.171700	0.135900	0.111400	0.176200	0.139000	0.161400	0.112300
402820.4	0.171600	0.135200	0.110600	0.175000	0.137800	0.159800	0.110500
407984.8	0.169800	0.134500	0.110800	0.174500	0.138600	0.160900	0.111800
