VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)
GraphNo	1	2	3	4	5	6	7	8	9	10
0.0	0.174800	0.188800	0.186700	0.177000	0.066400	0.089800	0.228000	0.179200	0.112800	0.130500
5164.4	0.174700	0.188400	0.183800	0.176900	0.066700	0.090800	0.227000	0.179200	0.113400	0.131100
10328.7	0.176300	0.186500	0.182400	0.176100	0.072400	0.095800	0.225400	0.179600	0.117100	0.132900
15493.1	0.175600	0.185500	0.177800	0.175300	0.075500	0.098900	0.222700	0.177800	0.116300	0.132400
20657.5	0.174500	0.188600	0.183400	0.177800	0.069100	0.093400	0.226600	0.179100	0.115100	0.132400
25821.8	0.176900	0.186800	0.180300	0.175900	0.071200	0.095800	0.223000	0.177700	0.115600	0.132700
30986.2	0.174700	0.186300	0.181200	0.176200	0.066000	0.089700	0.223600	0.178400	0.112500	0.131100
36150.6	0.173400	0.189500	0.185600	0.175900	0.067700	0.091200	0.224900	0.178800	0.113400	0.130100
41314.9	0.175700	0.185800	0.173900	0.176900	0.075900	0.100100	0.221400	0.177600	0.118900	0.133700
46479.3	0.171900	0.190200	0.184800	0.175700	0.062700	0.086700	0.224800	0.179400	0.110500	0.128000
51643.7	0.175900	0.185500	0.176000	0.174300	0.070600	0.095700	0.221100	0.177300	0.116600	0.132300
56808.0	0.173500	0.187600	0.178000	0.175900	0.068600	0.092500	0.222900	0.178800	0.115000	0.131300
61972.4	0.177100	0.185600	0.172700	0.173900	0.078000	0.102100	0.219100	0.178100	0.119400	0.132900
67136.8	0.170900	0.185600	0.176300	0.175800	0.066600	0.091000	0.222200	0.177600	0.113600	0.131100
72301.1	0.168500	0.192000	0.188000	0.176500	0.064100	0.087400	0.225400	0.177500	0.110400	0.129900
77465.5	0.172500	0.185100	0.177700	0.173200	0.069800	0.093800	0.219800	0.176800	0.113700	0.131300
82629.9	0.195500	0.256500	0.181400	0.183100	0.075800	0.152000	0.226500	0.188900	0.120300	0.140500
87794.2	0.394200	0.318300	0.205300	0.279600	0.128000	0.220600	0.289200	0.277700	0.167200	0.150600
92958.6	0.395700	0.335900	0.225500	0.296100	0.141500	0.204900	0.302100	0.281000	0.165600	0.147700
98123.0	0.405900	0.355500	0.238300	0.302000	0.135000	0.192600	0.309800	0.281900	0.162200	0.147700
103287.3	0.408100	0.366800	0.237600	0.310800	0.138500	0.191200	0.313500	0.284800	0.165200	0.150800
108451.7	0.414000	0.379900	0.233800	0.320500	0.142800	0.196100	0.313700	0.286100	0.169500	0.155300
113616.1	0.414200	0.395700	0.240400	0.328800	0.160800	0.211400	0.317000	0.289600	0.176000	0.163700
118780.4	0.434200	0.398300	0.231900	0.330600	0.182300	0.234300	0.309900	0.293700	0.184000	0.172100
123944.8	0.425800	0.414100	0.239500	0.337500	0.156100	0.208000	0.319600	0.299300	0.179900	0.176600
129109.2	0.434200	0.418800	0.236700	0.340700	0.169700	0.217500	0.319400	0.300000	0.187400	0.185800
134273.5	0.429700	0.428800	0.241500	0.345200	0.159700	0.208800	0.322500	0.302400	0.183800	0.189200
139437.9	0.428400	0.423300	0.237400	0.341900	0.175200	0.223800	0.319000	0.302000	0.190500	0.195800
144602.2	0.425700	0.435300	0.247600	0.348300	0.151700	0.205200	0.327900	0.305800	0.186600	0.198000
149766.6	0.403800	0.436500	0.250900	0.347400	0.149500	0.205700	0.329200	0.306200	0.187200	0.204400
154931.0	0.380100	0.426400	0.240300	0.350200	0.165100	0.222900	0.324800	0.305500	0.200600	0.226100
160095.3	0.344400	0.427000	0.246700	0.352400	0.146200	0.207400	0.329700	0.309700	0.200700	0.237300
165259.7	0.327100	0.420800	0.238500	0.345600	0.154700	0.223800	0.323600	0.312100	0.206400	0.241500
170424.1	0.307500	0.433300	0.247100	0.350300	0.141800	0.216700	0.326500	0.315900	0.199600	0.226700
175588.4	0.299300	0.424100	0.242000	0.342000	0.138600	0.225100	0.319800	0.316500	0.202200	0.224300
180752.8	0.285800	0.430700	0.247500	0.337800	0.132300	0.224400	0.322100	0.318800	0.199800	0.217000
185917.2	0.274600	0.432400	0.247400	0.325400	0.128700	0.226200	0.323400	0.319700	0.199800	0.212300
191081.5	0.262000	0.438800	0.246800	0.314400	0.130100	0.238200	0.320600	0.322300	0.207100	0.222700
196245.9	0.251600	0.448300	0.249200	0.310500	0.117600	0.233500	0.327400	0.325000	0.214700	0.236500
201410.3	0.241400	0.445800	0.249100	0.289200	0.113700	0.238800	0.324000	0.324500	0.217300	0.247100
206574.6	0.228400	0.446800	0.249000	0.278100	0.102400	0.228600	0.326600	0.332000	0.216400	0.257500
211739.0	0.221700	0.436900	0.247100	0.267700	0.102300	0.237600	0.324900	0.342300	0.219100	0.251800
216903.3	0.214600	0.419200	0.240300	0.260800	0.110200	0.265800	0.323400	0.353800	0.226400	0.245600
222067.7	0.206800	0.407600	0.240300	0.254000	0.112500	0.279600	0.322200	0.356200	0.222200	0.228100
227232.1	0.197800	0.403600	0.252600	0.253200	0.090700	0.244300	0.329000	0.360400	0.204600	0.204300
232396.4	0.194900	0.395900	0.254000	0.247100	0.093300	0.257200	0.329000	0.356800	0.202900	0.191800
237560.8	0.188800	0.388100	0.258100	0.244200	0.082900	0.242000	0.333100	0.353400	0.192500	0.177100
242725.2	0.184200	0.381200	0.257000	0.239000	0.085400	0.254300	0.333300	0.343700	0.194600	0.167500
247889.5	0.181900	0.370500	0.256500	0.233400	0.080000	0.250000	0.329500	0.327200	0.189800	0.158300
253053.9	0.181700	0.363600	0.258100	0.227400	0.081600	0.257800	0.328900	0.312600	0.186800	0.151800
258218.3	0.178800	0.354000	0.255900	0.222100	0.077900	0.255500	0.326800	0.300900	0.190400	0.148600
263382.6	0.180700	0.336400	0.247500	0.213200	0.085000	0.274300	0.317700	0.286600	0.192800	0.146800
268547.0	0.176300	0.331800	0.255000	0.211000	0.075400	0.247900	0.314300	0.278100	0.185200	0.142700
273711.4	0.173800	0.326300	0.255700	0.204800	0.071400	0.231900	0.305100	0.264000	0.176500	0.137400
278875.7	0.177400	0.308300	0.235600	0.200300	0.077300	0.246200	0.291000	0.257200	0.183500	0.141600
284040.1	0.177100	0.298700	0.229000	0.197200	0.078800	0.250400	0.284100	0.249700	0.183700	0.140600
289204.4	0.177000	0.293700	0.222000	0.193100	0.086600	0.270400	0.276700	0.241500	0.186900	0.140900
294368.8	0.172000	0.288000	0.216900	0.192600	0.074000	0.229500	0.278300	0.237500	0.178200	0.138800
299533.2	0.171000	0.276700	0.210800	0.188000	0.081400	0.239500	0.270700	0.231100	0.179100	0.137700
304697.5	0.172300	0.272400	0.205100	0.188400	0.082600	0.237700	0.267600	0.228100	0.177900	0.139100
309861.9	0.171700	0.267600	0.201100	0.185900	0.075900	0.216200	0.266000	0.224800	0.172700	0.137500
315026.3	0.170000	0.262800	0.198900	0.185800	0.077200	0.209500	0.265100	0.220600	0.169400	0.138200
320190.6	0.168100	0.258400	0.200100	0.184500	0.074400	0.195400	0.261800	0.216400	0.164500	0.136000
325355.0	0.170100	0.254000	0.195900	0.184400	0.076400	0.194700	0.258500	0.211700	0.162800	0.136200
330519.4	0.167300	0.249400	0.194100	0.182700	0.075100	0.185500	0.257100	0.209100	0.158900	0.135200
335683.7	0.168400	0.245100	0.191200	0.182100	0.076400	0.181700	0.254000	0.204600	0.158400	0.135500
340848.1	0.168600	0.240300	0.188100	0.180500	0.074800	0.173700	0.250000	0.203900	0.155200	0.136400
346012.5	0.169000	0.235500	0.186700	0.179300	0.079000	0.175400	0.245400	0.200500	0.152600	0.135200
351176.8	0.168900	0.232700	0.185400	0.179200	0.076300	0.165000	0.245300	0.198500	0.150000	0.134000
