VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)
GraphNo	1	2	3	4
0.0	0.188300	0.138000	0.191200	0.199400
5164.3	0.197100	0.128100	0.166400	0.201000
10328.7	0.190200	0.136400	0.169400	0.199200
15493.0	0.187500	0.134700	0.161200	0.196100
20657.4	0.185800	0.135300	0.152900	0.194900
25821.8	0.181600	0.143300	0.163700	0.192300
30986.1	0.187100	0.138000	0.148200	0.193400
36150.5	0.183600	0.137200	0.139800	0.192100
41314.9	0.185100	0.133900	0.131300	0.191300
46479.2	0.184900	0.136100	0.134600	0.190900
51643.6	0.181800	0.136000	0.144000	0.190900
56808.0	0.183300	0.134300	0.155800	0.190600
61972.3	0.189200	0.130600	0.172600	0.190600
67136.7	0.186600	0.135700	0.190500	0.189900
72301.1	0.188600	0.128400	0.183700	0.190600
77465.4	0.181500	0.143700	0.224600	0.190500
82629.8	0.248900	0.167100	0.200600	0.288600
87794.2	0.267000	0.181800	0.206800	0.319700
92958.5	0.293500	0.181500	0.187900	0.345100
98122.9	0.312900	0.201100	0.202200	0.366600
103287.3	0.351800	0.197000	0.189700	0.385800
108451.6	0.365500	0.197100	0.179800	0.399100
113616.0	0.367000	0.214800	0.202900	0.405600
118780.4	0.376800	0.219600	0.202900	0.416400
123944.7	0.390700	0.213000	0.187900	0.431400
129109.1	0.390600	0.207900	0.180300	0.434400
134273.5	0.396700	0.213600	0.191100	0.437500
139437.8	0.409500	0.206300	0.176300	0.442300
144602.2	0.410600	0.213800	0.189700	0.441400
149766.6	0.395000	0.223700	0.205600	0.437200
154930.9	0.393000	0.220000	0.193300	0.443700
160095.3	0.398300	0.215900	0.186500	0.439200
165259.7	0.407100	0.217200	0.186600	0.444800
170424.0	0.396300	0.218600	0.190800	0.437400
175588.4	0.410200	0.203900	0.168100	0.441800
180752.8	0.409000	0.207900	0.169900	0.445500
185917.1	0.424200	0.201800	0.158400	0.449900
191081.5	0.422700	0.203000	0.159400	0.442500
196245.9	0.422000	0.199800	0.152400	0.442200
201410.2	0.402500	0.209300	0.161700	0.437400
206574.6	0.407000	0.202600	0.157800	0.439100
211739.0	0.418900	0.198400	0.152600	0.434100
216903.3	0.432500	0.192700	0.145100	0.432100
222067.7	0.413200	0.200700	0.156900	0.421700
227232.1	0.426200	0.182100	0.134200	0.412500
232396.4	0.437100	0.174200	0.125400	0.396900
237560.8	0.428800	0.184800	0.143300	0.381600
242725.2	0.445900	0.171300	0.128100	0.363600
247889.5	0.427000	0.180900	0.146500	0.348100
253053.9	0.438500	0.170900	0.132900	0.340200
258218.3	0.449000	0.163200	0.123900	0.328500
263382.6	0.438500	0.175300	0.139500	0.317900
268547.0	0.430800	0.173300	0.135100	0.309800
273711.3	0.446400	0.161700	0.118600	0.302500
278875.7	0.424000	0.176700	0.133200	0.292300
284040.1	0.432200	0.172000	0.122100	0.287300
289204.4	0.424300	0.178700	0.129900	0.280500
294368.8	0.418600	0.172700	0.118300	0.278100
299533.2	0.414900	0.174500	0.114500	0.272400
304697.5	0.403100	0.182000	0.120100	0.267500
309861.9	0.401500	0.180800	0.110500	0.266100
315026.3	0.389100	0.190400	0.118400	0.257500
320190.6	0.378600	0.194200	0.117500	0.252800
325355.0	0.379200	0.192400	0.117100	0.246900
330519.4	0.377300	0.191400	0.111600	0.244100
335683.7	0.373400	0.184700	0.107200	0.242600
340848.1	0.356900	0.200200	0.126600	0.233700
346012.5	0.350200	0.185900	0.111700	0.231900
351176.8	0.342400	0.184700	0.113900	0.228200
356341.2	0.344300	0.181300	0.111800	0.226300
361505.6	0.335200	0.176300	0.110300	0.223500
366669.9	0.339200	0.168000	0.103100	0.222200
371834.3	0.325900	0.175900	0.113500	0.218000
376998.7	0.337100	0.164400	0.104800	0.217900
382163.0	0.321000	0.174400	0.116600	0.213900
387327.4	0.314700	0.173900	0.117900	0.213500
392491.8	0.307800	0.166400	0.110400	0.209500
397656.1	0.311000	0.160600	0.106300	0.207800
402820.5	0.296700	0.167700	0.115000	0.205100
407984.8	0.292700	0.159600	0.109100	0.202700
413149.2	0.309700	0.149600	0.099600	0.205000
418313.6	0.290900	0.157600	0.109700	0.200700
423477.9	0.292500	0.154700	0.109700	0.200600
428642.3	0.289900	0.150400	0.106900	0.199400
433806.7	0.281400	0.147600	0.105300	0.197100
438971.0	0.285000	0.141700	0.099000	0.197300
444135.4	0.270600	0.149000	0.108100	0.194600
449299.8	0.270000	0.145900	0.103800	0.194300
454464.1	0.265900	0.142500	0.104400	0.193200
459628.5	0.264900	0.142800	0.103600	0.192900
464792.9	0.255800	0.149900	0.114000	0.191100
469957.2	0.257300	0.138600	0.101400	0.191100
475121.6	0.259800	0.137300	0.099900	0.193300
