VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
0.0	0.169400	0.195400	0.181000	0.166800	0.171400	0.190300	0.154200	0.173300	0.117100
5164.4	0.169700	0.197800	0.182000	0.168300	0.173300	0.191400	0.156400	0.173400	0.115400
10328.7	0.170700	0.199800	0.182600	0.169600	0.172700	0.190500	0.155100	0.172400	0.117600
15493.1	0.173600	0.205300	0.183100	0.169300	0.173700	0.191400	0.155100	0.171100	0.112800
20657.4	0.172600	0.209100	0.184200	0.169800	0.173700	0.191200	0.155100	0.170200	0.113200
25821.8	0.176000	0.212400	0.183900	0.167800	0.172800	0.190400	0.154200	0.165500	0.108500
30986.2	0.169900	0.206000	0.183300	0.169000	0.171300	0.187200	0.152900	0.170000	0.113100
36150.5	0.164600	0.200100	0.180000	0.168600	0.168600	0.185000	0.154100	0.171100	0.121900
41314.9	0.173300	0.210100	0.184200	0.169100	0.171600	0.187600	0.153500	0.167800	0.112200
46479.3	0.170800	0.205700	0.181900	0.168500	0.168600	0.186100	0.153300	0.167000	0.118400
51643.6	0.176100	0.213800	0.183200	0.169100	0.170100	0.187600	0.154000	0.166400	0.109600
56808.0	0.171000	0.206700	0.181000	0.169600	0.169500	0.185900	0.153500	0.169900	0.119000
61972.4	0.168300	0.204400	0.181300	0.167800	0.167500	0.184300	0.152400	0.167800	0.117100
67136.7	0.173100	0.212700	0.183300	0.169400	0.170000	0.187000	0.153500	0.167400	0.113800
72301.1	0.170000	0.210500	0.182200	0.171000	0.169100	0.185700	0.153800	0.169900	0.118400
77465.5	0.179300	0.226200	0.195800	0.192700	0.175100	0.190000	0.158200	0.169600	0.121300
82629.8	0.324300	0.451600	0.365700	0.281600	0.338400	0.347400	0.346500	0.357800	0.287400
87794.2	0.301600	0.417000	0.362900	0.284800	0.344100	0.356200	0.346400	0.334100	0.319000
92958.6	0.309600	0.413500	0.373000	0.290700	0.365400	0.374700	0.353200	0.319500	0.307800
98122.9	0.300900	0.394900	0.367800	0.297400	0.374900	0.379800	0.369100	0.322700	0.321000
103287.3	0.297700	0.395100	0.379700	0.301100	0.377100	0.381300	0.376100	0.324800	0.316700
108451.7	0.291600	0.387400	0.393900	0.304100	0.379100	0.383000	0.380000	0.329500	0.328900
113616.0	0.287500	0.387800	0.394400	0.305000	0.377800	0.378400	0.372700	0.323700	0.321800
118780.4	0.292900	0.390400	0.397100	0.307400	0.379600	0.381000	0.368100	0.326300	0.326400
123944.8	0.297100	0.390500	0.372700	0.309900	0.384700	0.380500	0.366500	0.316800	0.324900
129109.1	0.297700	0.392400	0.361100	0.311700	0.384100	0.378500	0.361700	0.307600	0.322600
134273.5	0.300200	0.394400	0.342100	0.316400	0.384000	0.380500	0.363400	0.303400	0.317600
139437.8	0.295400	0.391600	0.325900	0.319000	0.383500	0.380800	0.363600	0.301800	0.332100
144602.2	0.295300	0.387900	0.306500	0.317800	0.383400	0.381500	0.364400	0.297500	0.342100
149766.6	0.314500	0.404700	0.299300	0.324000	0.393100	0.392600	0.365800	0.288000	0.318600
154930.9	0.295600	0.382600	0.280100	0.326000	0.381500	0.379900	0.361600	0.288600	0.346900
160095.3	0.303900	0.394700	0.272300	0.325900	0.382800	0.384900	0.359700	0.279900	0.328400
