VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
0.0	0.207500	0.157700	0.160200	0.172700	0.226400	0.173100	0.168600	0.153700	0.133700	0.104300	0.088900	0.108500	0.175300	0.164500	0.176300	0.160300
4957.8	0.209700	0.159000	0.162700	0.175100	0.229100	0.174200	0.170700	0.149300	0.132400	0.102300	0.086300	0.106400	0.176800	0.165400	0.177600	0.162000
9915.6	0.209500	0.158900	0.161700	0.173600	0.228700	0.174100	0.170300	0.143500	0.130500	0.098700	0.083300	0.104300	0.176500	0.164500	0.179900	0.159100
14873.4	0.209400	0.158200	0.163000	0.173600	0.229700	0.174900	0.171600	0.142700	0.129700	0.099900	0.085200	0.105500	0.175200	0.164800	0.182300	0.162100
19831.1	0.210600	0.158000	0.161500	0.173700	0.228900	0.174300	0.170000	0.142800	0.129400	0.098400	0.082800	0.104400	0.175900	0.163300	0.179200	0.159000
24788.9	0.213800	0.159000	0.164200	0.178300	0.234600	0.176600	0.174300	0.135500	0.126600	0.096000	0.081100	0.102200	0.177300	0.167200	0.180100	0.164500
29746.7	0.212700	0.159500	0.162800	0.174900	0.229200	0.174700	0.171600	0.136400	0.129500	0.101000	0.084200	0.106700	0.176000	0.163500	0.176000	0.158600
34704.5	0.211300	0.159300	0.162200	0.173000	0.227700	0.174300	0.169700	0.132800	0.128300	0.101700	0.086000	0.107700	0.175100	0.163200	0.174900	0.158800
39662.3	0.210600	0.159600	0.165800	0.176500	0.231200	0.176300	0.174000	0.128500	0.125800	0.096400	0.081200	0.101900	0.176500	0.166900	0.178800	0.162200
44620.1	0.208500	0.159800	0.168600	0.184400	0.230200	0.175600	0.174400	0.115600	0.118000	0.085100	0.076300	0.090000	0.179400	0.163900	0.179400	0.159600
49577.9	0.209600	0.159000	0.164000	0.173800	0.226200	0.174500	0.172200	0.127900	0.125900	0.098200	0.084300	0.104000	0.175700	0.165800	0.177000	0.161000
54535.7	0.208000	0.159300	0.162400	0.172000	0.219800	0.173800	0.170100	0.132800	0.128700	0.101100	0.085500	0.107300	0.176100	0.163200	0.172600	0.156600
59493.4	0.208300	0.159800	0.165100	0.176500	0.224400	0.176200	0.177400	0.139400	0.129500	0.099200	0.083400	0.104200	0.177100	0.166500	0.175400	0.163200
64451.2	0.208000	0.158600	0.164500	0.176200	0.223900	0.176900	0.176100	0.136300	0.127600	0.097700	0.082100	0.103400	0.176400	0.170300	0.175300	0.165100
69409.0	0.208300	0.158200	0.162000	0.172700	0.218900	0.174100	0.172700	0.136100	0.129900	0.100200	0.084500	0.106100	0.175400	0.165100	0.173100	0.160700
74366.8	0.207900	0.158700	0.162800	0.174800	0.221000	0.174800	0.173300	0.133400	0.129300	0.102100	0.086200	0.107100	0.176200	0.167900	0.175400	0.162500
79324.6	0.206600	0.157700	0.159300	0.172000	0.214800	0.172000	0.168500	0.133500	0.129800	0.104600	0.088500	0.110100	0.174800	0.165700	0.172600	0.159000
84282.4	0.205900	0.158500	0.163300	0.175700	0.219800	0.175000	0.173900	0.133400	0.128200	0.099500	0.083300	0.105200	0.175800	0.167000	0.178200	0.160100
89240.2	0.204300	0.158400	0.161000	0.174000	0.215900	0.172300	0.170400	0.135400	0.130100	0.103000	0.086700	0.108800	0.175200	0.164900	0.173300	0.159200
94198.0	0.200800	0.157700	0.162800	0.175600	0.215200	0.173200	0.170600	0.127300	0.125300	0.098200	0.082300	0.103200	0.175600	0.166400	0.176000	0.160800
99155.8	0.197800	0.157800	0.161500	0.172700	0.211300	0.170700	0.168400	0.126500	0.126700	0.099500	0.084300	0.104900	0.174500	0.164400	0.172300	0.159800
104113.5	0.195200	0.156900	0.158500	0.170400	0.206300	0.169700	0.165700	0.125900	0.126800	0.100400	0.086000	0.106700	0.172900	0.162200	0.169100	0.156800
109071.3	0.193400	0.156900	0.160100	0.171600	0.208500	0.170400	0.166300	0.121100	0.124600	0.095000	0.081500	0.102300	0.173800	0.162200	0.169900	0.156600
114029.1	0.194300	0.157100	0.161900	0.174200	0.212600	0.172200	0.168400	0.121200	0.123800	0.095600	0.080900	0.101700	0.174100	0.164400	0.171600	0.159600
118986.9	0.192900	0.157800	0.161800	0.173500	0.211100	0.170100	0.167900	0.121200	0.123600	0.095300	0.081200	0.101900	0.172900	0.164100	0.169700	0.157300
123944.7	0.190400	0.155600	0.157200	0.167800	0.204500	0.167200	0.162900	0.122800	0.124900	0.098500	0.083500	0.103900	0.170300	0.159900	0.164400	0.154500
128902.5	0.192300	0.158300	0.163100	0.174400	0.210300	0.171100	0.168300	0.121500	0.124200	0.096800	0.082300	0.102700	0.173400	0.163500	0.170000	0.158500
133860.3	0.190100	0.157100	0.163900	0.174100	0.208900	0.170900	0.167200	0.121600	0.123300	0.096500	0.082000	0.102500	0.173300	0.166500	0.169200	0.161700
138818.1	0.189300	0.157600	0.162000	0.171900	0.205100	0.168500	0.165100	0.124800	0.124900	0.097700	0.083100	0.104400	0.173500	0.162600	0.166300	0.158400
143775.8	0.188400	0.158200	0.161500	0.171900	0.204600	0.170800	0.166700	0.125700	0.125400	0.099800	0.084500	0.105600	0.173800	0.164300	0.169300	0.158300
148733.6	0.187700	0.158800	0.164400	0.174000	0.203100	0.171100	0.167100	0.122600	0.123700	0.097000	0.082100	0.102400	0.176100	0.166100	0.169600	0.161000
153691.4	0.187800	0.159900	0.163500	0.171400	0.197500	0.170600	0.166700	0.125800	0.127300	0.100900	0.085900	0.106300	0.178100	0.166100	0.169600	0.161400
158649.2	0.189700	0.163100	0.167600	0.174700	0.197800	0.172900	0.171100	0.128600	0.129000	0.102200	0.086300	0.107200	0.183500	0.169500	0.172700	0.165000
163607.0	0.192500	0.165700	0.170100	0.174600	0.195800	0.174400	0.173000	0.137000	0.134800	0.108100	0.091300	0.112500	0.188400	0.173100	0.176500	0.166100
168564.8	0.195500	0.172200	0.179100	0.183600	0.202200	0.181000	0.184000	0.136900	0.133900	0.103100	0.084500	0.105200	0.197900	0.181200	0.189700	0.174200
173522.6	0.199700	0.176400	0.184800	0.187000	0.202900	0.185300	0.188600	0.149200	0.140500	0.109000	0.090600	0.110700	0.205200	0.192100	0.195800	0.178500
178480.4	0.205000	0.181300	0.187500	0.187400	0.202700	0.189200	0.192500	0.161400	0.147000	0.116600	0.099100	0.118300	0.214500	0.201100	0.203600	0.182900
183438.1	0.207600	0.186500	0.192300	0.192400	0.204400	0.192300	0.197300	0.163800	0.149400	0.116500	0.101000	0.118700	0.224800	0.206400	0.209400	0.184600
188395.9	0.211100	0.190500	0.194800	0.192300	0.207700	0.194300	0.202800	0.165000	0.152200	0.120300	0.105500	0.122600	0.233700	0.209800	0.213700	0.186700
193353.7	0.215800	0.196300	0.201000	0.194700	0.213000	0.199400	0.209200	0.165100	0.154500	0.121700	0.106600	0.124900	0.248200	0.220000	0.217000	0.191300
198311.5	0.219500	0.199600	0.203600	0.195200	0.214000	0.201300	0.212400	0.164800	0.156400	0.123800	0.105900	0.125100	0.257400	0.225700	0.216700	0.195600
203269.3	0.223900	0.203300	0.203900	0.193300	0.213800	0.202700	0.214000	0.169000	0.161000	0.130800	0.110900	0.132500	0.265400	0.229300	0.217700	0.195500
