VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0.0	0.170700	0.172100	0.166700	0.188100	0.178200	0.168000	0.155700	0.173300	0.132500	0.153400	0.164100	0.160100	0.156300	0.070700	0.164400	0.175500	0.146000	0.143900	0.109700
5164.4	0.173800	0.175000	0.168200	0.190800	0.180100	0.170300	0.155600	0.172700	0.131800	0.153100	0.164200	0.160700	0.157000	0.069900	0.167300	0.178300	0.145800	0.144700	0.109100
10328.7	0.171000	0.175400	0.167300	0.191200	0.180200	0.170900	0.156500	0.173700	0.132900	0.155300	0.165200	0.161800	0.158500	0.070900	0.166100	0.176300	0.147000	0.144300	0.109300
15493.1	0.170100	0.175300	0.167900	0.191400	0.180800	0.171500	0.156400	0.174200	0.134300	0.155800	0.166000	0.161700	0.157600	0.072800	0.167000	0.176700	0.147300	0.144600	0.110700
20657.5	0.175300	0.179100	0.172000	0.201100	0.190000	0.175600	0.157600	0.174900	0.132800	0.158800	0.168400	0.161900	0.158100	0.067300	0.169700	0.178600	0.144600	0.145100	0.109000
25821.8	0.173400	0.176800	0.169700	0.200100	0.186500	0.175400	0.157700	0.174600	0.133600	0.159000	0.168600	0.162200	0.158500	0.071600	0.167500	0.177200	0.146300	0.145100	0.108900
30986.2	0.174900	0.180000	0.171700	0.201600	0.188700	0.177900	0.158700	0.175600	0.133800	0.159500	0.169500	0.162700	0.158900	0.069700	0.167900	0.176100	0.145900	0.144800	0.109600
36150.6	0.173600	0.180200	0.171600	0.201000	0.187400	0.177100	0.158400	0.174900	0.135400	0.159400	0.168600	0.162200	0.158400	0.069600	0.167500	0.176300	0.147000	0.144800	0.108200
41314.9	0.177000	0.184200	0.172400	0.201900	0.188900	0.179100	0.158000	0.173900	0.134000	0.157000	0.167200	0.161700	0.158200	0.067000	0.171000	0.178100	0.144900	0.144900	0.107300
46479.3	0.172800	0.181300	0.170400	0.199300	0.186700	0.176500	0.158500	0.175500	0.137900	0.158900	0.167700	0.161900	0.158300	0.071700	0.169700	0.176500	0.148100	0.146200	0.110000
51643.7	0.172800	0.180700	0.169900	0.200700	0.185900	0.176400	0.158700	0.174300	0.135900	0.157700	0.166600	0.161300	0.158700	0.071100	0.170200	0.176900	0.148500	0.147500	0.109100
56808.0	0.174800	0.182700	0.171500	0.201400	0.187800	0.178100	0.158700	0.174500	0.135200	0.155900	0.165400	0.161000	0.158500	0.072600	0.168700	0.178400	0.147400	0.147000	0.109000
61972.4	0.175900	0.185100	0.174000	0.203000	0.190600	0.179900	0.160400	0.177200	0.136500	0.159600	0.168700	0.163800	0.159600	0.068700	0.170000	0.179300	0.146800	0.147200	0.108600
67136.8	0.172400	0.182000	0.170600	0.199600	0.184500	0.177300	0.158300	0.176000	0.137000	0.162000	0.169900	0.161800	0.158400	0.072200	0.166600	0.176700	0.147700	0.145100	0.109900
72301.1	0.174100	0.184400	0.171800	0.200500	0.186500	0.178800	0.159700	0.177400	0.137100	0.167300	0.175100	0.164200	0.159700	0.069700	0.167900	0.177000	0.148700	0.146500	0.108600
77465.5	0.176200	0.187000	0.172600	0.203100	0.188400	0.180200	0.160800	0.177500	0.136400	0.166000	0.175100	0.164200	0.159600	0.069500	0.169600	0.178200	0.147000	0.146200	0.109600
82629.9	0.173300	0.182600	0.170800	0.199400	0.186000	0.178100	0.160400	0.177700	0.137600	0.167000	0.175700	0.165100	0.160600	0.070600	0.167700	0.177200	0.149300	0.146400	0.109700
87794.2	0.172700	0.182900	0.170300	0.199300	0.186000	0.177000	0.161100	0.178600	0.138600	0.166900	0.175100	0.164800	0.160500	0.073600	0.167600	0.176500	0.150600	0.147200	0.111200
92958.6	0.174500	0.186000	0.172800	0.201600	0.188600	0.178600	0.160800	0.177800	0.137000	0.167000	0.174600	0.164700	0.160800	0.070300	0.168600	0.178700	0.148900	0.146000	0.109100
98123.0	0.173600	0.183100	0.171000	0.199800	0.187300	0.177400	0.161200	0.179000	0.137700	0.167100	0.174900	0.164600	0.159900	0.070300	0.167000	0.176200	0.148700	0.146300	0.109800
103287.3	0.175300	0.185000	0.172400	0.201200	0.188000	0.179100	0.160400	0.177800	0.137100	0.166200	0.174900	0.163800	0.160200	0.069500	0.168500	0.178400	0.147700	0.146200	0.109000
108451.7	0.171200	0.181800	0.169400	0.200200	0.186700	0.177200	0.159400	0.178000	0.138600	0.167300	0.174800	0.163800	0.158400	0.075000	0.166000	0.175000	0.147900	0.144800	0.110100
113616.0	0.175200	0.186700	0.172700	0.203700	0.189500	0.178800	0.161500	0.179300	0.138000	0.168800	0.176700	0.165400	0.160500	0.068100	0.168800	0.177100	0.147000	0.146200	0.108300
