VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0.0	0.130500	0.209600	0.176000	0.170600	0.163100	0.167800	0.173000	0.136500	0.149300	0.184700	0.176900	0.172400	0.161000	0.216200	0.149000	0.157600	0.146600
5164.4	0.130000	0.206800	0.176100	0.163700	0.160900	0.162400	0.168700	0.139400	0.151100	0.181900	0.173900	0.168000	0.159600	0.214400	0.148100	0.155500	0.145000
10328.7	0.129700	0.204200	0.176200	0.159700	0.157700	0.158700	0.165600	0.140400	0.150200	0.179200	0.170500	0.165200	0.158400	0.211700	0.146000	0.150500	0.140900
15493.1	0.130500	0.205900	0.175500	0.159100	0.159200	0.159100	0.167700	0.139500	0.150400	0.180100	0.172800	0.167500	0.158700	0.210800	0.146800	0.152800	0.142200
20657.5	0.129800	0.208100	0.173500	0.159700	0.158700	0.159800	0.167300	0.135400	0.148100	0.179200	0.172000	0.166200	0.156800	0.207500	0.147500	0.154300	0.143700
25821.8	0.128800	0.207400	0.173800	0.156800	0.156000	0.155900	0.163900	0.135700	0.146300	0.175100	0.166800	0.160500	0.154700	0.203900	0.143900	0.150700	0.139600
30986.2	0.129800	0.207900	0.175600	0.157900	0.157400	0.157800	0.165200	0.136700	0.148200	0.175500	0.167200	0.160300	0.154600	0.201500	0.143700	0.151700	0.140000
36150.6	0.130900	0.210400	0.177000	0.161800	0.160600	0.164400	0.170000	0.136600	0.149300	0.179200	0.172400	0.167400	0.158500	0.202500	0.146800	0.155700	0.144800
41314.9	0.130500	0.210200	0.176700	0.160300	0.160200	0.162700	0.169300	0.136300	0.148700	0.178600	0.173100	0.167300	0.158000	0.202900	0.146600	0.158100	0.144700
46479.3	0.130800	0.209600	0.178200	0.158600	0.158600	0.160800	0.167700	0.137900	0.149400	0.178600	0.172600	0.166200	0.157100	0.202000	0.145500	0.156000	0.145100
51643.7	0.130500	0.211700	0.178100	0.162000	0.161200	0.165500	0.171300	0.134200	0.148100	0.179500	0.174900	0.170000	0.157800	0.199700	0.148100	0.161900	0.148500
56808.0	0.130600	0.209400	0.180300	0.159300	0.159200	0.161900	0.168100	0.137000	0.148700	0.178300	0.173000	0.169600	0.157600	0.199200	0.146700	0.160700	0.147300
61972.4	0.131200	0.210100	0.179700	0.160000	0.160400	0.164000	0.170000	0.137300	0.149400	0.179200	0.175200	0.170300	0.157500	0.195600	0.146100	0.159100	0.146200
67136.8	0.131500	0.211400	0.179600	0.161500	0.162500	0.166300	0.172300	0.136000	0.149600	0.180700	0.176800	0.172500	0.158200	0.193500	0.149300	0.161200	0.148900
72301.1	0.131100	0.210800	0.178500	0.160700	0.161100	0.165900	0.170600	0.135600	0.149700	0.179500	0.174800	0.171800	0.157300	0.191000	0.150400	0.163900	0.149500
77465.5	0.130800	0.209600	0.178900	0.158900	0.160300	0.162400	0.169400	0.137200	0.150300	0.178300	0.173400	0.169500	0.155900	0.188200	0.149400	0.159200	0.145800
82629.8	0.130700	0.209600	0.178100	0.158400	0.159700	0.162900	0.169500	0.136800	0.149800	0.177700	0.174300	0.168600	0.155700	0.184800	0.146200	0.156600	0.144700
87794.2	0.131200	0.210700	0.178000	0.158400	0.159800	0.163400	0.169700	0.136200	0.150900	0.177400	0.174300	0.168700	0.155900	0.182700	0.149500	0.158700	0.146600
92958.6	0.130800	0.210900	0.178500	0.160700	0.160200	0.164800	0.171100	0.136100	0.150000	0.178500	0.176900	0.169200	0.155500	0.178200	0.147400	0.156900	0.145900
98123.0	0.131600	0.213000	0.177600	0.161700	0.161400	0.166100	0.172500	0.134500	0.149500	0.178400	0.176800	0.170300	0.155100	0.178500	0.149100	0.157900	0.147100
103287.3	0.131900	0.211700	0.177800	0.160000	0.160700	0.164800	0.170600	0.135400	0.150100	0.177800	0.176600	0.168800	0.155200	0.175900	0.148700	0.157100	0.147100
108451.7	0.131100	0.212300	0.177500	0.160500	0.160700	0.166300	0.171500	0.134700	0.149200	0.178100	0.176500	0.171000	0.155900	0.173900	0.149800	0.158900	0.148500
113616.0	0.131800	0.211500	0.178600	0.158600	0.159100	0.163900	0.170100	0.136100	0.150600	0.176500	0.177700	0.169300	0.155600	0.172800	0.149400	0.156400	0.146300
