VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
0.0	0.147300	0.226400	0.152000	0.172500	0.115400	0.109700	0.156900	0.157000	0.165300	0.167200	0.143300	0.094700
5164.4	0.147700	0.223300	0.151800	0.171200	0.119900	0.115800	0.155800	0.153800	0.163300	0.165700	0.145800	0.100400
10328.7	0.145700	0.225300	0.151100	0.174800	0.118500	0.112900	0.155900	0.156300	0.164300	0.166300	0.144900	0.098300
15493.1	0.146200	0.224300	0.150400	0.167800	0.118600	0.114600	0.153300	0.152400	0.161800	0.164300	0.144900	0.099300
20657.5	0.146900	0.227700	0.150400	0.167400	0.120500	0.116900	0.153400	0.151300	0.161800	0.163600	0.144900	0.101100
25821.8	0.146600	0.234300	0.153300	0.178000	0.116800	0.111100	0.160000	0.160200	0.168800	0.171500	0.143900	0.096900
30986.2	0.146000	0.236600	0.150300	0.167800	0.119100	0.114800	0.152800	0.152200	0.162600	0.164100	0.144500	0.098800
36150.6	0.145200	0.233900	0.150500	0.172300	0.120400	0.116100	0.154400	0.154000	0.163600	0.165300	0.146000	0.100300
41314.9	0.143700	0.222400	0.151500	0.180000	0.113900	0.108300	0.158100	0.159600	0.167200	0.168300	0.142900	0.092500
46479.3	0.145000	0.211300	0.150200	0.169400	0.121000	0.116500	0.153900	0.153100	0.162800	0.163900	0.145400	0.100800
51643.7	0.146200	0.206500	0.150300	0.167800	0.120700	0.115600	0.152800	0.152700	0.162400	0.162500	0.144200	0.099800
56808.0	0.145100	0.201600	0.151300	0.172900	0.120700	0.114400	0.157000	0.157900	0.165700	0.167000	0.145500	0.099600
61972.4	0.144400	0.198000	0.151200	0.174100	0.118900	0.110100	0.157100	0.157600	0.164900	0.166700	0.143400	0.096300
67136.8	0.144800	0.193600	0.151400	0.174100	0.121100	0.111700	0.157300	0.157700	0.165800	0.167100	0.144600	0.098600
72301.1	0.145100	0.191200	0.150500	0.173800	0.122200	0.113800	0.155900	0.156200	0.164600	0.166900	0.146000	0.100000
77465.5	0.145300	0.187700	0.149100	0.167200	0.124700	0.118100	0.152800	0.152300	0.161900	0.162900	0.146800	0.105000
82629.9	0.145100	0.188100	0.149700	0.170100	0.120500	0.113300	0.153800	0.153900	0.163300	0.164700	0.145500	0.099300
87794.2	0.145500	0.186900	0.149700	0.170100	0.122400	0.115700	0.153200	0.152400	0.162600	0.164000	0.146300	0.101200
92958.6	0.145400	0.187800	0.150400	0.172700	0.119300	0.111700	0.155600	0.156100	0.164700	0.166200	0.145600	0.097400
98123.0	0.145400	0.188600	0.151200	0.177500	0.119800	0.112400	0.156900	0.157700	0.166300	0.167200	0.146100	0.098200
103287.3	0.144600	0.187200	0.149800	0.172200	0.119700	0.113000	0.154000	0.154300	0.163600	0.164200	0.146100	0.098100
108451.7	0.144900	0.188000	0.149300	0.170100	0.122000	0.115500	0.154000	0.154700	0.162700	0.163800	0.146600	0.100900
113616.1	0.145100	0.188400	0.150100	0.172300	0.121500	0.113900	0.155800	0.155500	0.164900	0.165100	0.146300	0.099300
118780.4	0.144700	0.187600	0.149600	0.171100	0.120900	0.113900	0.153600	0.154700	0.163100	0.163300	0.146600	0.099500
123944.8	0.145300	0.188100	0.149200	0.169300	0.121600	0.113900	0.153000	0.153300	0.163200	0.164300	0.148000	0.099800
129109.2	0.146300	0.190600	0.150500	0.171000	0.124700	0.118900	0.154000	0.155400	0.164100	0.164800	0.147900	0.104300
134273.5	0.145000	0.189800	0.151300	0.176600	0.119600	0.112000	0.156600	0.158000	0.166500	0.167600	0.146100	0.098100
139437.9	0.144700	0.189800	0.150000	0.171600	0.121300	0.114400	0.154500	0.155300	0.163800	0.163900	0.146000	0.100100
144602.3	0.144900	0.189200	0.149900	0.175000	0.119200	0.112300	0.154600	0.156800	0.164200	0.166100	0.148300	0.097400
149766.6	0.145000	0.190300	0.150600	0.173700	0.119500	0.113000	0.155900	0.157400	0.165100	0.166000	0.146800	0.097800
154931.0	0.144000	0.187300	0.149400	0.171900	0.119400	0.113600	0.154000	0.155900	0.163400	0.164900	0.147100	0.098300
160095.4	0.144700	0.189300	0.151800	0.174300	0.118200	0.111200	0.157300	0.159800	0.165700	0.167100	0.147400	0.096600
165259.7	0.144100	0.188200	0.150100	0.172700	0.118800	0.112300	0.155200	0.156500	0.163800	0.164400	0.149200	0.097300
170424.1	0.143600	0.187400	0.150200	0.171300	0.119100	0.112300	0.154000	0.155500	0.163300	0.163500	0.148500	0.098700
175588.5	0.144300	0.188600	0.149900	0.173600	0.116800	0.110500	0.155000	0.157400	0.163700	0.165800	0.149500	0.095300
180752.8	0.143500	0.187700	0.149800	0.168400	0.120300	0.114900	0.153000	0.153700	0.160900	0.162300	0.150900	0.100000
185917.2	0.144100	0.187700	0.149900	0.170800	0.120000	0.113300	0.154700	0.155800	0.163100	0.164400	0.150800	0.098600
191081.6	0.144000	0.187200	0.150000	0.170000	0.118500	0.112500	0.154700	0.154800	0.162100	0.163200	0.149600	0.097500
196245.9	0.144500	0.186200	0.149700	0.167400	0.121000	0.115300	0.152500	0.152400	0.161300	0.162100	0.149500	0.100100
201410.3	0.144600	0.185700	0.149300	0.167100	0.122200	0.116800	0.152000	0.152100	0.159300	0.160800	0.151100	0.101200
206574.7	0.144100	0.186600	0.149800	0.169500	0.119600	0.113400	0.154000	0.154900	0.161100	0.163500	0.149200	0.098400
211739.0	0.149000	0.193200	0.155400	0.172400	0.125200	0.119900	0.160300	0.159000	0.165100	0.166400	0.152700	0.103800
216903.4	0.150200	0.196500	0.157200	0.179400	0.127500	0.122400	0.161500	0.161900	0.167700	0.169500	0.157200	0.106400
222067.8	0.151800	0.197000	0.160500	0.187400	0.124800	0.120400	0.167200	0.171100	0.172000	0.175400	0.155900	0.101600
227232.1	0.156500	0.200700	0.161500	0.183600	0.132800	0.129000	0.165300	0.168400	0.172300	0.178400	0.163400	0.110100
232396.5	0.159500	0.203300	0.163800	0.194900	0.135900	0.132100	0.169200	0.176000	0.177500	0.186300	0.167900	0.113700
237560.9	0.164800	0.206800	0.166100	0.200600	0.140600	0.138500	0.171000	0.178300	0.180600	0.195000	0.173100	0.117400
242725.2	0.170000	0.209900	0.169100	0.220000	0.141000	0.135600	0.177100	0.188100	0.187000	0.210800	0.176900	0.115500
247889.6	0.174500	0.214100	0.171900	0.231900	0.149300	0.143600	0.179500	0.195700	0.191500	0.219500	0.183000	0.122700
253054.0	0.179900	0.216300	0.174600	0.247700	0.152900	0.145900	0.182100	0.200900	0.193100	0.221100	0.187700	0.124200
258218.3	0.184100	0.218700	0.175800	0.268800	0.156600	0.148300	0.184600	0.208300	0.195900	0.220100	0.192500	0.126500
