VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
0.0	0.134100	0.087400	0.148700	0.296000	0.144200	0.133300	0.156000
5164.4	0.131700	0.083200	0.155800	0.252200	0.144600	0.132300	0.155100
10328.7	0.133300	0.085700	0.167600	0.232900	0.145400	0.131600	0.154600
15493.1	0.132700	0.083700	0.172200	0.230800	0.145100	0.132600	0.156500
20657.5	0.136600	0.087200	0.170900	0.222900	0.146200	0.133100	0.156200
25821.8	0.136100	0.087900	0.166800	0.213600	0.145800	0.133000	0.155500
30986.2	0.137400	0.090800	0.156800	0.206000	0.146000	0.132200	0.154000
36150.6	0.134300	0.085900	0.150000	0.206500	0.144900	0.131500	0.153300
41314.9	0.134300	0.086800	0.145000	0.208800	0.145100	0.132500	0.155000
46479.3	0.136800	0.089000	0.144400	0.201600	0.146000	0.132800	0.153900
51643.7	0.137200	0.087700	0.143600	0.203700	0.145900	0.133200	0.154600
56808.0	0.136000	0.086500	0.141100	0.202700	0.145300	0.132300	0.154200
61972.4	0.135500	0.084300	0.140900	0.204400	0.146300	0.133200	0.153800
67136.8	0.136700	0.086100	0.141300	0.210100	0.146400	0.133600	0.155300
72301.1	0.137600	0.085800	0.140500	0.210400	0.146400	0.134200	0.155700
77465.5	0.138500	0.086700	0.141600	0.208900	0.146500	0.132900	0.154200
82629.8	0.138100	0.088600	0.141800	0.208600	0.146400	0.134300	0.155400
87794.2	0.136200	0.085300	0.142400	0.221500	0.147000	0.135400	0.157600
92958.6	0.137600	0.087200	0.141500	0.224600	0.147400	0.135100	0.157200
98122.9	0.139100	0.087900	0.142200	0.236400	0.147700	0.135900	0.158400
103287.3	0.142600	0.089100	0.143400	0.240200	0.149000	0.137300	0.159000
108451.7	0.139000	0.087400	0.143900	0.235800	0.149000	0.136600	0.160500
113616.0	0.140000	0.087800	0.142600	0.224300	0.149300	0.137400	0.160700
118780.4	0.140500	0.088700	0.142000	0.226700	0.148500	0.137400	0.161300
123944.8	0.141500	0.089700	0.143300	0.237100	0.149000	0.138400	0.161700
129109.1	0.143000	0.089400	0.143300	0.231700	0.148900	0.137400	0.160700
134273.5	0.143900	0.090700	0.146700	0.224900	0.149500	0.136800	0.159400
139437.9	0.147400	0.094900	0.148200	0.220100	0.150500	0.138500	0.161300
144602.2	0.143000	0.087500	0.149400	0.230100	0.150400	0.138900	0.162800
149766.6	0.145100	0.090800	0.151700	0.229100	0.151200	0.140100	0.164300
154931.0	0.146600	0.090600	0.150600	0.222300	0.151000	0.140200	0.164300
160095.3	0.148500	0.090800	0.151700	0.232600	0.151600	0.142200	0.166200
165259.7	0.148500	0.088500	0.151300	0.235700	0.151400	0.141700	0.166100
170424.0	0.153300	0.092100	0.155000	0.239000	0.153300	0.142700	0.167800
175588.4	0.152600	0.089200	0.154500	0.253600	0.153000	0.143300	0.170200
180752.8	0.160300	0.095800	0.157400	0.245900	0.154700	0.145200	0.171000
185917.1	0.161700	0.094300	0.160400	0.244500	0.155800	0.146900	0.173800
191081.5	0.165300	0.100000	0.161100	0.238900	0.156800	0.148500	0.176000
196245.9	0.158800	0.091100	0.158400	0.246200	0.155200	0.149000	0.177600
201410.2	0.167800	0.099200	0.161300	0.236000	0.157100	0.150200	0.178500
206574.6	0.164400	0.095600	0.161800	0.243600	0.156500	0.150800	0.180000
211739.0	0.188100	0.113200	0.179400	0.267000	0.169700	0.165100	0.201700
216903.3	0.177800	0.104800	0.174500	0.231500	0.164000	0.164700	0.196900
222067.7	0.196100	0.111700	0.181100	0.218500	0.169700	0.167600	0.202200
227232.0	0.188800	0.114100	0.190300	0.221700	0.176200	0.173300	0.212900
232396.4	0.193800	0.115800	0.206600	0.225400	0.184900	0.178200	0.222300
237560.8	0.199700	0.120600	0.220600	0.232900	0.194700	0.184700	0.236300
242725.1	0.208500	0.131200	0.222600	0.227100	0.203100	0.186100	0.243200
247889.5	0.214600	0.138000	0.227700	0.230000	0.212700	0.191700	0.256600
253053.9	0.216800	0.139800	0.230200	0.237100	0.220400	0.197200	0.268400
258218.2	0.226900	0.151000	0.232900	0.235000	0.229200	0.202000	0.281300
263382.6	0.227100	0.147500	0.235500	0.241200	0.234600	0.206200	0.293500
268547.0	0.230500	0.153300	0.233600	0.238000	0.238300	0.208100	0.300900
273711.3	0.230400	0.153600	0.233000	0.240800	0.242000	0.210300	0.309600
278875.7	0.235800	0.157800	0.231800	0.239800	0.246500	0.212200	0.316500
284040.0	0.238100	0.164200	0.228600	0.239200	0.249300	0.215000	0.322300
289204.4	0.235700	0.159300	0.225800	0.237500	0.249400	0.214300	0.323500
294368.8	0.240700	0.171100	0.224200	0.234800	0.249600	0.215300	0.323000
299533.1	0.239100	0.167000	0.227500	0.232900	0.250300	0.216300	0.324000
304697.5	0.239300	0.166900	0.225000	0.235100	0.249900	0.215000	0.323800
309861.9	0.240900	0.167500	0.220800	0.235000	0.248400	0.215200	0.323300
315026.2	0.234300	0.158300	0.220700	0.236600	0.247800	0.215400	0.322900
320190.6	0.233900	0.159900	0.220200	0.231200	0.244500	0.214600	0.319600
325355.0	0.232400	0.161600	0.217900	0.225900	0.242600	0.213400	0.315900
330519.3	0.230100	0.157700	0.219200	0.229800	0.240600	0.211800	0.314400
335683.7	0.234000	0.165700	0.217900	0.221700	0.240600	0.211000	0.309500
340848.0	0.233400	0.167400	0.213800	0.218100	0.238500	0.210100	0.307000
346012.4	0.228700	0.158100	0.210700	0.217600	0.237500	0.208900	0.305600
351176.8	0.226200	0.154500	0.205900	0.219100	0.235600	0.208000	0.304200
356341.1	0.229600	0.159400	0.206300	0.214700	0.234600	0.205900	0.298800
361505.5	0.224400	0.155400	0.204400	0.218900	0.232300	0.206100	0.299800
366669.9	0.221800	0.147500	0.203400	0.220500	0.230300	0.205700	0.297400
371834.2	0.223700	0.153700	0.202100	0.212200	0.229000	0.203300	0.291500
376998.6	0.222800	0.153200	0.199300	0.214000	0.228000	0.204400	0.292900
382163.0	0.224800	0.154000	0.200300	0.207900	0.227800	0.202200	0.285300
387327.3	0.226900	0.160600	0.198800	0.205300	0.224100	0.201200	0.280500
392491.7	0.221000	0.150900	0.203400	0.208900	0.308800	0.203400	0.284300
397656.0	0.216400	0.142900	0.202300	0.217800	0.302500	0.203300	0.286900
402820.4	0.215800	0.143300	0.199800	0.208900	0.289800	0.203400	0.287500
407984.8	0.221200	0.152100	0.199100	0.203800	0.276800	0.202700	0.285100
