VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)
GraphNo	1	2	3	4
0.0	0.183900	0.202500	0.270900	0.164500
5164.4	0.182700	0.203700	0.271700	0.166500
10328.7	0.184300	0.204500	0.270700	0.166500
15493.1	0.179000	0.202300	0.269800	0.163500
20657.5	0.182000	0.203500	0.265000	0.165600
25821.8	0.182900	0.201200	0.259500	0.166100
30986.2	0.180900	0.199700	0.260500	0.165100
36150.6	0.180900	0.200700	0.260700	0.166300
41314.9	0.179300	0.200000	0.262600	0.165300
46479.3	0.183900	0.199600	0.259000	0.165900
51643.7	0.182200	0.199500	0.256800	0.166100
56808.0	0.184000	0.199200	0.255500	0.166600
61972.4	0.179100	0.198800	0.253500	0.164000
67136.8	0.181600	0.198000	0.252800	0.165600
72301.1	0.180500	0.197800	0.252500	0.165200
77465.5	0.182500	0.197600	0.253400	0.166600
82629.9	0.182800	0.198600	0.253300	0.167500
87794.2	0.179500	0.196700	0.252800	0.166100
92958.6	0.179200	0.195700	0.249600	0.165000
98123.0	0.178200	0.197200	0.254700	0.166300
103287.3	0.179900	0.196700	0.254100	0.167400
108451.7	0.179600	0.195800	0.255200	0.166900
113616.1	0.176800	0.195200	0.257000	0.166200
118780.4	0.175700	0.196000	0.258300	0.167500
123944.8	0.177100	0.193800	0.256400	0.165800
129109.2	0.178600	0.194100	0.256500	0.168500
134273.5	0.180000	0.194500	0.254600	0.168700
139437.9	0.177800	0.192700	0.253200	0.168300
144602.3	0.174500	0.188000	0.248500	0.164500
149766.6	0.180000	0.195100	0.252700	0.171300
154931.0	0.178800	0.460900	0.273900	0.234300
160095.4	0.215600	0.471700	0.290100	0.305900
165259.7	0.243300	0.472900	0.348400	0.302400
170424.1	0.560600	0.408600	0.352200	0.289300
175588.5	0.404300	0.325100	0.337000	0.283400
180752.8	0.306400	0.274200	0.326000	0.272000
185917.2	0.256400	0.246200	0.315600	0.264800
191081.6	0.231500	0.229300	0.305100	0.259700
196245.9	0.210800	0.218500	0.295600	0.254900
201410.3	0.203200	0.215800	0.289200	0.255100
206574.6	0.195100	0.216000	0.282100	0.253500
211739.0	0.194400	0.222800	0.278700	0.250000
216903.4	0.190300	0.300800	0.281600	0.244900
222067.7	0.186800	0.408800	0.285200	0.247900
227232.1	0.189100	0.335100	0.279800	0.247900
232396.5	0.184700	0.270300	0.277300	0.250000
237560.8	0.182300	0.233100	0.271700	0.243400
242725.2	0.180900	0.213100	0.267500	0.230500
247889.6	0.184700	0.203900	0.264000	0.226400
253053.9	0.184100	0.196400	0.256100	0.214600
258218.3	0.184700	0.189400	0.252700	0.205600
263382.7	0.186000	0.190800	0.255600	0.208800
268547.0	0.181500	0.188300	0.252400	0.201400
273711.4	0.189900	0.187500	0.249600	0.201800
278875.7	0.187600	0.186700	0.248900	0.195000
284040.1	0.181700	0.184800	0.249700	0.189200
289204.5	0.188300	0.185100	0.252800	0.191200
294368.8	0.185000	0.182800	0.251200	0.186800
299533.2	0.187600	0.182500	0.246500	0.188300
304697.6	0.187200	0.183600	0.244100	0.189800
309861.9	0.185500	0.184200	0.245000	0.188500
315026.3	0.183900	0.183200	0.244300	0.186000
320190.7	0.186400	0.183100	0.244100	0.185000
325355.0	0.183700	0.182700	0.244800	0.182200
330519.4	0.186900	0.182200	0.243500	0.180600
335683.8	0.181000	0.182400	0.244200	0.178600
340848.1	0.186400	0.182000	0.243500	0.179900
346012.5	0.190400	0.181800	0.244700	0.181700
351176.8	0.185600	0.180800	0.244400	0.178500
356341.2	0.188000	0.181200	0.243200	0.181200
361505.6	0.191100	0.179600	0.240800	0.180500
366669.9	0.189500	0.181400	0.242400	0.180800
371834.3	0.190100	0.181900	0.242300	0.182000
376998.7	0.187000	0.181500	0.242600	0.179300
382163.0	0.188300	0.181600	0.241900	0.180700
387327.4	0.187100	0.180900	0.241400	0.179200
392491.8	0.192200	0.182700	0.240800	0.182600
397656.1	0.192000	0.182500	0.243900	0.184700
402820.5	0.189900	0.182100	0.241400	0.182400
407984.8	0.186400	0.182300	0.242000	0.182500
413149.2	0.186400	0.182300	0.245500	0.181300
418313.6	0.191200	0.181500	0.245300	0.184800
423477.9	0.185300	0.181400	0.244100	0.182000
428642.3	0.189400	0.181900	0.244900	0.183800
433806.7	0.190700	0.183100	0.246600	0.185700
438971.0	0.189800	0.180800	0.244600	0.185300
444135.4	0.186500	0.180300	0.247600	0.181900
449299.8	0.186900	0.180800	0.248600	0.184800
454464.1	0.186200	0.178700	0.249100	0.184000
459628.5	0.182800	0.178000	0.248400	0.187000
464792.8	0.185200	0.178400	0.251100	0.193500
469957.2	0.185000	0.179800	0.253300	0.196000
475121.6	0.184800	0.180900	0.254000	0.197700
