VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
0.0	0.197600	0.186000	0.182300	0.195900	0.161400	0.209100	0.132300	0.074300	0.106500	0.094400	0.116100	0.157300	0.180100
4957.8	0.196700	0.187200	0.181700	0.195600	0.159500	0.205800	0.133700	0.072900	0.107100	0.096600	0.119100	0.155000	0.180200
9915.6	0.196100	0.186800	0.182300	0.195800	0.160800	0.207300	0.131000	0.071100	0.104400	0.092700	0.115100	0.152600	0.179600
14873.4	0.195700	0.192600	0.186200	0.196200	0.161400	0.206900	0.131700	0.070600	0.105600	0.093700	0.116400	0.152600	0.180000
19831.2	0.195400	0.190500	0.187200	0.196100	0.161500	0.205500	0.132500	0.072800	0.105700	0.094000	0.116700	0.150800	0.179800
24788.9	0.195600	0.188700	0.185900	0.197700	0.164200	0.207900	0.131200	0.071100	0.104800	0.093100	0.117000	0.150100	0.179800
29746.7	0.195700	0.188200	0.189300	0.197700	0.160700	0.204300	0.131800	0.071300	0.107700	0.096000	0.120200	0.149100	0.180000
34704.5	0.194100	0.185800	0.187300	0.196600	0.160200	0.202900	0.130800	0.069500	0.105300	0.092400	0.115900	0.148800	0.180000
39662.3	0.194100	0.184100	0.189000	0.197200	0.158300	0.201800	0.132800	0.070200	0.107300	0.098600	0.119400	0.148000	0.180600
44620.1	0.194500	0.187500	0.196100	0.201400	0.163700	0.206400	0.131200	0.070000	0.106400	0.098600	0.117900	0.149200	0.179400
49577.9	0.194000	0.191400	0.199700	0.201100	0.162500	0.204800	0.131200	0.070300	0.104600	0.097700	0.117700	0.149300	0.179900
54535.7	0.192600	0.191100	0.199100	0.201900	0.162000	0.204200	0.130700	0.068700	0.103800	0.094800	0.114900	0.149100	0.179500
59493.5	0.191900	0.188400	0.200700	0.201600	0.160300	0.203100	0.132300	0.069400	0.105500	0.096900	0.117000	0.149600	0.179500
64451.3	0.191800	0.188900	0.203500	0.203700	0.163000	0.207300	0.131100	0.069200	0.104400	0.095700	0.115600	0.151200	0.181500
69409.1	0.190900	0.184600	0.203400	0.203600	0.159600	0.202200	0.131900	0.072600	0.106200	0.098900	0.120800	0.149800	0.179900
74366.8	0.190400	0.184000	0.202200	0.203500	0.162900	0.205800	0.130300	0.068600	0.102500	0.093900	0.114000	0.150200	0.179700
79324.6	0.189200	0.181800	0.197200	0.201300	0.162600	0.197800	0.130300	0.069600	0.101900	0.093700	0.112700	0.148900	0.178400
84282.4	0.188900	0.180900	0.196500	0.200100	0.164600	0.196400	0.130300	0.065900	0.099900	0.089200	0.109500	0.150200	0.178300
89240.2	0.187100	0.179800	0.194000	0.198300	0.162600	0.190800	0.129900	0.068500	0.100900	0.091900	0.111100	0.148500	0.176100
94198.0	0.185300	0.179800	0.193800	0.198100	0.163500	0.190900	0.129600	0.066400	0.097500	0.090400	0.107900	0.150600	0.178200
99155.8	0.183100	0.177000	0.189800	0.194200	0.161700	0.185300	0.129900	0.070200	0.100200	0.093000	0.109700	0.150100	0.176100
104113.6	0.182900	0.176300	0.189400	0.193100	0.158800	0.181800	0.130700	0.070000	0.101400	0.094400	0.110400	0.150200	0.175400
109071.4	0.183800	0.178100	0.191300	0.193200	0.160700	0.183000	0.129100	0.067900	0.097800	0.093400	0.107200	0.150900	0.175200
114029.2	0.184000	0.182400	0.194700	0.193200	0.160700	0.182500	0.130000	0.069600	0.098400	0.095400	0.108600	0.151400	0.176300
118987.0	0.184300	0.189400	0.195900	0.193900	0.161000	0.181700	0.129600	0.068800	0.098200	0.100000	0.110300	0.152800	0.176000
123944.7	0.185100	0.190500	0.194500	0.194400	0.162300	0.183800	0.129300	0.068100	0.097400	0.107300	0.112500	0.155200	0.176200
128902.5	0.181000	0.182000	0.187700	0.189300	0.157800	0.176300	0.130200	0.073600	0.101200	0.109300	0.116300	0.153900	0.176100
133860.3	0.183500	0.182600	0.189500	0.192000	0.162200	0.181400	0.128700	0.068400	0.098400	0.097100	0.108700	0.153800	0.177100
138818.1	0.182700	0.177600	0.184800	0.190000	0.160700	0.180400	0.128000	0.066600	0.097200	0.091700	0.104400	0.151800	0.177400
143775.9	0.181600	0.176000	0.183400	0.189700	0.160000	0.179000	0.128900	0.069900	0.097900	0.092100	0.105600	0.150900	0.176700
148733.7	0.183200	0.178100	0.185900	0.192700	0.163300	0.181400	0.128400	0.067500	0.096700	0.089300	0.104700	0.153500	0.178700
153691.5	0.187800	0.179600	0.188300	0.196500	0.164500	0.183500	0.130300	0.067600	0.097100	0.089400	0.104300	0.157600	0.180600
158649.3	0.193200	0.183600	0.194600	0.203100	0.165000	0.187100	0.134800	0.071500	0.102500	0.094200	0.110300	0.170000	0.187500
