VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0.0	0.329100	0.284800	0.219700	0.216800	0.300900	0.361600	0.275200	0.270900	0.373900	0.237900	0.172400	0.304200	0.273800	0.272400	0.253800
5164.4	0.325000	0.295300	0.227000	0.212900	0.301100	0.372500	0.274300	0.269100	0.382100	0.241900	0.189600	0.338400	0.283400	0.280500	0.260300
10328.7	0.325200	0.295900	0.224200	0.214800	0.299900	0.369800	0.276200	0.270800	0.378200	0.240400	0.184500	0.331500	0.281700	0.276300	0.256900
15493.1	0.324200	0.301300	0.226100	0.216800	0.302900	0.372700	0.278900	0.270900	0.382800	0.241800	0.176600	0.326800	0.283900	0.279700	0.258700
20657.5	0.320400	0.301100	0.224500	0.216300	0.300900	0.368000	0.276300	0.271500	0.375900	0.239900	0.175200	0.317400	0.282500	0.276000	0.256600
25821.8	0.326400	0.307500	0.228500	0.219400	0.306800	0.376600	0.283700	0.277500	0.382300	0.241400	0.178100	0.322000	0.284900	0.275800	0.257600
30986.2	0.322600	0.311300	0.228000	0.217700	0.304300	0.374100	0.283700	0.276200	0.378100	0.240200	0.182200	0.317300	0.282400	0.274900	0.254300
36150.6	0.328000	0.315100	0.227900	0.224000	0.308600	0.376700	0.288700	0.281700	0.380900	0.240000	0.175500	0.311600	0.277800	0.271100	0.253300
41314.9	0.333900	0.313400	0.225100	0.229600	0.309800	0.370400	0.290200	0.283400	0.373700	0.238300	0.173800	0.290400	0.269400	0.263900	0.245100
46479.3	0.325300	0.318300	0.231000	0.222100	0.307800	0.380000	0.285600	0.283000	0.383900	0.240300	0.184900	0.312300	0.279900	0.272900	0.252500
51643.7	0.327000	0.327200	0.236600	0.222900	0.311200	0.390700	0.290000	0.284000	0.389100	0.244400	0.183400	0.327700	0.285800	0.279500	0.252000
56808.0	0.331400	0.319700	0.234000	0.228200	0.315000	0.388000	0.298200	0.288800	0.387900	0.241200	0.167800	0.298300	0.276700	0.272800	0.246900
61972.4	0.316500	0.322900	0.235800	0.218400	0.306800	0.387200	0.293000	0.283400	0.383200	0.240100	0.178000	0.313000	0.283600	0.276800	0.248300
67136.8	0.313000	0.323600	0.238700	0.215900	0.304700	0.385600	0.288800	0.282200	0.379300	0.240600	0.181400	0.324600	0.289400	0.281600	0.249300
72301.1	0.317600	0.328600	0.244800	0.219300	0.309800	0.394100	0.298100	0.288200	0.386900	0.245100	0.181900	0.332800	0.290700	0.286400	0.252600
77465.5	0.319400	0.328100	0.245100	0.220300	0.312100	0.393100	0.298400	0.287800	0.382800	0.244500	0.182100	0.322800	0.288600	0.283900	0.250200
82629.8	0.315600	0.335000	0.251800	0.216700	0.312200	0.397300	0.299200	0.288300	0.383300	0.246300	0.183200	0.339700	0.294100	0.289200	0.254500
87794.2	0.322900	0.330800	0.250700	0.221900	0.317900	0.389700	0.302600	0.294600	0.388800	0.246100	0.179200	0.317800	0.284800	0.280000	0.249000
92958.6	0.321500	0.328000	0.250400	0.222700	0.319800	0.374200	0.301100	0.293500	0.382600	0.244700	0.179700	0.302500	0.278300	0.272900	0.238800
98122.9	0.312300	0.335400	0.255500	0.213400	0.317000	0.364700	0.292300	0.285300	0.385900	0.246000	0.193300	0.329800	0.287600	0.275600	0.234400
103287.3	0.317900	0.324100	0.250200	0.222300	0.322200	0.348100	0.295500	0.290200	0.384900	0.242700	0.179300	0.286700	0.270000	0.258700	0.218500
