VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
0.0	0.195900	0.235500	0.295000	0.230000	0.165900	0.268900	0.197000	0.197600	0.204500	0.131300	0.332400	0.321800	0.174200
5164.4	0.182900	0.224100	0.259100	0.212400	0.157600	0.226200	0.183600	0.189200	0.198500	0.136900	0.223000	0.249800	0.171700
10328.7	0.181800	0.221800	0.250700	0.206200	0.157100	0.219900	0.182300	0.187500	0.196100	0.137800	0.221000	0.248400	0.172300
15493.1	0.204300	0.227500	0.250000	0.198500	0.153200	0.211700	0.178700	0.185500	0.194000	0.139700	0.250100	0.261300	0.168700
20657.5	0.187200	0.229200	0.255500	0.210100	0.156800	0.228000	0.192600	0.197900	0.208400	0.131800	0.278700	0.290800	0.168800
25821.8	0.193500	0.227800	0.241800	0.200800	0.157500	0.220700	0.186500	0.191600	0.200700	0.140200	0.258700	0.276000	0.171700
30986.2	0.197700	0.230600	0.236400	0.204800	0.159100	0.223100	0.188600	0.194000	0.203200	0.143800	0.264500	0.279000	0.173200
36150.6	0.180100	0.217300	0.221800	0.196100	0.155600	0.211600	0.181700	0.185500	0.195100	0.140000	0.227200	0.252700	0.172900
41314.9	0.180700	0.216900	0.218700	0.196600	0.157200	0.210700	0.181700	0.186800	0.196000	0.140700	0.227500	0.253900	0.173600
46479.3	0.181000	0.219800	0.214000	0.194800	0.158600	0.210000	0.182300	0.186500	0.195900	0.140900	0.226500	0.253100	0.172800
51643.7	0.179900	0.217200	0.210700	0.191700	0.157800	0.212100	0.180700	0.184600	0.194200	0.140600	0.224800	0.252100	0.173800
56808.0	0.196200	0.229300	0.210000	0.195700	0.158600	0.223700	0.187600	0.191300	0.200600	0.137700	0.275800	0.284300	0.170500
61972.4	0.197000	0.227800	0.201100	0.191500	0.155900	0.220900	0.183400	0.188900	0.200500	0.138000	0.260500	0.273700	0.168400
67136.8	0.194700	0.223300	0.205000	0.194300	0.158200	0.235700	0.186700	0.190300	0.199800	0.136900	0.275200	0.283400	0.169700
72301.2	0.197700	0.223100	0.211400	0.201700	0.161600	0.247600	0.189200	0.192800	0.202900	0.146500	0.223300	0.264300	0.178600
77465.5	0.189600	0.218500	0.201600	0.194800	0.156600	0.235500	0.184800	0.189000	0.200500	0.138100	0.267200	0.278900	0.169300
82629.9	0.182000	0.218300	0.205100	0.205200	0.155400	0.251300	0.196600	0.202600	0.213300	0.120300	0.327200	0.315600	0.162200
87794.3	0.194900	0.219800	0.391700	0.229900	0.362500	0.295900	0.378600	0.222100	0.220000	0.139700	0.287000	0.282700	0.174700
92958.6	0.277800	0.226300	0.363400	0.323000	0.322500	0.295700	0.348200	0.220400	0.218500	0.141300	0.480300	0.263600	0.178400
98123.0	0.255200	0.222700	0.339200	0.302500	0.293600	0.288200	0.320200	0.216800	0.214700	0.141000	0.490300	0.264800	0.179800
103287.4	0.263000	0.229900	0.335800	0.298700	0.280300	0.295100	0.324200	0.226800	0.221800	0.138300	0.615500	0.318900	0.177000
108451.7	0.274100	0.230700	0.311800	0.272200	0.259900	0.266700	0.305500	0.224500	0.219200	0.142300	0.546200	0.286400	0.173500
113616.1	0.246400	0.225200	0.308600	0.272200	0.251400	0.275100	0.311600	0.229800	0.222300	0.141000	0.589600	0.300300	0.174800
118780.5	0.237800	0.219500	0.303400	0.260300	0.246100	0.267600	0.303600	0.221600	0.216300	0.143500	0.529500	0.272300	0.179700
123944.8	0.235400	0.220900	0.299000	0.254800	0.235800	0.262000	0.302100	0.221700	0.218500	0.140700	0.513900	0.269300	0.178000
129109.2	0.232800	0.219800	0.300100	0.245400	0.232100	0.261800	0.298700	0.219000	0.217700	0.141900	0.514400	0.269600	0.179700
134273.6	0.259300	0.234400	0.306400	0.248300	0.227100	0.262000	0.312400	0.232200	0.232200	0.139700	0.598400	0.305500	0.176300
139437.9	0.241800	0.222500	0.305700	0.237000	0.225200	0.257100	0.302100	0.219100	0.219900	0.141400	0.561600	0.301900	0.180300
144602.3	0.245300	0.225600	0.306500	0.226500	0.222900	0.253800	0.298200	0.218200	0.220200	0.143800	0.531000	0.290600	0.179100
149766.7	0.245100	0.232200	0.333600	0.233400	0.231300	0.272100	0.309400	0.223800	0.223900	0.145100	0.626700	0.320700	0.184900
154931.0	0.244300	0.229400	0.325100	0.223500	0.223000	0.258200	0.304600	0.222200	0.223100	0.144400	0.571100	0.306900	0.179900
160095.4	0.227600	0.223800	0.325600	0.217200	0.221300	0.252200	0.302800	0.219900	0.222800	0.142000	0.542300	0.296800	0.179600
165259.7	0.224900	0.221500	0.327600	0.208000	0.218400	0.247700	0.297600	0.216000	0.220300	0.144900	0.482300	0.269300	0.181200
