VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)
GraphNo	1	2	3	4	5	6	7	8	9	10	11
0.0	0.217200	0.205500	0.167600	0.325200	0.259500	0.380300	0.269500	0.217800	0.261900	0.236600	0.214100
5164.4	0.218700	0.207800	0.170600	0.342100	0.258400	0.384600	0.275300	0.216800	0.269400	0.241200	0.218900
10328.7	0.228000	0.200200	0.162000	0.329000	0.269900	0.393100	0.292700	0.221100	0.254800	0.231300	0.207300
15493.1	0.226800	0.211200	0.176000	0.366900	0.267500	0.397500	0.293700	0.220900	0.277200	0.244200	0.228600
20657.5	0.235100	0.204700	0.163900	0.348700	0.273500	0.406900	0.314400	0.225400	0.263400	0.235000	0.214600
25821.8	0.240300	0.211700	0.167600	0.356400	0.276200	0.416300	0.326100	0.228800	0.270300	0.239800	0.219800
30986.2	0.247300	0.211700	0.163700	0.338700	0.281900	0.428800	0.331200	0.231800	0.264200	0.238500	0.214800
36150.5	0.247700	0.213300	0.166800	0.336800	0.277300	0.431800	0.326200	0.230300	0.269000	0.240000	0.223500
41314.9	0.256400	0.218600	0.169600	0.332700	0.277900	0.442600	0.328700	0.233200	0.271100	0.244100	0.227000
46479.3	0.254400	0.224000	0.174600	0.335700	0.269800	0.445500	0.313100	0.231000	0.279500	0.250400	0.235500
51643.6	0.260000	0.221400	0.172300	0.320900	0.270700	0.449300	0.307400	0.231500	0.273000	0.241200	0.233200
56808.0	0.265600	0.225200	0.174700	0.317700	0.273100	0.464300	0.303600	0.234100	0.277000	0.248100	0.238200
61972.4	0.272900	0.228900	0.171700	0.308800	0.279100	0.477200	0.305700	0.237900	0.272300	0.244000	0.235400
67136.7	0.274600	0.226500	0.170000	0.296800	0.275800	0.476300	0.299100	0.236900	0.266200	0.239400	0.236000
72301.1	0.277800	0.232000	0.172800	0.301400	0.273600	0.482200	0.291400	0.236900	0.269600	0.241800	0.243400
77465.5	0.277700	0.239100	0.176700	0.305300	0.270100	0.488500	0.283000	0.236900	0.273500	0.246900	0.251400
82629.8	0.277300	0.242900	0.176900	0.303600	0.267700	0.494800	0.277600	0.236100	0.277400	0.252500	0.255200
87794.2	0.283900	0.243100	0.175300	0.297100	0.271900	0.504000	0.284100	0.242200	0.274600	0.247500	0.253400
92958.6	0.280000	0.250000	0.182000	0.306700	0.267500	0.502500	0.275700	0.240600	0.282500	0.253000	0.266300
98122.9	0.285700	0.240900	0.173800	0.283800	0.272700	0.496400	0.281100	0.243200	0.259900	0.233800	0.249300
103287.3	0.281100	0.248100	0.180100	0.292600	0.264500	0.482100	0.270300	0.240700	0.261100	0.232900	0.256700
108451.7	0.284600	0.233600	0.168300	0.265300	0.266000	0.473000	0.274700	0.242400	0.236300	0.213900	0.235000
113616.0	0.279500	0.242200	0.176400	0.277400	0.258700	0.466400	0.265900	0.240700	0.240700	0.216700	0.245700
118780.4	0.280300	0.236100	0.168600	0.265800	0.261200	0.455100	0.266700	0.240900	0.223900	0.206900	0.229700
123944.7	0.280800	0.235400	0.168700	0.262400	0.259500	0.449300	0.265000	0.240700	0.219100	0.201300	0.229900
129109.1	0.280900	0.233800	0.170200	0.257800	0.255200	0.436300	0.261200	0.238400	0.216400	0.198100	0.230200
134273.5	0.279700	0.232700	0.170200	0.255700	0.256300	0.430200	0.261200	0.240100	0.212000	0.194300	0.227800
139437.8	0.278400	0.225400	0.162400	0.244300	0.254000	0.419700	0.259500	0.237900	0.201900	0.186000	0.214000
144602.2	0.278500	0.231900	0.165600	0.250400	0.254100	0.419600	0.258100	0.238500	0.201300	0.186200	0.220100
149766.6	0.277000	0.222500	0.160200	0.238100	0.251400	0.407100	0.256400	0.235700	0.190800	0.177600	0.210400
154930.9	0.276100	0.233100	0.166400	0.248700	0.248800	0.406200	0.252600	0.237200	0.198400	0.183800	0.220000
160095.3	0.275200	0.230300	0.167000	0.246800	0.247100	0.398700	0.252200	0.235600	0.196600	0.181000	0.218000
165259.7	0.274800	0.228500	0.165300	0.243300	0.245400	0.390600	0.249400	0.234100	0.192500	0.180300	0.217400
170424.0	0.271300	0.227600	0.165600	0.237400	0.240600	0.381800	0.246100	0.232500	0.188300	0.176200	0.215000
175588.4	0.274300	0.228400	0.163900	0.239100	0.243500	0.381200	0.248700	0.234000	0.187300	0.176500	0.215000
180752.7	0.271800	0.229700	0.166600	0.241100	0.239500	0.374400	0.244600	0.232300	0.188500	0.176400	0.215100
185917.1	0.273600	0.231800	0.168800	0.243300	0.238500	0.372200	0.245000	0.233400	0.188500	0.177400	0.220300
191081.5	0.278100	0.228500	0.159800	0.231500	0.243400	0.372400	0.250100	0.236000	0.179300	0.170000	0.206100
196245.8	0.275300	0.223000	0.158900	0.227800	0.241800	0.364500	0.248900	0.234900	0.176600	0.167100	0.204800
201410.2	0.272400	0.226000	0.163000	0.230200	0.238800	0.359800	0.246900	0.233400	0.179200	0.166700	0.211900
206574.6	0.270100	0.226200	0.164100	0.230900	0.237200	0.351400	0.243200	0.230500	0.178900	0.167700	0.214400
211738.9	0.269200	0.226900	0.164500	0.231300	0.235200	0.348200	0.240700	0.230500	0.177500	0.165000	0.213700
216903.3	0.267000	0.226300	0.165800	0.231100	0.232400	0.342800	0.239900	0.229900	0.178800	0.167200	0.214300
222067.7	0.275900	0.221900	0.156800	0.218400	0.240300	0.348600	0.249800	0.235300	0.169300	0.159500	0.201300
227232.0	0.268400	0.224600	0.164500	0.229400	0.231800	0.338700	0.239200	0.230100	0.175800	0.165100	0.211400
232396.4	0.269300	0.222700	0.161100	0.227500	0.232900	0.337000	0.240700	0.232800	0.172300	0.163500	0.208700
237560.8	0.277200	0.221800	0.154300	0.217500	0.241800	0.344700	0.250800	0.237200	0.164600	0.158100	0.197100
242725.1	0.268600	0.216400	0.154200	0.215800	0.234700	0.330600	0.243100	0.231500	0.163400	0.155200	0.197900
247889.5	0.263900	0.226000	0.164900	0.230600	0.229100	0.328600	0.236300	0.230400	0.175000	0.163400	0.215100
253053.8	0.268800	0.225100	0.159800	0.222700	0.235800	0.331000	0.243000	0.235300	0.168600	0.159400	0.205100
258218.2	0.263900	0.213500	0.153600	0.211900	0.231000	0.319700	0.241000	0.229700	0.159100	0.152100	0.196800
263382.6	0.261200	0.214500	0.153900	0.212100	0.231200	0.317300	0.236900	0.228700	0.159800	0.152700	0.197000
268546.9	0.259700	0.222300	0.160200	0.223100	0.230600	0.316800	0.234000	0.229600	0.165700	0.156600	0.204100
273711.3	0.253600	0.220600	0.161200	0.224700	0.223800	0.308700	0.228100	0.224400	0.166200	0.157600	0.206700
278875.7	0.258700	0.219900	0.158800	0.220700	0.226100	0.311500	0.235700	0.230200	0.164600	0.157300	0.202000
284040.0	0.256500	0.219800	0.160300	0.224100	0.225600	0.308800	0.232700	0.228900	0.166300	0.158800	0.204900
289204.4	0.258000	0.215000	0.155100	0.215300	0.228100	0.305200	0.234600	0.230500	0.159400	0.153900	0.196800
294368.7	0.257500	0.210600	0.150600	0.204700	0.231800	0.305700	0.240600	0.233300	0.154500	0.147300	0.188900
299533.1	0.251900	0.209300	0.151900	0.208600	0.225800	0.300500	0.233800	0.228000	0.155800	0.147200	0.191600
304697.5	0.251800	0.212100	0.153700	0.210800	0.226400	0.298100	0.231100	0.227600	0.156300	0.149700	0.191700
309861.8	0.253900	0.212900	0.153300	0.209200	0.228600	0.301200	0.234600	0.231400	0.156100	0.147900	0.192800
315026.2	0.254200	0.210800	0.152000	0.207900	0.229100	0.299400	0.237200	0.231500	0.154200	0.146700	0.190000
320190.6	0.245000	0.212700	0.155800	0.214200	0.222200	0.290200	0.226800	0.224000	0.158000	0.148200	0.194300
325354.9	0.248300	0.209500	0.151900	0.207900	0.225500	0.292900	0.231700	0.227700	0.153100	0.146700	0.188000
330519.3	0.244800	0.205200	0.148300	0.203500	0.224400	0.287100	0.227700	0.225300	0.148400	0.142000	0.182100
335683.6	0.245300	0.207100	0.148900	0.204200	0.224100	0.288700	0.229200	0.225500	0.148000	0.140600	0.183000
340848.0	0.245300	0.206600	0.148200	0.203300	0.224400	0.287500	0.229000	0.227100	0.146900	0.142400	0.182800
