VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
0.0	0.255500	0.271900	0.280400	0.409300	0.345100	0.219400	0.195900	0.123600
5164.4	0.255100	0.278000	0.278000	0.424400	0.354100	0.224700	0.191600	0.114500
10328.7	0.256200	0.282300	0.280700	0.425900	0.358800	0.227800	0.192100	0.116200
15493.1	0.254400	0.279500	0.278600	0.427300	0.361700	0.226700	0.190500	0.120200
20657.5	0.239100	0.272200	0.262100	0.427200	0.358500	0.229200	0.185300	0.115000
25821.8	0.259900	0.282700	0.278800	0.436400	0.373400	0.231200	0.190500	0.116100
30986.2	0.257000	0.283100	0.273700	0.434600	0.370900	0.230300	0.189100	0.114300
36150.6	0.279000	0.293800	0.288500	0.424900	0.367800	0.226600	0.201000	0.129600
41314.9	0.266200	0.288700	0.278900	0.431800	0.368900	0.226300	0.193100	0.122300
46479.3	0.265800	0.289300	0.277800	0.442800	0.375000	0.233000	0.192000	0.120400
51643.7	0.270800	0.292900	0.280200	0.435800	0.367200	0.225900	0.193800	0.122500
56808.0	0.301300	0.305700	0.292700	0.448200	0.384400	0.233100	0.207500	0.126400
61972.4	0.294000	0.294900	0.291900	0.431200	0.371300	0.225600	0.205700	0.139400
67136.7	0.297500	0.293300	0.294000	0.434800	0.376400	0.226300	0.206200	0.140900
72301.1	0.279100	0.290000	0.283000	0.455700	0.379300	0.233200	0.194700	0.123100
77465.5	0.292000	0.299000	0.290500	0.452100	0.379600	0.233700	0.201200	0.126300
82629.8	0.287600	0.296000	0.288100	0.454200	0.375400	0.231100	0.199100	0.127500
87794.2	0.288000	0.297700	0.287000	0.453800	0.375900	0.233400	0.202000	0.133200
92958.6	0.279100	0.292600	0.280600	0.457600	0.368800	0.233300	0.197500	0.130400
98122.9	0.285600	0.296900	0.283600	0.473000	0.374300	0.237000	0.200600	0.127300
103287.3	0.284000	0.295100	0.277800	0.466000	0.367100	0.236400	0.201700	0.128800
108451.7	0.263900	0.284500	0.263500	0.462400	0.349900	0.231900	0.195500	0.131800
