VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
0.0	0.164700	0.176200	0.175800	0.188000	0.186200	0.190500	0.203700	0.152100	0.100500
5164.4	0.167000	0.175700	0.189700	0.201300	0.192100	0.193400	0.205700	0.159300	0.105100
10328.7	0.167500	0.181100	0.197100	0.208700	0.193200	0.196100	0.209300	0.162900	0.108400
15493.1	0.160500	0.180100	0.183100	0.199500	0.188900	0.187400	0.208800	0.153600	0.112900
20657.5	0.165400	0.178700	0.175000	0.202200	0.193500	0.191100	0.206700	0.152700	0.101500
25821.8	0.168800	0.178500	0.182700	0.211500	0.197400	0.194600	0.206400	0.158900	0.101000
30986.2	0.170200	0.176900	0.177600	0.212100	0.198900	0.194900	0.205600	0.158700	0.099000
36150.6	0.166900	0.178400	0.180500	0.209200	0.195000	0.191800	0.214100	0.153800	0.093800
41314.9	0.168200	0.184800	0.209400	0.219700	0.200900	0.195800	0.217700	0.165000	0.106200
46479.3	0.169400	0.180300	0.196900	0.212600	0.203100	0.195200	0.211700	0.163300	0.103600
51643.6	0.170100	0.172600	0.164500	0.198700	0.202900	0.192300	0.205700	0.152200	0.094300
56808.0	0.166600	0.180600	0.202000	0.207200	0.202500	0.193800	0.211400	0.162900	0.108800
61972.4	0.170900	0.174400	0.173900	0.198500	0.205300	0.193500	0.201100	0.157500	0.098800
67136.7	0.163500	0.177600	0.178300	0.193400	0.202500	0.188700	0.205600	0.153400	0.105500
72301.1	0.163900	0.177700	0.175000	0.192100	0.202200	0.189000	0.206000	0.153300	0.106400
77465.5	0.170900	0.176100	0.181800	0.197300	0.212000	0.194200	0.200800	0.160300	0.102000
82629.8	0.170100	0.175000	0.182600	0.196500	0.214500	0.193500	0.200300	0.159700	0.103700
87794.2	0.251600	0.176000	0.181000	0.258500	0.212600	0.190500	0.222200	0.157300	0.108100
92958.6	0.255400	0.175500	0.194900	0.271000	0.226800	0.197300	0.222900	0.170600	0.109800
98122.9	0.256800	0.178300	0.205800	0.275400	0.239700	0.204000	0.228000	0.179600	0.106500
103287.3	0.246900	0.175800	0.210400	0.275700	0.244600	0.203700	0.226700	0.188400	0.112600
108451.7	0.247400	0.172900	0.186500	0.265200	0.253500	0.205700	0.221100	0.185900	0.104800
113616.0	0.252100	0.180800	0.205500	0.279700	0.269700	0.216800	0.229800	0.199600	0.106800
118780.4	0.238400	0.183600	0.203800	0.282400	0.269800	0.213900	0.241800	0.195700	0.103200
123944.7	0.243200	0.186800	0.227900	0.295500	0.279700	0.220100	0.243800	0.208900	0.118400
129109.1	0.241500	0.177400	0.198000	0.287800	0.277500	0.220000	0.232900	0.204500	0.118900
134273.5	0.246100	0.179800	0.193700	0.292200	0.276500	0.224200	0.233900	0.204800	0.113200
139437.8	0.249200	0.181100	0.188200	0.295100	0.276800	0.225900	0.235900	0.201500	0.112900
144602.2	0.248200	0.182500	0.189600	0.300700	0.274600	0.224900	0.236300	0.202200	0.116900
149766.6	0.238700	0.183700	0.185700	0.296000	0.266600	0.222400	0.244000	0.189300	0.108200
154930.9	0.236500	0.178300	0.170400	0.291200	0.254700	0.217300	0.236100	0.187800	0.111400
160095.3	0.243900	0.179600	0.182800	0.302300	0.257900	0.223900	0.235500	0.196800	0.122100
