VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
0.0	0.190000	0.250900	0.181700	0.222500	0.212200	0.145000	0.112800	0.206600	0.222200	0.120600	0.109200	0.113800
5164.4	0.195800	0.239400	0.154200	0.209100	0.223200	0.160700	0.128800	0.233800	0.236800	0.136000	0.122700	0.124600
10328.7	0.191800	0.251000	0.177200	0.218500	0.215600	0.149000	0.119200	0.213000	0.231200	0.126100	0.111700	0.116900
15493.1	0.189600	0.255400	0.191100	0.222500	0.210900	0.145000	0.115500	0.199800	0.222300	0.121000	0.109500	0.112000
20657.5	0.190100	0.249700	0.179900	0.214200	0.213500	0.150500	0.122400	0.205300	0.229900	0.127600	0.116100	0.120300
25821.8	0.191900	0.250100	0.176200	0.213800	0.221900	0.153900	0.125900	0.218000	0.233700	0.130800	0.118000	0.121400
30986.2	0.197400	0.247800	0.164400	0.211700	0.229300	0.160600	0.127200	0.233300	0.239100	0.134400	0.121600	0.124500
36150.6	0.184800	0.257800	0.197900	0.222600	0.206100	0.139300	0.112000	0.181700	0.222100	0.121200	0.108800	0.113400
41314.9	0.189500	0.253400	0.182700	0.216500	0.214600	0.146800	0.117200	0.199800	0.227800	0.128000	0.112600	0.118000
46479.3	0.189800	0.262100	0.203200	0.228200	0.212600	0.140400	0.107700	0.194900	0.221700	0.117400	0.104000	0.108900
51643.7	0.183800	0.263800	0.209600	0.229200	0.204600	0.132800	0.103600	0.176800	0.216700	0.114500	0.100000	0.106700
56808.0	0.190200	0.252800	0.181700	0.218600	0.213900	0.149300	0.121500	0.201600	0.227900	0.127500	0.114500	0.117900
61972.4	0.196800	0.248600	0.165000	0.213700	0.224900	0.159100	0.125500	0.232700	0.234500	0.133300	0.119600	0.122100
67136.7	0.197200	0.261300	0.183600	0.225000	0.223900	0.152500	0.117600	0.225700	0.227500	0.125800	0.112700	0.114700
72301.1	0.192300	0.248300	0.164000	0.212100	0.219200	0.157300	0.128800	0.222600	0.231400	0.135500	0.121500	0.122300
77465.5	0.191500	0.250500	0.166700	0.212500	0.216400	0.153200	0.122900	0.213700	0.226500	0.130800	0.116700	0.119100
82629.8	0.182200	0.258000	0.197100	0.224000	0.199400	0.136200	0.111300	0.177200	0.212900	0.118800	0.106400	0.109900
87794.2	0.184400	0.260300	0.195600	0.224800	0.201300	0.137500	0.111100	0.179100	0.214700	0.120000	0.105700	0.111300
92958.6	0.188200	0.252500	0.177900	0.217300	0.210300	0.145300	0.117200	0.197100	0.220200	0.125100	0.111100	0.113900
98122.9	0.183000	0.252200	0.188200	0.218900	0.202200	0.139100	0.114400	0.182400	0.212100	0.122000	0.109600	0.112600
103287.3	0.184100	0.246300	0.185400	0.218000	0.203400	0.140800	0.113300	0.183500	0.208800	0.120800	0.107700	0.111400
108451.7	0.188800	0.249400	0.185200	0.221000	0.211100	0.146100	0.114700	0.202100	0.207800	0.120500	0.109000	0.111000
113616.0	0.185900	0.239000	0.175700	0.211600	0.205000	0.147900	0.123300	0.192000	0.206300	0.127500	0.116400	0.118300
118780.4	0.183600	0.249800	0.197200	0.225700	0.205000	0.138600	0.108800	0.188200	0.196600	0.114400	0.103800	0.106600
123944.8	0.190800	0.238100	0.166500	0.212400	0.215400	0.151900	0.121100	0.216900	0.205800	0.123000	0.111200	0.115100
129109.1	0.184400	0.238100	0.183700	0.216500	0.204400	0.143500	0.116700	0.192600	0.196500	0.118300	0.107300	0.110200
134273.5	0.190500	0.232300	0.166400	0.209100	0.212700	0.154700	0.133900	0.210200	0.205000	0.127200	0.115100	0.117500
139437.8	0.187400	0.235100	0.176200	0.213300	0.207800	0.148700	0.134700	0.197200	0.198800	0.121700	0.110800	0.114800
144602.2	0.189000	0.236500	0.182900	0.215200	0.206400	0.147100	0.134800	0.193600	0.198600	0.121900	0.110600	0.113700
149766.6	0.191000	0.236900	0.173800	0.212800	0.211700	0.153300	0.140900	0.203500	0.200800	0.124600	0.115400	0.116900
154930.9	0.190100	0.241300	0.186800	0.219300	0.209300	0.148600	0.142600	0.191700	0.200400	0.121700	0.114000	0.114900
160095.3	0.196100	0.253300	0.188800	0.228700	0.218700	0.152100	0.148000	0.199400	0.207000	0.121100	0.113500	0.116800
165259.7	0.195200	0.250200	0.182300	0.222900	0.218000	0.155100	0.155300	0.194100	0.212600	0.129700	0.125200	0.125000
170424.0	0.196600	0.258600	0.191200	0.229800	0.222500	0.153600	0.148900	0.193900	0.215100	0.126200	0.121300	0.122400
175588.4	0.205100	0.266300	0.191300	0.236400	0.235200	0.163500	0.156200	0.215600	0.222200	0.130600	0.127500	0.128900
180752.8	0.206500	0.266800	0.186900	0.235600	0.238200	0.165600	0.157000	0.212100	0.231300	0.132600	0.131700	0.132400
185917.1	0.207000	0.269700	0.189800	0.238700	0.239800	0.167300	0.159100	0.213300	0.232400	0.134900	0.134400	0.136200
191081.5	0.211100	0.278100	0.200500	0.247100	0.242300	0.165700	0.151500	0.210200	0.232700	0.130100	0.129100	0.132400
196245.8	0.213200	0.271200	0.181500	0.240200	0.250500	0.174700	0.162000	0.227000	0.243500	0.140800	0.141600	0.144700
201410.2	0.214000	0.280200	0.195200	0.248500	0.245100	0.169400	0.153100	0.213300	0.238500	0.132700	0.132200	0.137100
206574.6	0.216500	0.284500	0.193600	0.250200	0.248200	0.171900	0.154600	0.216400	0.242700	0.136700	0.135900	0.140200
211738.9	0.224200	0.278400	0.176200	0.245000	0.259900	0.189500	0.172600	0.248400	0.253300	0.150100	0.152600	0.153500
216903.3	0.219500	0.278200	0.183800	0.247000	0.250600	0.180300	0.162100	0.222900	0.249400	0.143900	0.144100	0.149200
222067.7	0.221200	0.280800	0.184500	0.250700	0.251600	0.179300	0.157300	0.225000	0.247800	0.142000	0.142000	0.147800
227232.0	0.221200	0.281100	0.188600	0.253600	0.249000	0.178700	0.157500	0.219200	0.245900	0.142200	0.142100	0.146200
232396.4	0.217500	0.295100	0.219500	0.267700	0.240900	0.167900	0.143200	0.205600	0.235200	0.130200	0.130000	0.138000
237560.8	0.227400	0.286000	0.193200	0.259600	0.253700	0.183800	0.155200	0.232600	0.245000	0.140800	0.138400	0.147000
242725.1	0.217600	0.284800	0.204100	0.261400	0.237100	0.171400	0.149000	0.199900	0.234200	0.134600	0.133800	0.141500
247889.5	0.222600	0.281100	0.198300	0.259600	0.241300	0.175600	0.146900	0.211200	0.239000	0.136100	0.134000	0.142300
253053.8	0.215100	0.282700	0.210800	0.266300	0.229600	0.166300	0.140900	0.190700	0.231700	0.131500	0.129400	0.138400
258218.2	0.223300	0.277700	0.199200	0.261400	0.238500	0.178300	0.149200	0.208800	0.238800	0.138400	0.137300	0.146000
