VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
0.0	0.174400	0.203700	0.187300	0.192900	0.232300	0.156400	0.135200	0.070900
4957.8	0.179400	0.212000	0.193900	0.200500	0.241800	0.160600	0.143400	0.063400
9915.6	0.177600	0.201700	0.189400	0.190500	0.208100	0.156000	0.134900	0.069800
14873.4	0.175900	0.207200	0.189900	0.197700	0.225000	0.159500	0.142600	0.065300
19831.2	0.174500	0.203600	0.186800	0.193700	0.217100	0.164600	0.142500	0.072100
24788.9	0.176300	0.204200	0.188700	0.194300	0.213900	0.164300	0.141400	0.070800
29746.7	0.179100	0.213100	0.196300	0.201200	0.225000	0.154500	0.139200	0.061100
34704.5	0.174900	0.210600	0.192300	0.198100	0.219600	0.163600	0.143000	0.066400
39662.3	0.174000	0.207300	0.191400	0.195300	0.213500	0.165800	0.141200	0.071600
44620.1	0.174900	0.210800	0.196600	0.196100	0.218300	0.164500	0.140900	0.069500
49577.9	0.175900	0.210500	0.198700	0.196700	0.216200	0.163700	0.142900	0.067300
54535.7	0.175500	0.210900	0.200500	0.198100	0.216700	0.166800	0.142200	0.069500
59493.5	0.174500	0.211300	0.200600	0.197600	0.213300	0.167900	0.146100	0.071100
64451.3	0.175200	0.213600	0.204600	0.204000	0.214900	0.162100	0.138300	0.073200
69409.1	0.180700	0.222500	0.214000	0.211200	0.219500	0.156400	0.143600	0.059600
74366.9	0.179500	0.224400	0.215700	0.211400	0.217000	0.161500	0.144000	0.061900
79324.7	0.178100	0.216500	0.213500	0.208800	0.204000	0.166000	0.143800	0.073300
84282.5	0.180700	0.228100	0.217600	0.214800	0.213200	0.158100	0.145700	0.059800
89240.2	0.176100	0.221200	0.211000	0.210100	0.196700	0.171200	0.151000	0.071200
94198.0	0.176600	0.283000	0.311900	0.331900	0.233200	0.174600	0.152500	0.074900
99155.8	0.183100	0.364500	0.330700	0.343900	0.258700	0.173100	0.158400	0.074300
104113.6	0.190400	0.359100	0.328900	0.342900	0.255400	0.174900	0.163600	0.072700
